,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X600660.SH,X601898.SH,X600688.SH,X600188.SH,X601991.SH,X002466.SZ,X600362.SH,X601600.SH,X600795.SH,X600886.SH,X600547.SH,X300072.SZ,X600027.SH,X002460.SZ,X600111.SH,X600516.SH,X000898.SZ,X600352.SH,X000553.SZ,X000825.SZ,X601992.SH,X600176.SH,X600299.SH,X000786.SZ,X000709.SZ,X000408.SZ,X000792.SZ,X000883.SZ,X600426.SH,X600808.SH,X601158.SH,X600315.SH,X000932.SZ,X601699.SH,X002110.SZ,X000830.SZ,X600219.SH,X600489.SH,X600339.SH,X002271.SZ,X600583.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.249800426785324,0,0,0,0,0,0,0,0,0,0.0508582305491191,0,0,0,0,0,0,0,0,0,0,0,0.0134582945314674,0,0,0,0,0,0,0,0,0,0,0.0176429874156786,0,0,0,0,0,0,0.117660527850507,0,0.0960183529023643,0,0.0885925727303674,0.00230729566586314,0,0.0320422735579486,0,0.0192773642750405,-0.0176510478548289,0,0,0,0,0,0
X600028.SH,0,0,0.296902440183582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0233813606345477,0,0.0976330730886322,-0.161514561642487,0,0,-0.0398094401292308,0,0,0,0,0.0737303752330508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00607260830321989,0.0398888531565154,0,-0.0604009291358162,0,0,0,0
X601088.SH,0,0.21907199796787,0,0.0818015953123447,0,0,0,0,0,0,0,0.399335235594669,0,0.10128119359452,0,0,0,0,0,0.0072038688696338,0,0,0,0,0,0,0,0,0,0,0.111077256926652,0,0,0,0,0,0,0,0,0,0,0,0,0.0145948076977338,0,0,0,0,0,0,-0.000723324193277118,0,0,0,0,0,0,0
X600585.SH,0,0,0.251544933661919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0910193578890668,0,0,0,0,0.150403097266738,0,0,0,0,0,0.0577707276574272,0,0.291705076298805,0,0,0,0,0.123210184145792,0,0,0,0,0,0.0228677216911603,0.0738135548308886,0,0,0,0,0,0.0761258369986947,-0.0565258980292068,0.0695952050798529,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.00184733923729234,0,0,0,0.35517070925795,0,0,0,0.0756083340848767,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101496302097575,0,0,0,0,0,0,0,0,0,0,0.0061678968763019,0,0,0,0,0,0,0,0,0,-0.00263010723019428,0.072765225489357,0,0,0,0,0,0
X600309.SH,0,0.0391508315415029,0,0.0622715858059335,0.0622976595185771,0,0,0,0,0,0,0,0,-0.22080769549847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20957976098682,-0.0669608976083871,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.114407061855637,0,0,0.020749070681615,0.0783713292132061,-0.00733693741325586,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137077491753771,0,0,0,0,0,0,0.220694197827272,0.00778532576132188,0,0.0330694237574109,0,0,0.0172355572979121,0,0,0.00653071948570898,0.231211075912173,0,0,0,-0.11071811873398,0,0,0,0,0.050527681099969,0,0,0,0,0,0,0.0344651345198026,0,0,0,0.00993777802784707,-0.052427162094774,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0.00708371408730461,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248987093627546,0,0,0,0,0,0,0,0,0,0,0,0,0.216625180619864,0,0,0,0.223578091811872,0,0,0,0,0,0,0,0.0950938592897829,0,0,0.213007210366623,0,0.040790860136444,-0.000866695245793461,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0187881891503102,-0.0172993518362075,0,-0.358480359193135,0,0,0,0,0,0,0,0,0,0,0,0.125924346419207,-0.280912250123555,0,0,0,-0.0444631886144456,0,0,0,0,-0.0522193318205329,0,0,0,0,0,0,0,0,0.202820335478509,0,0.00456022285173192,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0.0446660450380169,0,0,0,0.0133430157999592,0,0,0,0,0,0,0.00460658537337844,0.0668345213961558,0,0,0,0,0.194362224899245,0.0909981153854683,0,0,0.0183897201990617,0,0,0,0,0,0,0,0,0.215685644195292,0,0.0388578404836014,0,0,0,0,0,0,-0.00150037652106319,-0.0130441555445436,0,0,0,0,0,0
X600688.SH,0,0.0243217201699776,0.0932218092367574,0.0400910538078365,0,0,0,0.0538503685050425,0,0,0,0,0,0.0472009184705164,0,0,0,0,0,0,0,0.00539692738569563,0,0.0814689909128393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0436249598263582,0,0,0,-0.0484320682658754,0.0715651994702577,0,0.0183075655165269,-0.0084767506902589,0,0,0,0,0,0
X600188.SH,0,0,0.562533969335957,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0786296811801293,-0.106940866378221,0,-0.0294998062098735,-0.076060289666023,0,0,0,0,0,0.337488629627215,0,-0.022340271549955,0,0,0.00558453124335973,0,0,0,0,0,0,0.387567250016415,0.134304564262063,0,0,0,0.0319565905096609,0,0.143452373776928,0,-0.0345032104613142,0.023724245785718,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0.0672718703863435,0.057145835953305,0,0,0,0,0,0,0,0,0,0,0,0,0.0195998506883337,0.0784842639586388,0,0,0,0.0468115723524676,0,0,0,0.0741875902458106,0,0,0,0,0,0,0,0,0,0,0.05280376267389,0,0,0.0246239601856186,0,0,0.04633376713647,0,0.145221601603611,0,0.0183796576522938,-0.0211283438485237,0,0,0,0,0,0
X002466.SZ,0,0,0.0376623711545889,0,0,0,0,-0.00951000691994513,0,0,0,0.0913853511544919,0,0,0,0,0,0,0,0,0,0.578825354609432,0,0,0,0,0,0,0,0,0,0,-0.396606560560048,0,0,0,0,-0.518193279389365,0,0,0,0,0,0,0,0,0,0.217366008929763,0.11825535539331,0,0.0787715352272866,-0.0982347130999411,0.280253720937492,0.342263693248128,0,0,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0,0.188494898441487,0.0344766985341369,0,0,0,0.271946097174156,0,0,0,-0.0208183376463032,0,0,0,0,0,0.0259284879631326,-0.0166328052481746,0,0,0,-0.207768581984481,0.112929392045797,0,0,0,0,0,0,0,0,0,0.085568537407406,0,0.0252171449325464,0,0,0,0.0402019013408033,0,0,0.0214878190752671,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,-0.35439401675926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105676969353041,0,0,0,0,0.0462738729514841,0.0307582909444598,0,-0.0481388663737317,0,0,0,0,0.483977103427566,0,0,0.227027317198551,0.0676766877166905,0,-8.67361737988404e-19,-6.93889390390723e-18,-0.0028374349622889,-0.0182304097347492,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0.0239422833449937,0,0,0,0,0,0,0,0,0,0.027041007086061,0,0,0.0193886436919659,0,0,0,0,0.0858317277433597,0,0,0.0331011334302804,0.0883933724720358,0,0,0,0.138523376240838,0,0,0,0.0933682447253903,0,0,0,0,0,0,0,0.0406968601175033,-1.73472347597681e-18,0,0,0,0.00198733535238757,-0.00504048139781239,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.210775235885337,-0.0666692116465929,0,0,0,0.201252827066034,0,0,0,0.0207846466386991,0,0.0701402758395154,0,0,0,0,0,0,0,0,0,0,-0.0282588231308501,0,0,0,0.0365098376558609,0,0,0,2.16840434497101e-19,-0.0193052533947582,0,0,0,-0.0356250411315663,0,0
