,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X601898.SH,X601991.SH,X600795.SH,X601600.SH,X600886.SH,X600188.SH,X600010.SH,X600111.SH,X600362.SH,X600027.SH,X600309.SH,X601992.SH,X600688.SH,X600583.SH,X601158.SH,X000898.SZ,X600352.SH,X600489.SH,X000709.SZ,X000883.SZ,X600547.SH,X000792.SZ,X002353.SZ,X000539.SZ,X000629.SZ,X000831.SZ,X000630.SZ,X000027.SZ,X600808.SH,X000825.SZ,X600549.SH,X600660.SH,X600578.SH,X600008.SH,X600315.SH,X601699.SH,X000983.SZ,X600863.SH,X002470.SZ,X600307.SH,X600098.SH,X000937.SZ,X600348.SH,X000960.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.503699046516641,0,0,0,0,0,0,0,0,0.0559010385803511,0.0966818895581837,0,0,0,0,0,0.111301476675515,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0504263976039011,0.0128397056407862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0517741241092969,-0.0185492988616332,0,0,0,0,0,0
X600028.SH,0.515647935770081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364087321793859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0242161618544814,0.102677525908738,0,0,0,0,0,0,-0.040416957354833,0,0,0,0,0,0,0,-0.0352168949841658,-0.00690828702770274,0,0,0,0,0,0
X601088.SH,0,0.0558740810970935,0,0,0,0.0524558310127436,0.0936073041713908,0,0,0,0.0238961319778655,0.129059871506803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102336295547009,0,0.022137669010047,0.376804734514633,0,0,0,0,0,0,0,0,0,-0.00736724732289093,0,0,0,0,0,0
X600011.SH,0,0.0603550307969572,0,0,0,0.115994077647266,0,0.116010704302259,0,0,0.267017337561436,0.0547036613255905,0.00457420025931166,0,0,0.0741317555726962,0,0,0,0,0,0,0,0,0.074919437365216,-0.0292606690979032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0995496297815291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0.100478626853579,0.091122083565129,0.054537253003025,0,0,0,0.0900024486103354,0,0,0,0,0.0426317929165828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277889627158498,0,0,0,0,0,0,0,0,0.180547590833089,0,0,0,0,-0.00230892192250636,-0.00452193623415253,0,0,0,0,0,0
X600019.SH,0,0,0,0.0573652278553036,0,0,0,0,0,0,0.105118854572969,0,0,0,0,0,0,0,0,0,0,0.432318050801248,0,0,0.157830547043805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0034103717413532,0,0,0,0,-0.0737338806162621,-0.0228813592114006,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.0810849402875451,0,0.075409418087216,0,0.0363425811688063,0,0,0,0.0532982951780145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186260695889003,0,0,0,0,0,0,0,0,0,0,0,0.478032766320682,0,0,0,0,0,0,0,0,0,-0.00187401630256382,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0.126905428217638,0.126334013004453,0,0,0,0,0,0.12047739606362,0,0.00844148190979249,0.103343579083254,0,0,0,0,0,0,0,0,0,0,0,0.00126271025709544,0,0,0.0430724529091916,0,0,0,0,0.141357478660574,0,0,0,0,0.0965192469180631,0,0,0,0,0,0,0,0,-0.0197447667957166,0,0,0,0,0,0
X600795.SH,0,0.0893498540241054,0.0861696656469739,0,0,0,0,0.0324023797245216,0,0,0.308190593279716,0,0,0,0,0.0226699399293674,0,0,0,0,0,0,0,0,0.116716942233599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0315126948600728,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.312870619274644,0.241197888575463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0523414892538631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000872902741833424,-0.0401024526364927,0,0,0,0,0,0
