,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601898.SH,X601991.SH,X600688.SH,X600660.SH,X600188.SH,X601600.SH,X600795.SH,X600886.SH,X600362.SH,X000898.SZ,X002466.SZ,X600516.SH,X600547.SH,X600027.SH,X600111.SH,X601992.SH,X002460.SZ,X002110.SZ,X600176.SH,X600352.SH,X000553.SZ,X300072.SZ,X000932.SZ,X600299.SH,X600808.SH,X000786.SZ,X000709.SZ,X600801.SH,X600426.SH,X000883.SZ,X600339.SH,X601158.SH,X600583.SH,X600219.SH,X601699.SH,X600985.SH,X000830.SZ,X601003.SH,X600782.SH,X600489.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0991622622314211,0,0.0279617538974065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0450379296742763,0,0.0751323178559083,0,0,0.0702614443413253,0,0,0,0,0,0,0,0.0173497399262376,0,0,0,0.00780557318858318,0.0865784120921733,0,0,0.0282015819163917,0,0,-0.00178659249576564,-0.0121172034423499,0,0,0,0,0,0
X600028.SH,0,0,0.288145083807117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0809105640961995,0,0,0.127825664392071,-0.0761040328433201,0.0714472018378034,0,0,0,0,0,0,0,0,0.00640030528675042,0,0,0,0,0.066174594585485,0,-0.00125257916331358,0,0,0,0.00662638851849835,0.00512248200027936,0,0,0,0,0,0
X601088.SH,0,0.100481950516707,0,0,0,0.0441540653952574,-0.0227082755266542,0,0,0,0,0,0.541848841931094,0,0,0,0.0906849076963013,0,0.0514288796709468,0,0.00232484990280944,0,0,0,0,-0.0519461738191755,0,0,-0.034989804568553,0,0,0,0,-0.0889175980864759,0,0,0,0,0,0,0,0.0682997120148485,0.000494558328839649,0,0,0,0,0,0,-0.00457399145195263,-0.0170608187622336,0,0,0,0,0,0
X600585.SH,0,0,0.254236343421577,0,0.0163178744768306,0,-0.0225052856657358,0,0,0,0,0,0.000827091097748251,0,0,0,0,0,0.083522953945718,0,0,0,0,0,0,0,0,0,0.104490859466228,0,0,0,0,0.160988862650985,0,0.293069942114249,0,0,0,0,0.0592507562795598,0,0,0,0,0,0,0,0,0,0.0113798709649721,0,0,0,0,0,0
X600019.SH,0,0,0.120962891343315,0.167309457095786,0,0.176143636308527,0,0,0,0,0,0,0,0,0,0,0,0.0162800971315092,0,0,0,0,0,0,0,0.145495387739201,0,0,-0.0188983528971769,0,0.282757009598587,0,0,0,0,0,0,0,-0.025445708196764,0,0,0,0,0,0,0.0369976075085395,0,0,0,0.00337454305972885,0.00429032237886463,0,0,0,0,0,0
X600309.SH,0,0,0,0.106621834353676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.175222394617786,0.36636837622681,0,0,0,0,0,0,0,0,0,-0.0925734003891164,0,0,-0.301176580323883,0.150860294822647,0,0.0394141241912035,0.0240500152825069,0,0,0,0,0,0,0,0.186436273363994,0,0,0,0,0.049307639115187,0.0780462017699093,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.117553930927758,0,0,0,0,0,0,0,0,0,0.0375341435442165,0,0,0,0.139180658695732,0,0.659514614295329,0,0,0,-0.0526009378927659,0,0,0,0,-0.0564392531460951,0,0,0,0,0,0,0,0,0,0,0,0,-0.0409716762407456,-1.38777878078145e-17,0,0.181253753714944,0,0,-0.00523934822599913,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.122320967158332,0,0.0741628526907222,0,0,0,-0.0652288752700698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.465781014829213,0,0,0,0,0.225575998514242,0.0593973165044735,0.123714615870392,0,-0.0217009089219101,-0.0731895311803436,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.300792885454513,0,0,0,0,0,0.0719798050804529,0,0,0,0.0396104682790035,0,0,0.104681370781156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0483699127686283,0.0101340639088515,0,0.0524285359685932,0,0,-0.0039081585252907,-1.0842021724855e-19,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133675646995421,0.0768912265599877,0,0.00897747307853165,0,0,0,0,0,0,0,0,0,0,0,0.108449650819912,0,0.0805149686344337,0,0,0.0507434771760533,0,0,0.094383980692139,0,0,-0.0059776509584415,-0.00386616309451004,0,0,0,0,0,0
