,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600011.SH,X600010.SH,X601600.SH,X601898.SH,X601991.SH,X600188.SH,X002466.SZ,X600688.SH,X600660.SH,X600362.SH,X600795.SH,X600547.SH,X300072.SZ,X002460.SZ,X601992.SH,X600516.SH,X600886.SH,X600111.SH,X600176.SH,X000786.SZ,X000898.SZ,X000792.SZ,X000709.SZ,X600027.SH,X600352.SH,X002271.SZ,X600299.SH,X000553.SZ,X600489.SH,X000408.SZ,X000825.SZ,X601158.SH,X601699.SH,X600219.SH,X600549.SH,X000883.SZ,X002470.SZ,X000630.SZ,X600808.SH,X600583.SH,X600426.SH,X600315.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.306941030504727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140556576590388,0.0169465078591536,0.033419379274803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00464605372777223,0,0,0,0,0,0,0,0,0.169015013930139,0.0612634876536331,0,0,-0.014858650937182,0.0148495615874971,0,0,0,0,0,0
X600028.SH,0.388946328119953,0,0.17657161014473,0,0,0,0,0,0,0,0,0,0.026267785415365,0,0,0,0.153175019451719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0498968948471556,0.00231985974688808,-0.150043171297795,0,-0.0224473682316319,0.00968868286229533,0,0,0,0,0,0
X601088.SH,0,0.02841985832985,0,0.122655945763026,0.0923681770087144,0,0,0.0360738462400029,0,0,0,-0.0662418168280408,0,0,0,0,0,0,0,0,-0.062658270534411,0,0,0,0,0.0096844811119698,0,0,0,0,0,-0.162271219936592,0,0,0,0,0,0.420997609461806,0,0,0,0,0,0,0,0,0,0,0,-0.00633158007521017,0,0,0,0,0,0
X600019.SH,0,-8.67361737988404e-19,0.22721536270025,0,0.21825917326033,0,0,0,0,0,0.0375275751640779,0,0,0,0,0,0,0,0,0,0,0,0,-0.0624706251721439,0,0.0766097381907474,0,0,0,0,0,0,0,0,0,0.0517067710610043,0,0.156386508101753,0,0,0,0,0,0,0,0,0,0,0,-0.0316003530442168,0,0,0,0,0,0
X600585.SH,0,0,0,0.468131666501088,0,0,0,0,0,0,0.10997254271037,0,0,0,0,0,0,0,0,0,0,0,0,0.167290792015984,0.076537378775089,0,-0.203257913976966,0,0,0,0,0.191824283012434,0,0,0,0,0,0.160734161626687,0,0,0,0,0,0,0,0,0,0,-0.0598944294614291,0.0631626864356252,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.0667830050364732,0,0,0,0,0,0.0821121762851675,0,0,0,0,0,-0.00299656507389927,0,0,0.103045742306608,0,0,0,0,0,0,0,0,0.248890952538527,-1.73472347597681e-18,0,0,0.16489341683702,0,0,0,0,0,0,0,0,0,0,0,0.0601963307928048,0,0,0,0.0240046821378157,-0.0409740928154161,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.0641917236647555,0,0.0500005865043565,0,0,0,0,0,0,0,0,0.0148609648031235,0.00767547339146413,0,0,0,0,0,0.0141059600169472,0,0,0.177059130473466,0,0,0,0,0,0.00647247234929867,0,0,0,0,0,0.0485933508004508,0,0.165803861781997,0.00999148128472487,0,0,0,-0.00405327746259829,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,-0.108887500521054,0,0,0,0,0.22044220757512,0,0,0,0,0,0,-0.282925851798782,0,0,-0.0936246580903041,0,0,0,0,0,0,0,0,-0.104315572352765,0.50951792621522,0,-0.155784192374893,0,-0.225659989244846,0,0,0,0,-0.086082403178561,0,-0.42822205689716,0,0,0,0,0,0,0.177405684173642,-0.313765539521132,-0.464948531145467,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.064736738569093,0,0,0,0.290429889250987,0,0,0,0,0,0,0,0,0,0,0,0.0938874083410675,0,0,0.0572656854721138,0,0,0,0,0,0,0,0.100081654724912,0,0.0337915725252619,0,0.0942271763262815,0,0.0180503405797145,0.0675544951443219,0,0,0,-0.0019619701551399,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126758004804557,0.0540102212254277,0,0,0,0,0,0,0,0.0925676910065733,0,0.0445551108892742,0,0,0,0.106043656979431,0.00515843264088902,0,0.0465839482876135,0,0.0685662506756153,0,0,0,0.0579002343803809,0,0,0,0,0.00199849897624034,0,0,0,0,0,0,0
X600188.SH,0,0.0399530389969787,0,0.575053091536023,0.0755811525836297,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126906226824831,0,0.0274090834958527,0,0,0,0.101370984547172,0.188796246937403,0,0,0,0.0670914375846064,0,0,0,0,0.0609315872064816,0.0183716426187757,0,0.128946083884822,0,0,0,0,0,0,0.00691622902285544,0,0,0,0.0178311730453832,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,-0.065302684772586,0,0,0,0,0,0,0,0,0,0,-0.0839675569046609,0,0.468075015139327,0,0.214734309532533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00549031617671016,0,0,0,-0.132683562178192,0.0167478947557902,-0.029261755242683,0,0,-0.00928289195582562,-0.0201785876787548,0,0,0,0,0,0
