,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600547.SH,X600660.SH,X601600.SH,X600585.SH,X600886.SH,X000792.SZ,X600795.SH,X600362.SH,X000708.SZ,X600489.SH,X600010.SH,X600111.SH,X600027.SH,X002460.SZ,X600160.SH,X601699.SH,X000301.SZ,X002466.SZ,X600426.SH,X000983.SZ,X000786.SZ,X601991.SH,X600803.SH,X000877.SZ,X000630.SZ,X000933.SZ,X600985.SH,X600176.SH,X000807.SZ,X002128.SZ,X601168.SH,X000408.SZ,X600219.SH,X600612.SH,X002271.SZ,X600096.SH,X000883.SZ,X600348.SH,X000027.SZ,X600995.SH,X002353.SZ,X000932.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.493522364468192,0,0,0,0,0,0,-0.0216510245287036,0.15243673584816,0,0,-0.175487829500501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0915915203788649,0.144713515249413,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,-0.00177945726203793,0,0.00261047650588278,0,0,0,0,0
X601088.SH,0.164092180929894,0,0,0,0.160292061735329,0.0828306209763888,0,0,0,0,0,0,0,0,0.0316757255202816,0,0,0,0,0,0,0,0,0.0161818303135466,0,0,0,0.166663719825726,0,0,0,0,0,0,0.0399219835057473,-0.0199621559416481,0,0,0,0,0,0,-0.0244133385355263,0,0,0,0,0,0,0,0,0,-0.0241367460772614,0,0,0,0,0,0
X600028.SH,0.381476263426341,0,0,0,0,0,0,0,0,0.0216743806969912,0,0,0,0,0.0281304670734091,0,0.0410477133361177,0.0760077190824244,-0.0124743909262686,0,0,-0.124864743210375,0,0.0194628194918857,0,0,0,0,-0.0626616744391379,0,0,0,0,0,0,0,0,0,0.0509695676589266,0,0,0,-0.0197321364186456,0,0,0,0.0363800531395884,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00739279773825056,-0.0805454513888015,0,0,0.0618308116733992,0,0,0,0,0,0,0,0,0.0250959883067182,0,0,0,0,0,0,0.30592104945324,0,0,0,0.03022328117466,0,-0.353473626297404,0,0,0.0529375793012389,0,0,0,0.148374967458426,0,0,0,2.16840434497101e-19,0.0316471175704786,0,0,0,0,0
X600188.SH,0.0193000699330427,0,0,0,0,0.297241416862301,0,0,0.0730986659543627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.336761209930069,0,-0.0592781901949477,0,0,-0.0739540397820471,0,0,0,0,0.0297722098210538,0,-0.0198706623620556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0157905590072567,0,0,0,0,0,0
X601898.SH,0,0.164971534708645,0,0,0.155121435805699,0,0,0.196593287134267,0,0,0,0.0829320930652263,0,0,0.00381435686604707,0.017792841206098,0,0,0,0,0.117227523685965,0,0,0,0,-0.025186059251027,0,0,0,0,0,0,0,0,0.502304494829144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15705754910881,-0.103387017454762,0,0,0,0,0,0
X600019.SH,0,0,0,0.05330787192459,0,0,0,0,0.062123998130062,0.0108255429666775,0.0947056972464643,0,0,0,5.42101086242752e-20,0,0.0401951213364212,0,0,0,0,0,0,0.0864034870933052,0,0,0,0,0,0,0,0,0,0,0.023816824107515,0,0,0,0.0649520955604539,0,0,0,0,0,0,0,0,0,-0.127931991870576,0.12778505218908,0,0,0.0457074654154429,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497001596665865,0,0,-0.0617986428465493,0,0,0.0983308374356185,0,0,0,0,0,0,0,-0.0520201178170487,0.157328458707948,0,0,0,0.0141262519240172,0,0,0,0,0,0,0,0,-0.000831595072877358,0,0.00649923365119957,0,0,0,0,0,0,-0.0460684249754908,0.046488604530938,0,0,0,0,0,0
X600547.SH,0,0,0,0,-0.266291181553884,0,0,0,0,0.023489772202303,0,0,0,0,-0.0177191993460882,0.0696338101966351,0.124951701875454,0.652691251188396,0,0,0,0,0,0,-0.107067000642684,0,0,0,0,0,0,0,0,0.123976556273675,0,-0.0572614675894541,0,0,0,0.0305054398528409,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0.0242413700960442,0.00630291092442889,-0.0998313844333321,0,0,0,0,0
X600660.SH,0.0493868338502858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000592529904392542,0,0,0,0,0,0,0,0,0,0.127428150435539,0,0,0,0,0,0,0,0,0,0,0.0358224309864534,0,0,0,-0.0404326839187707,-0.0308048185050358,0,0,0,0,0.191240695714703,-0.00180055291192152,0,0,0.0208297709641879,0.0134641877338729,0,0,0,0,0,0
