,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600623.SH,X600188.SH,X600362.SH,X601992.SH,X600886.SH,X600111.SH,X600157.SH,X002466.SZ,X600299.SH,X600547.SH,X600660.SH,X601158.SH,X000792.SZ,X600352.SH,X000709.SZ,X600309.SH,X600583.SH,X600489.SH,X000883.SZ,X000539.SZ,X000898.SZ,X000027.SZ,X000629.SZ,X000630.SZ,X300072.SZ,X002075.SZ,X000060.SZ,X600021.SH,X000959.SZ,X002470.SZ,X600176.SH,X000983.SZ,X600098.SH,X600578.SH,X600022.SH,X000723.SZ,X000012.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0.0334446513819515,0,0,0.282567484104789,0,0,0,0,0,0,0,0.000522893343810834,0,0,0,0.027123528473462,0,0,0,0,0,0,0,0.0117474309379685,0.0204242242070921,0,0,0,0.0173542944356752,0,0,0,0,0,0,0,0,0,0,0,0.0553140756869171,0.0212605092579306,0,0.0184106144124987,0,0,-5.42101086242752e-20,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.100307889008862,0.207186059390254,0,0,0,0,0,0.030183793076798,0,0,0,0,0,0,0.0062746938646218,0,0,0,0,0,0,0,0.0522782362169989,0,0,0,0,0,0,0,0,0.00977685727542432,0,0,0,0,0,0.00294089642640038,0.0292560855038275,0,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.430362791253523,0,0,0,0,0.0833494260374511,0.0595272259862564,0.0200661519326722,0.0894228103182678,0,0,-2.16840434497101e-19,0,0,0,0,0,1.73472347597681e-18,0,2.16840434497101e-19,0,0,0,0,0,0.00870339641750964,0,0.0745966682039566,0,0,0,0,0,0,0,0,0,0,0,0.065476195975362,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0
X600011.SH,0,0,0.266612538125225,0,0,0.0692465409488783,0,0.0500476740814003,0.0156704051988336,0,0,0,0,0,0,0,0.0132928614482195,0,0,0,0.0312961655262892,0,0,0,0,0,0,0,0,0.0180539340154614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135617608886315,0,0,0,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218414372534142,0,0,0,0,0,0,0,0,0.0987387389624404,0,0,0,0,0,0,0,0.0641878777741163,0.338072181800766,0,0,0.0221746002843632,0.0568626306802577,0.0209767317100845,0,0,0.0430497859164278,0,0,0,0.0821612894697505,0,0,0.029327378923183,0,0,0,0,0,0,0
X600585.SH,0,0,0.0987992290987755,0,0,0,0.046299590265741,0,0,0,0,0,0,0.0122815667156624,0,0,0.0303231808761674,0,0,0,0,0,0,0,0,0,0.164500576263094,0,0,0,0,0,0,1.73472347597681e-18,0,0.0416425531546021,0,0,0,0.0127856081876636,0,0.0777844280212948,0,0,0,0,0,0.18053613041847,0,0,0,-0.04039597072794,0,0,0,0,0,0,0
X600019.SH,0,0,0.0683194470153974,0,0,0.0842919685452138,0,0,0.00632250366435784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.634722867372095,0,0,0,0,0,0,0,0.0247410252390436,0,0,0.0860080694339765,0,0,0,0.0135148759117205,0,0,0.057952261941052,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0.126060894448576,0,0,0,0,0,0.137121340319198,0,0,0,0,0,0,0,0,0,0.206944064084697,0,0,0,0,0,0,0,0,0.101176992901459,0,0,0,0,0,0.153675919710481,0,0,0,0,0.0477103511623022,0,0,0,0,0.0579616593020245,0,-0.00336863640702716,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.0852094673468698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248417838988728,0,0.0113476507548155,0,0,0,0.0901558135050118,0,0,0,0.00530969472551482,0,0,0,0.223394446548666,0,0.0612513132050211,0,0,0,0,0,0,0,0,0,0.0544703103563177,0,0,0.0403181434561152,0.0784527303314202,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0421536648087477,0.151975633975131,0,0,0,0,-8.67361737988404e-19,0,0,-0.0522362823058136,0,0,0,0.0396489796505191,0,0,0,0,0,0,0,0,0,0,0,0,0.121091662916882,0.0689822226653737,0,0,0,0,0,0,0.481346154586201,0,0,0,-0.0251436029045357,0,0.0880322621101061,0.0299741022406497,0,0,0,0
