,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002466.SZ,X002460.SZ,X600585.SH,X601898.SH,X000792.SZ,X600011.SH,X600019.SH,X000301.SZ,X600111.SH,X600660.SH,X000708.SZ,X600010.SH,X600886.SH,X000877.SZ,X600547.SH,X600795.SH,X601600.SH,X002271.SZ,X601991.SH,X600426.SH,X000983.SZ,X600803.SH,X600027.SH,X600176.SH,X600362.SH,X601699.SH,X600348.SH,X000408.SZ,X600096.SH,X000723.SZ,X000629.SZ,X600995.SH,X000786.SZ,X600985.SH,X600160.SH,X600141.SH,X000933.SZ,X600378.SH,X600219.SH,X600489.SH,X300073.SZ,X002353.SZ,X600801.SH,X002080.SZ,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.79977893474911,0,0,0,0,0,0.0266044404472662,0,0,0,0,0,-0.0522570949449244,0,0,0,0,0,0,0.131809944750623,0,0,0,0,0,0,0,0,0.16514581764776,0,0,0,0,-0.000637803110184253,-0.0740260986039996,0,0,0,0,0,0,0,0,-0.0175426565609384,0.0349877278923964,0,0,0,0,-0.00852311319261309,0.0134521145053738,0,0,0,0,0,0
X601088.SH,0,0,0,3.46944695195361e-18,0.405460496272843,0.110215679393943,0,0,0.107016045770269,0,0,0,-0.0260016700398824,-0.0753380105803355,0,0,0,0,0,0,0,0,0,0,0,0.300219961621689,0,0,0,0,0,0,0,0,0,-0.111046664071642,-0.0793687084120417,0,0,0.0347579991560873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600028.SH,0.26098075225316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0936038424969126,0,0,0,0,0,0,0,0,0,0,0.0372743816208503,0,0,0.00971924823305471,0,0,0,0,0,0,0,0,0.0701983601071389,0,0,0,0,0,0,0.0137442155339223,0.0038989127896988,0,0,0,0,0,0
X600309.SH,0,0.0791243628686575,0,0,0,0,-0.0790405443019306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0509300127929423,0,0,0,0,0.0521409075522523,0.0607460899936277,0,0,-0.0414882919562012,0,0,0,-0.0215722156010488,0.015236961988316,0.0415200230829736,0.118469779678479,0.105275091848835,0,0,0,0,0,0,0,0,0,0,0.0247389205585277,0,0,0,0,0,0,0,0
X600188.SH,0,0.562971260494926,0,0,0,0,0,0,0.159157204816445,0,0.0850241075373718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0801849477927187,0,0.0530859825377596,0,0,0,0.00899574192601007,0,0,0,0,0,0,0,0,0,0.0534642349435097,0,0,0,0,0,0,0,0,0.153752898511102,-0.0767808690522842,0.00218453978164109,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0.711382051314062,0,0,0,0,0,0.0104737770451281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0182038177659689,0,0,0,0,0.305714287570286,0,0,-0.143053040992587,0,0,0,0,0.222639928976758,-0.10252370751669,0,0,0,0,0.13241137438882,0,0,0,0,0.00785594150987749,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0.252809092132793,0,-0.0823703249054738,0,0,0,0,0.0576070038418642,0,0,0,0,0,0.112649606419426,0,0,0,0,0,0,0,-0.186126331752055,0,0,0,0,0.0390232090478132,0,0,0.0825727467480409,0.04801032508428,0,0,0,0,0,0.0691831909316807,0,0,0,0.0832843776939477,0.1479966681314,0,0.0369973488292458,0,0,0.061927517245456,-0.0602509445360269,0,0,0,-0.105307101702446,0,0
X600585.SH,0,0,0,0,0,-0.0302753721859505,0,0,0,0,0.0686529142243259,0,-0.00330075286212952,0,0,0,0,0,0,0,0.0783439331385676,0,0,0,0,0,0,0,0,0,0,0,0,0.0799515537500449,0,0,0,0.0479171245042147,0,0,0,0.00904777174340323,0,0,0,0,0,0.46234898008949,0,0,0,0.038394681020329,0.028113284272506,0,0,0,0,0,0
X601898.SH,0.101408296236164,0.089933616503699,0,0,0.00828475505434309,0,0,0,0,0,0.0366475478369667,0,0,0,0,0,0,0,0,0,0.00673718664212469,0,-0.0733807216933917,0,0,0.299455171656666,0,0,0,0,0.0705157759674957,0,0,0.129408926199897,0,0,0,0,0.0182208438610063,0,0,0,0,0.131222345017541,0,0,0.140759346468517,0,0,0,0,0,-0.027288422550413,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.317416520649808,0,0,0,0,0.055184151931378,0,0,0,0,0,0,0,0,0,0,0.0761175985121046,0,0,0,0,0,0.0545572024168539,0,0,0,0,0,0,0,0.0480977436903896,0,0.0924808899795694,0,0,0,0.0204732820523424,0,0.104828430011336,0,0,0,0,0,0,0,0.0247316480395697,0.011734816209717,0,0,0,0,0,0
