,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X002460.SZ,X600019.SH,X002271.SZ,X600660.SH,X000708.SZ,X601898.SH,X600547.SH,X601600.SH,X600362.SH,X000301.SZ,X000786.SZ,X002466.SZ,X600111.SH,X600010.SH,X600426.SH,X600188.SH,X600886.SH,X600176.SH,X600011.SH,X000027.SZ,X601991.SH,X600803.SH,X600795.SH,X600219.SH,X600489.SH,X600352.SH,X600801.SH,X000807.SZ,X000932.SZ,X600688.SH,X000898.SZ,X600315.SH,X002080.SZ,X002353.SZ,X600157.SH,X000825.SZ,X601699.SH,X000408.SZ,X300037.SZ,X000966.SZ,X000959.SZ,X600486.SH,X000830.SZ,X002409.SZ,X600027.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0684230588482666,0,0,0,0,0,0,0,0,0.0294535896057288,0,0,0.00613401231901005,0,0,0.0387052268795057,0.0375476307661452,0.0388623406010807,0.124368427327392,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0.0659142894781486,0,0,0,-0.00855604270012892,0.0697079370007237,0,0,0,0,0,0,0.0138531237080351,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0698117764657251,0.0130985617957356,0,0,0,0,0,0.111343009452643,0,0,0,0,0.0300172198884577,0,0,0,0,0,0,0,0.0617362019521325,0.00908229473082676,0,0.114545873988109,0.0255228593747472,-0.0624285913177875,0,0,0,0,-0.00675963868634814,0,0,0,0,0.0907922257644145,0,0,0,0.0710211296232398,0,0,0,0,-0.0216672932019241,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.140435702682615,0,0,0.11406048506294,0,0.0503307774490691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0100042548285918,0,0,0,0.0164042201789409,0,0,0,0,0,0.0110216175689439,0,0,0,0,0.00894758042499546,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.00269035529257175,0,0,0.136426522795003,0,0,0,0.167085302140678,0,0,0.049569590578726,0,-0.0180933269623726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131702768587044,0,0,0.249846974688776,0,0,0.0511519863133649,0.176039171340315,0,0,0,0,-0.0158931989724686,0,0,0,-0.0392854840909244,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0237661649490335,0,0,0,0,0,0,0.11137218840452,0.0158593106288654,0.084650403130062,0,0,0,-0.0112512367892173,-0.0207532467790376,0,0,0,0.0074003849045134,0,0,0.0135718260236337,0.0443456541445202,0,0,0,0,0,0,0,0,0,-0.0259873918993232,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.278642561441409,0,0,0,0,0.0529717587204928,0,0,0.723776874180597,0,0.0641072344462686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00997400133734571,0,0,0,0,0,0.0479888516138509,0,0,-8.67361737988404e-19,0,0,0,-0.0255191913389398,0,0,0,0,0.00416646037033858,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0130389966364102,0,0.0503370404235407,0,0,0,0,0,0,0,0,0,0.176184692438156,0.22230362864185,0,0.108788497116794,0,0,0,0,0.138274529622335,0,0,0,0.10044099024577,0,0,0,0,0,0,0,-0.0925590744992946,0,0,0,-0.0183105157332026,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00551003468734547,0,0.0801019364723375,0.0232935738924013,0,0.0422779322709705,0,0,0.00436465803087606,0,0,0,0,0,0,0.0806055202697772,0,0,0.0325120692333965,-0.172033500731403,0,0,0,0.049801614841678,0,0,0,0,0.21429328922652,0,-0.00643354412392607,0,0,0,0,0,0,-0.0820667691661731,0,0,0,0,-0.0215677167059661,0,0
X600660.SH,0,0,0,0,0,0.203748461217777,0,0,0,0.0397851095054924,-0.121754130966751,0,0,0.0684064860886652,0,0.074746576977743,0.011283003766299,0,0,0,0,0,0.0395040314366887,0,-0.0682534358322388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0850218641776127,0,0,-0.0853224975841553,0,0,0,0,0,0,0,0,-0.0249104769326517,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224267006371511,0.135015765849873,0,0,0,0,0.0260508153817983,0,-0.0673379548057436,0,0,0,0,0,0,0,0,0.0424298586010685,0.232086712526271,0.1488044265124,0.256420214290719,0,0.367980223612756,0,0,-0.0249915996773597,0,0,0.0550466861221251,0,0,0,0.171128631548294,0,0,0,0,0,0,0,0.0101410421450603,0,0
X601898.SH,0,0,0,0,0,-0.0318163941794651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21535304189687,0,0,0,-0.0891265515882859,0,0,0,0,0,0,0,0.212380337973128,0.0203023406359614,0,0,0.0502048552408298,-0.0316971576812261,0,0.266506839730251,0,0,0,0,0,0,0.217055169508344,0,0,0,0,0,0,0,0,0,0.00906343515163999,0,0
X600547.SH,0,0,0,-0.0281145748266305,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0732707766146485,0.0575823344415308,-0.0103877072437374,-0.00884697887736443,0,0,0,0.112410431565069,0,0,0,0,0.285623139735238,0,0,-0.0274376168268293,0,0,0,0,0,0,0.0344605575879422,0.0923066370901044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00937605186146999,0,0
X601600.SH,0,0,0,0.109702806872396,0,0,0,0,0,0,0.0302873829674941,0,0,0.0749428053327194,-0.0952520736432016,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0597719529289706,0,0,0,0.410057273113036,0.0332617709106175,0,0,0,0,0,0,0.0661218402207508,0.111795215294772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0109736748274708,0,0
