,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600019.SH,X600111.SH,X000792.SZ,X002466.SZ,X600010.SH,X600188.SH,X601600.SH,X000301.SZ,X600011.SH,X002271.SZ,X601898.SH,X600660.SH,X000708.SZ,X600547.SH,X600362.SH,X600886.SH,X600176.SH,X600426.SH,X601991.SH,X300037.SZ,X000786.SZ,X002080.SZ,X600795.SH,X000408.SZ,X000825.SZ,X600803.SH,X600219.SH,X000959.SZ,X002353.SZ,X002326.SZ,X600688.SH,X000723.SZ,X600295.SH,X000027.SZ,X000932.SZ,X600141.SH,X600352.SH,X000807.SZ,X000983.SZ,X600157.SH,X000898.SZ,X600096.SH,X002407.SZ,X600027.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.36496762583233,0,0,0,0,0,0,0,0,0,0.13048301139947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0828854073354373,0.0552828866702946,0,0.0067634412802093,0.0437133515611639,0,0,0,0,0,0,0,0,0.0123641397209533,0.0298616001749192,0,0,-0.0193093476516453,0,0,0,0,-0.00880700175516357,0,0
X600028.SH,0.114970895442765,0,0,0,0,0,0,0,0,-0.0367101650650261,0,0.0211696108022962,0,0.0129753154906964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0450107419071633,0,0,0,0.121563246544897,0.115251720512144,0,0.0110855811899384,0,0,0,0.0297164834254548,0.0799371131519131,0,0,0,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0.0481813951581834,0,0,0,0,0.150541505503514,0,0,0,0,0,0,0,0,-0.0577557444159702,0,0,0,-0.0210994975356067,0,0,0,0,0,-0.0389523421308043,0,0.0857107179065263,0.116304477593042,0,0.0333774737471236,0,0,0,0.217554786056244,0,0,0,-0.0398832145821206,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0728015118013435,0,0,0,0,0,0,-0.00539143427116683,0,0,0,0,0.284493820682777,0,0.0614103309904837,3.46944695195361e-18,0.0165098585096069,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,-0.010334377076579,0.0506301409749578,0,-0.00483141206380315,0,0,-0.0417286853728596,0,0,0,0,0,0,-0.0151124593173164,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0.116897817608087,0.274379830496478,0,0.349328271192911,0,0,0,0,0,0.122683988257588,0,0,-0.240840224536618,0,0,0,0,0,0,0.0320868987869881,0,-0.0333893157498579,0,0,0.0386971987411475,0,0,0,0,0,0,0,0.0387308030299674,0,0,0,0,0,-0.0696416563991168,0,0,0,0.354180948372032,0,0,0,-0.0211876296416065,0,0,0,0,0,0
X600585.SH,0,0,0,0,-0.0963070367732888,0,0.0392913245132984,0,0,-0.0391566327347196,0,0,0,0,0,0.127117166295921,0,0,0,0,0,0.193475334917992,0,0,0,0,0.176390670050278,0,0,0.0864291911093285,0,0,0,0,0,0,0,0,0,0,0,0,0.270383675408709,0,0.0829836267453152,0,0,0,0,0,0,0.0203557678767115,0.0605822990885339,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.00568143771279373,0,0,0,0,0,0,0,0,0,0,0,0,0.0106509227359604,0,0,0,0,0,0,-0.0393946987835888,0,0,0,0,0,0,0.040238169691616,0,0,0,0,0,0,0,0,0,0,0,0.0574263450325434,0,0.556452717609659,0,0,0,0,0,0,0,0,0,-0.0490611942184835,0,0
X600111.SH,0,0,0,0,0.0931292709991053,0,0,0,0,0.100888604867965,0.302464623073388,0.00347687717739228,0,0,0,0,0,0,-0.0653725162203775,0,0,0,0,0.00529379575668758,0,0.198220975889701,0,0.0287208846722044,0,0.412175071587474,0,0,0,0,0,0.018079969340939,0,0,0,0,0,0,-0.329301949394245,0,0,0,0,0,0.0298671783819797,0,0,0,0.0380070960428088,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0,-0.0120939149703972,0,0,0,0,-0.148332415601738,0,0,0,0,0,0,0,0,0,0,0,0,0.214745034097845,-0.0657793115097239,0,0,0,0,0,0,-0.274999953047985,0.106276704210175,0,0,0,0,0,0.0847280370838598,-0.00563044913789237,0,0,0.0671776324930692,0,0,0,0.0905937356401637,0,0,0,-0.176264182653173,0,0
X002466.SZ,0,0,0,0,0.433814142973428,0,0,0.240322864846266,0,0,0.0394911195298593,0,0.0263125729695272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.130751714208204,0,0,0,0,0,0.0928820182227662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0455064337858204,0,0,0,0,0,0
