,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X002466.SZ,X600585.SH,X000792.SZ,X600019.SH,X601898.SH,X600011.SH,X600660.SH,X600111.SH,X600010.SH,X600547.SH,X000708.SZ,X000301.SZ,X002271.SZ,X000877.SZ,X600886.SH,X601600.SH,X600795.SH,X600426.SH,X600362.SH,X600176.SH,X600803.SH,X600027.SH,X601699.SH,X601991.SH,X000983.SZ,X000408.SZ,X600160.SH,X000629.SZ,X000786.SZ,X000723.SZ,X600378.SH,X600219.SH,X600995.SH,X600348.SH,X600489.SH,X600096.SH,X600157.SH,X000933.SZ,X000807.SZ,X002080.SZ,X600688.SH,X600985.SH,X000831.SZ,X002353.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.532450226424358,0,0,0,0,0,0,0,0.167277654833386,0,0,0,0,0,0,-0.0265354220632902,0,0,0,0.0932967826806581,0,0,0.00228162557114943,0,0.0123209200384157,-0.00625296598980432,0,0,0.0307558240889616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120678920827348,0,0,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.413485567561922,0,-0.0095177148443605,0,0,0,0,0,0,-0.0468086622141739,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0.0896594034976258,0,-0.03824514991909,0,0,0.231352062242952,0,0.0528032704565328,0,0,0,0.0628143894226328,0,-0.054939822456709,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0
X600028.SH,0.518030920592962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0752093064107094,0,0,0.0170970999918578,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155952592611844,0,0,0,0,0,0.0678926871112433,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067270925882079,0,0.0475045471667117,0,0,0,0.361436379693369,0,0,0.141666047947595,0.109348264820877,0,0,0,0,-0.0954645130224903,0,0.06640994608012,0,0,0,0.0497442488102651,-0.121442440392327,0,0,0,0,0,0,0,0,0.000640192188100913,0.115230416971547,0,-0.00347203477492459,-0.0744270104083684,0,0,0,0,0,0
X600188.SH,0,0.670431395795877,0,0,0,0,0.0317840043626476,0,0,0,0,0,0,0,0,0,0,0,-0.0337211909214641,0,0,0,0,0,0,0,0.0788206463582184,0,0,0,0.113133121317586,0,0,-0.0451153594739956,0,0.0649085008455849,0,0,0,0,0,0,0,0.132983411810979,0,0,0,0,0,0,0,0.0369505882019118,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0.319619671779406,0,0,0,0,0,0,0,0,0,0,0.058187099571453,0,0,0,0,0,0,0,0,-0.175639107980305,0,0,0,0,0,0,0.0767790428865377,0,0,0.0379576381343582,0,0.0198465044195391,0,0,0,0,0,0,0.160884016004464,0,0,0.0182827177855232,0.262931087609461,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.461990451888666,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0200253733461879,0,0,0,0,0,0,0,0,0.109404822319803,0.0871029998711972,0,0.540348954554139,-0.00777244170155003,0,0,0,0,0,-0.065312654752429,0,0,0,0,-0.0272215189533549,0,0,-0.176918710999857,0,0.119505608774292,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0.0742643681054106,0,0,0,0,0.144223598264587,0,0,0,0,0,0.0890922956167375,0,0,0,0,1.0842021724855e-19,-0.0855460861885894,0,0,0,0,0,0.463441299211934,0,0,0,0,0,0,0.0530487045407756,0,0.00992534791444056,0,0.054550271173647,0,0.0409426168164384,0,0,0,-0.00452981137165354,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.192144145565621,0,0,0,0,0,0,0,0.188420317178168,0,0,0,0,0,0,0,0.112994329418461,0,0,0,0,0,0.00542374451652969,0,0,0,0.31830778792733,0,0.0179349332475806,0.166483258710049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010334280636074,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0.0137402794061348,0,0,0,0,0,0,0,0.108564548394787,0,0.295240419024608,0,0.129428329379258,0,0,0.109131746959266,0,0,0,0,0,0,0,0,0,0,0,-0.10466119224931,-0.0519595670168727,0,0,0,0,0,0,0,0,-0.000587630040393236,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.0636488197191543,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0154423034082127,0,0,0.0756246662623722,0,0,0,0,0.221486665258716,0,0,0,0.44350473727351,0,0,0,0,0,0,0,0,0,0,0,0,0.0661729994922793,0,0,0,0,-0.0231925305679111,0,0,-0.0232496298635523,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.0291615787998842,0.296951580586895,0,0.276119584055056,0,0.134539300410607,0.175063026164456,0.0546218559049886,0,0,0,0,0,0.0355533623053379,0,0,0,-0.317543832974564,0,0,0,0,0,0,0,6.93889390390723e-18,0.0577844727116568,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.112980078689214,0,0,0,0,0,0,0,0.0362341963994746,0,-0.137724711141311,0,0,-0.0304314277884972,0,0,0,0,0.0344920181471735,0,0,0,-0.0332104797126692,0,0,0,0,0,-0.0133285768402979,0,0,0,0,0.0677243763548805,0,0,0,0,0,0.183919807365825,0.137889179194203,0,0,0,-0.0295529752182738,0,-0.0183419672182086,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0.264111760896286,0,0,0.0836033870457477,0,0,0,0,0,0,0,0,0,0.0251838752917552,0,0,0,0,0,0,0,0,0,-0.0311257441792785,0,0,0,0,-0.0188987615234214,0.014505069295229,0,0,0,0,0,0,0,0,0,0.204765551199222,0,0,0,0,0,0,0.0127994674835117,0,0,0,0,0,0,0
