,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X002460.SZ,X002466.SZ,X600585.SH,X000792.SZ,X601898.SH,X600019.SH,X600011.SH,X600111.SH,X600660.SH,X600010.SH,X000708.SZ,X600547.SH,X000301.SZ,X600886.SH,X600795.SH,X601600.SH,X000877.SZ,X002271.SZ,X600426.SH,X600362.SH,X600803.SH,X600027.SH,X600176.SH,X601699.SH,X601991.SH,X000983.SZ,X000408.SZ,X600160.SH,X000629.SZ,X600348.SH,X600995.SH,X000723.SZ,X600096.SH,X600219.SH,X600489.SH,X600378.SH,X000786.SZ,X002192.SZ,X600157.SH,X000831.SZ,X000933.SZ,X000807.SZ,X002353.SZ,X600688.SH,X600985.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.546350947088561,0,0,0,0,0,0,0.149373908591087,0,0,0,0,0,0,0,-0.0506305699695438,0,0,0.119786639566662,0,0,0,0,0.0127199210521552,-0.00257022706559595,0,0,0,0.0369700547413948,0,0,0,0,-0.0146949918315459,0,0,0,0,0,0,0,0,0,0,0,0.121954175655506,0.0475951761319866,0,0,0.00209754179594369,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.309382835874592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323409547534203,0,0.0959682776973488,0,0,-0.0326740125022311,0,0,0.0644097076619032,0,0,3.46944695195361e-18,-0.0591669346771117,0,-0.0270525226536013,0,0,0,0,0,0,-0.00121440553246721,2.16840434497101e-19,0,0,0,0,0,0
X600028.SH,0.55232663779953,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0133404105843224,0.0121896838731238,0,0.074578150067388,0,0,0,0.0241943790062963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425992608799424,-0.0138234857451183,0.00526746266148837,0,-5.42101086242752e-20,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0340050900174931,0,0.0119102333640573,0,0.207835856557867,0,0.140426778865004,0.111124117453018,0,0,0,0,0,0,0,-0.175339945569161,0.053853063628475,0,0,0,0.220007890020411,0,-2.16840434497101e-19,-0.00680600835329577,0,0,0,0,0,0,0,0,-0.0122256686365298,-0.02156302571418,0,0,0,0,0,0
X600188.SH,0,0.671269737108511,0,0,0,-0.023015848836395,0,0,0,0.116183599096565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0768192973268874,0,0,0,0.0105514985272453,0.0330185460684881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0901627552644321,0,0,0,0,0.147235824833363,0,0,0.0510168726591817,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0.277212537207932,0,0,0,0,0,0,0,0,0,0,0.068685569582815,0,0,0,0.044910625154131,0,0,0,-0.17502518515503,0,0,0,0,0,0,0,0.1242688846016,0,0,0,0,0,0,0,0,0.168558333612973,0,0.0133739177214801,0,0.0667600923522783,0.215852572984045,0,0,0,0.0206615012759481,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0.426097632526677,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0194806103568984,0,0,0,0,0,0,0,0,0.182926599942852,0.0508430547438156,0,0.521072754087408,0,0.0209011071543729,0,0,0,0,0,0,0,-0.00775928062267926,0,0,0.178726222221079,-0.123636129735971,0,0,-0.165408420949638,0,0,0.0204402864927346,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0.0702090455383906,0,0,0,0.102258391416243,0,0,0,0.125912152639842,0,0.0189072540320263,0,0,0,0,0,0,-0.112559651946897,8.67361737988404e-19,0,4.33680868994202e-19,0,0,0,0,0,0.143384107857069,0,0,0,0.456775490291438,0,0,0,0.0177008227660105,0,0,0,0.0337777559661986,0,-0.00542749513621705,-0.0168834363911622,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0.199111107007906,0,0,0,0,0,0,0.217416774522075,0,0,0,0,0,0,0,0.116421893639237,0,0,0,0,0,0,0,0,0,0,0.280315155856178,0,0.0137589502878453,0,0,4.33680868994202e-19,0,0,0,0,0.101709759502949,0.0452246101827548,0,0,0.034366734995244,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0.0197689219583019,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0796855300302052,0,-0.0386094231834425,0,0,0.184618899579818,0,0,0.128388761974327,0,0.336051093915456,0,0,0,0.0463561037942254,0,0,0,0,0,0,0,0,0,-0.0916492142207979,0.114576850331221,0,0,0,0,0,-0.00424441206027483,0,0,0,0,0,0,0
