,X601857.SH,X600028.SH,X600309.SH,X601088.SH,X002460.SZ,X600585.SH,X600019.SH,X600111.SH,X002466.SZ,X000301.SZ,X600660.SH,X600010.SH,X002271.SZ,X000708.SZ,X601898.SH,X601600.SH,X600362.SH,X600188.SH,X600547.SH,X600426.SH,X600011.SH,X600219.SH,X600176.SH,X600886.SH,X000786.SZ,X000825.SZ,X000408.SZ,X600803.SH,X000932.SZ,X300037.SZ,X601991.SH,X600795.SH,X600399.SH,X002409.SZ,X002080.SZ,X000898.SZ,X000959.SZ,X000027.SZ,X600489.SH,X600549.SH,X000807.SZ,X600352.SH,X002353.SZ,X000630.SZ,X000830.SZ,X601168.SH,X601699.SH,X002407.SZ,X600688.SH,X600808.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,-0.0436077713775272,0.0257874579854505,0,0,0,0,0,0,0,0,0.042107517656362,0,0,0,0,0,0,0,0.110943107252751,0,0,0,0,0,0,-0.0344251335619477,0,0,0,0.0233476720009564,0.0263940947561215,0,0,0,0,0.0223022628996147,0,0,0,0.0367041648190168,0.0628901542578879,0.136637047680128,0,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,-0.017231635688406,0,0,0,0,0.0531608880528269,0,0,0,0,0.0300829543626733,0,0,0.0179679830609211,0,0.0546580742290839,0,0,0,0,0,0,0,0,0,0,0,0,-0.00695140901869887,-0.0118385696233828,0,0,0.0153223679882988,0,0,0,0,0,0,0,0.0316440216614637,0,0.0419574329795462,0,0.0422703265209749,0,0,-0.0101653673851312,0.0590110094663477,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0.168110389587311,-0.0271737134462819,0,0,0,0,0,0,0,0,0,0,0.267622663297127,0,0,0,0,0.0460643428603277,0,0,0,0,0,0,0,0,0.0961841313034856,0.0759911336256662,0,0,0,0,0,0.0306898727136626,0,0,0,0,0.0281070336070446,0,0,0,0,0,0,-0.000724978529006229,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.0894977325441379,0.00677870926840593,0,0,0,0,0,0,0,0,0.0458197958108701,0,0.202293188260638,0,0,0,0,0,0,0.0158104640651584,0,0,0,0.100016728113544,-0.093465711575492,0,0,0,0,0,0,0,0,0,0,0,0,0.00772547587507671,0,0.0163586398539786,0,0.00725357669612499,0,0,0,0,0.054589454901081,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.0474743134637489,0.314147954542525,0.0421469018817034,0.125096295113007,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0.0126227293788109,0,0,0,0,0,0,0,0,0,0,0.100643286472365,0,0.21817053544284,0.0525792948333308,0,0,-0.212295718530642,0.290477280950367,0,0,0.0790226972305772,0,0,0,0.0137364274844793,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0.274025093133393,-0.145103379488006,-0.0243787981392467,0.0737140445101029,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.00663868416768112,0,0.189184105122901,0,0.034554467723219,0,0,0.0810615205892399,0,0,0,-0.0683810585477101,0,-0.116161267346716,0.0105569801617342,0,0.139039531060907,0,0,0,0,0,0,0,2.71050543121376e-20,0,0.049511602865317,0,0,0.00570036602545088,0.0721436727190725,0,0,0,0,0,0
X600019.SH,0,0,0.0623560259866012,0,-1.73472347597681e-18,0,0,0,-0.000783141812428714,-0.0562648547647989,0,0,0,0,0,6.93889390390723e-18,0,0.0320049992465837,0,0,0,0,0,0,0,0,-0.0281407133839326,0,0,-0.0365527381877319,0,0,0,-0.103116210751244,0,0.354403199559333,0.136635368514802,0,0,0.0968802382530554,0,0,0.0378786046734514,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0.0286321696869679,0,0,0,0,0,0
X600111.SH,0,0,0,0,0.0569391621492802,0,0,0,0,0,0,0.0497146370850012,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204611748898176,0,0,0,0.275639451348707,0,0,0,0,0,0,0,0.00691525713402729,0,0.3617492070425,0,0,0,0,0,0,0.0243883931071675,0,0,0,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.426196329893189,0,0,0.0972238447575444,0,0,0,0,0,0,0,0,0.477286258132893,-0.240504710302946,0,-0.173459723040108,0,0.350638110242193,0,0,0,0,0.0165105334716056,0,0,0,0,0,0.171156077070718,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0558963633218053,0.102543757313607,0,0,0,-0.0801340017358724,0,0,0,0,0,0,0
X000301.SZ,0,0,0,0,0,0,0,0,0.0303411556317147,0,0,0.0469433261401264,0,0,0,0,0,0,0,0.0083654779843757,0,0,0.0846765452220668,0,0,0.0848928871563379,0,0,0,0,0,0,0.145012882981241,0,0.0925913460973581,0,0,0.128758399194033,0,0,0,0,0,0,0.436569415685256,-0.44259349728194,0,-0.0364039845226429,0,0,0,0.0550228010224153,0.149010220274683,0,0,0,0,0,0
