,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600019.SH,X600585.SH,X601898.SH,X600010.SH,X601991.SH,X601600.SH,X600795.SH,X600886.SH,X600362.SH,X600188.SH,X600111.SH,X600688.SH,X600027.SH,X600309.SH,X601992.SH,X601158.SH,X000792.SZ,X600157.SH,X600583.SH,X000898.SZ,X600352.SH,X000709.SZ,X600547.SH,X002353.SZ,X600489.SH,X000831.SZ,X000630.SZ,X600008.SH,X000539.SZ,X600660.SH,X002470.SZ,X600808.SH,X000825.SZ,X000027.SZ,X600549.SH,X000629.SZ,X600021.SH,X600307.SH,X600578.SH,X600315.SH,X601699.SH,X600098.SH,X000960.SZ,X000983.SZ,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.497134523127276,0,0,0,0,0,0,0,0,0,0.224230584552936,0,0.156476308683359,0,0,0,0,0,0,0,0,0,0,0,0,0.00486900208545169,0,0,0.0405986047978677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00519598603109055,0,0,0,0,0,0
X600028.SH,0.473367601217762,0,0,0,0,0,0,0,0,0.0411727745912415,0,0,0,0,0,0.316411440373777,0,0,0,0,0,0,0.00610904751439667,0,0,0.00369718697136554,0,0,0,0,0,0,0,0,0,0,0,0.0540001815380275,0,0,0,0.028584032707997,0,0,0,0,0,0,0,0,-0.0596409011635195,-0.00871346269558943,0,0,0,0,0,0
X601088.SH,0.00940098487938634,0,0,0,0.0929323845421484,0,0.0531342146383355,0,0,0,0,0,0,0.095822466643542,0,0,0,0.0815822498360661,0,0,0,0,0,0,0,0,0,0,0,0,0.098980355199656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.495139597360471,0,0,0,-0.00165596613903513,0,0,0,0,0,0
X600011.SH,0.0821583350901902,0,0,0,0.00946292574539041,0,0.0213012819070845,0.0291377374761336,0.0766876011147342,1.73472347597681e-18,0.146969896731564,0.0416610308583609,0,0.0107637637180398,0,0.0310038639169553,0.0926407180026915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00607324423998459,0,0,0,0,0,0,0.359277597779058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0.00830815020719474,0,0,0.0999692753718844,0,0,0,0.14423497857024,0.0681955361857471,0,0,0,0,0,0,0.389683652910698,0,0,0,0,0,0,0,0,0.119504264291638,0,0,0,0,0,0,0,0.00729612737397134,0,0,0,0,0,0,0,0,0,-0.0151406786624997,-0.00200803034929287,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103409360584356,0,0.0591153851545409,0,0,0,0,0,0,0.0829189964513465,0,0.0182514408495256,0,0,0,0,0,0,0,0,0.083881155097433,0,0,0,0,0,0,0,0,0,0,0.246198085684818,0.172296444150316,0,0,0,0,0,0.000453625921620052,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.145214928347268,0.0574611682633688,0,0,0,0,0,0.00356936077102902,0,0,0,0,0,0,0.0105103927161871,0,0,3.46944695195361e-18,0,0,0,0,0,0.0230454865523068,0,0,0,0,0,0.00727091033541901,0,0.0672347777932417,0,0.0348899216430209,0.0449061554179733,0,0.093182169877837,0,0,0.385688731524688,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0933810654463366,0,0,0,0,0,0,0,0,0,0.418559151506476,-0.0409300342420386,0,0,0,0,0.212874742973762,0,0,0,0,0,0,0.0367690933183653,0,0.0899191953027144,0,-0.0168631823543264,0.102636762114125,0,0.149157041899031,0,0,0,0,0,0,0.04762786573916,-0.00419634971776762,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0.153281987530025,-0.0636531480817975,0,0.118825378711692,0.345161862718473,0,0,0,0,0,0.234306390059827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0936872260406856,0,0,-0.0269776621435002,0,0,0.17968377383602,0.0341827381469606,0,0,0,0,0,0,0,0,0.0416237449982044,-0.00323366281844146,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.219901124914541,0,0.105021255437009,0,0,0.165755501289372,0,0,0.0855708103897981,0,0.1650953555962,0,0,0,0,0,0,0.12452691782312,0,0,0,0,0.0391358260774814,0,0,0.0255373676318444,0,0,0,0.0413110123334273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0130776778169653,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0.294699545585718,0.224662108221994,0,0.175550314104962,0,0,0,0,0.0895417555294076,0.00255574275529074,0,0,0,0,0,0,0,0,0,0,0.000732302797257693,0,0,0,0.0511696611414905,0.0121874040050136,0,0,0,0,0,0,0.0752571781123475,0,0,0,0,0,0,0,0,0,0,-0.0107500485294315,0,0,0,0,0,0
X600886.SH,0.119467187755859,0,0,0,0,0,0,0,0.130477516948783,0.0058316454898617,0,0,0,0,0,0,0,0.117915214458502,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.160269137314184,0,0,0,0.0953347334425575,0.0583355812023819,0,0,0,0.143171150263157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600362.SH,0,0.0128421840130729,0,0,0,0,0,0.0571350149018816,0,0,0,0,0,0,0,0.0768683870063524,0,0,0.131557086072822,0,0,0,0.0178937385439413,0,0,0,0,0,0,0,0.148405166331401,0,0,0,0,0.0103136490969988,0,0,0,0,0,0,0.0108828167880811,0,0.189431801407477,0,0,0,0,0,0,-0.00553370914322547,0,0,0,0,0,0
