,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X601600.SH,X601898.SH,X600547.SH,X601991.SH,X600660.SH,X600688.SH,X600886.SH,X600362.SH,X600795.SH,X600188.SH,X002466.SZ,X600027.SH,X601992.SH,X000898.SZ,X600516.SH,X600111.SH,X002460.SZ,X600176.SH,X000709.SZ,X600352.SH,X000786.SZ,X600299.SH,X600219.SH,X600801.SH,X600808.SH,X000629.SZ,X000825.SZ,X601158.SH,X600489.SH,X002271.SZ,X600157.SH,X000630.SZ,X000553.SZ,X002110.SZ,X000883.SZ,X600339.SH,X002470.SZ,X600583.SH,X600985.SH,X300072.SZ,X000027.SZ,X000408.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.143987125022333,0,0,0,0.0272975713197713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0224267870961304,0,0,0,0,0,0,0,0,0,0,0.0156215713904814,0,0,0,0,0,0,0,0,0.00248973278749497,0,0,0.0841897640080149,0,0.0485453044234875,0.117809746412853,0,0,0,0,-2.16840434497101e-19,0.00466118678752782,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.135191890131687,0,0,0.181923003466285,-0.0867322902981498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0783328333785304,0,0,0,0,0,0,0,0.333638545898366,-0.0682110734169822,0,0,0,0,0.174726322749787,0,0,0.0448285235082466,0,0,0,0.0173390090466748,0.0386147436765169,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0.132442725425487,0,0,0,0,0,0,0,0,0,0.0626775691585462,0,0,0,0,0,0,0,0.0670737295166941,0,0,0.164791581562483,0.045086728232585,0,0,0,0,0,0,0,0,0.0133746119535633,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0325489046950907,0,0,0,-0.0559707627778061,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0775960360864519,0,0,0.154069607157933,0,0,0,0,0,0.0851566813655588,0,0,0,0.197467950983929,0,0,0,0,0,0,0,0,0,-0.0142868498491041,0.0201841698642432,0,0,0,0,0,0
X600019.SH,0,0,0,0.0168010810408009,0,0,0,0.0210420793730109,0.0562797083145997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093544107001607,0,0.143891504020256,0,0,0,0,0,0,0.0612517317596417,0,0,0,0,0,0.0478596313890404,0,0,0.200650247276644,0,0,0,0,0,0,0,0,0,0,0.0122278203915145,0,0,0,0,0,0
X600309.SH,0,0,0,0.102263495079188,0,0,0,0,0,0,0,0,0,0,0,-0.00311389586128464,0,0,0.0724429378462101,0,0,0,0,0,0,0,0,0.0952851497576804,0,0,-0.107391351084994,0.288568060812072,0,0.0575097222989108,0,0,0,0.0251968926830599,0,0,0,0.311128684541602,0,0,0,0.192161218382735,0,0,0,0,0,0,0.0451424909443415,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.475906529081044,0,0,0.607078407442424,0,0,-0.222900268044669,0,0,0,0,0,0,0,0,0.0406736054424621,0,0,0,0,0,0.0390499182917724,0.0336109155863092,0,0,0,0,-0.0851464621672748,0.0414002812670718,0,0,0,0,0,0,-0.000400039081211144,-3.46944695195361e-18,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0894121944063746,0,0,0,0,0.00208084809785341,0,0.0141444644670123,0.178410135861329,0,0,0,0,0,0,0.207758435641143,0,0,0.0179948230638597,0,0,0,0.14904136642855,0,0.0481065096230853,0,0,0,0,0,0,0,0.122032749586922,0.104656492054976,0.178198839424973,0,0,-0.0144744409263562,0,0,0,-0.0306594972439723,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.388847253480186,0,0,0.0501775630945019,0,0,0,0,0.154883336267106,0.0337529312762954,0,0,0,0.0128810222276743,0,0,0,0,0,0,0,0,0,0,0,0,0.0389475132724101,0,0,0,0,0.035669754384288,0.0898723649481093,0,0,0,-0.0237402552070503,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.0985832773150729,0.231538316852352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0407431221042253,0,0,0,0.0016753263955511,0.0245980781288357,0,0,0,0,0,0,0,0.0366221017420651,0,0,0,0,0,0,0,0,0.0680994846334316,0.125836274987108,0,0,0,0.0297165400581811,0,0,0,0,0,0
