,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X002271.SZ,X002460.SZ,X000708.SZ,X600660.SH,X601898.SH,X600547.SH,X600362.SH,X000786.SZ,X600111.SH,X601600.SH,X000301.SZ,X600886.SH,X600010.SH,X600188.SH,X600176.SH,X600011.SH,X600426.SH,X002466.SZ,X000932.SZ,X600803.SH,X600801.SH,X601991.SH,X000898.SZ,X600352.SH,X600219.SH,X600795.SH,X000027.SZ,X600489.SH,X600157.SH,X600688.SH,X600486.SH,X002080.SZ,X600315.SH,X000807.SZ,X600516.SH,X000723.SZ,X600027.SH,X000825.SZ,X300037.SZ,X601168.SH,X600299.SH,X002353.SZ,X000883.SZ,X600808.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.276101159137115,0,0,0,0,-0.0407791203509393,0,0,0,0,0,0.0458991875385496,0,0,0,0,0,0.022284026051713,0,0,0,0.0388999869130527,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,-0.0195676445496439,0,0,0,0,0,0,0,0,0.0539955675483255,0,0,0,-0.00212941636766462,1.73472347597681e-18,0,0,0,0.00507513903380676,0,0
X600028.SH,0,0,0,0,0,0,0,0,0.071640355307319,0,0,0,0,0,0.00434001986293015,0.0347986745471944,0,0,0,0,0,0,0.120704623086394,0.0174045326083368,0,0,0,-0.099810264337474,0.124550508001153,0,0,0,0,0,0,0,0,0,0,0.127572901321724,0,0.013020157586831,0,0,-0.0179686365627675,0,0,0,0.0281540288225735,0,0,0,-0.015875238120416,0,0,0,0.0059775107486015,0,0
X601088.SH,0,0,0,0,0,0,0,0.0899029278577498,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,-0.0223685032529528,0.111869809904524,0,0,0,0,0,-0.00526750578418155,0,0,0,0,0,0,0.0223076931341212,0,0,0,0,0,0,0.202043543862679,0,0,0,0,0,0,0,0,0.0401535113708483,0,0,0.0270614233968462,0,0,0,0,0.0150419965811357,0,0
X600309.SH,0,0,0,0,0,0,0,0.0954286213455788,0,0,0,0,0,0.186694511262246,0,0,0,0,0,0,-6.93889390390723e-18,0,0.109154257276065,0.181556174972002,0,0,0,0,0,0,0,0,0,0,0,0,0.0394493759653237,0,0.02619048019064,0,0,0,0,0,0.0220137477761583,0.136623218911014,0,0,0,0,0,0,-0.0394545644254168,0,0,0,0,0,0
X600585.SH,0,0,0,0.0193192194952475,0,0,0,0,0.0454318364644571,0,0,0,0,0,0,0,0,0,0,0.10620602313853,0,0,0.0107968422200187,0,0.0235958552445289,0,0.0928508489793826,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0.032370497145019,0,0.0496456407668022,0,0,0,0,0,0,0,0,0,0,-0.0279329623566365,-0.00351109472978824,0,0,0,-0.0280601589791617,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.00952377165553081,0,0.0215944860401107,0.0566850218503837,0,0,0,0.124283021320168,0.0161808007503482,0,0,0.107849638412215,0.348759033843568,0.0476588138571578,0,0,0,0.00166633978412763,0,0,-0.0132259807644459,0,0,0,0,0,0,0.0422883516388718,0,0,0,0.278787311911586,0,0,0,0,0,0.0330453320425319,0,0,-0.0071885553073594,0,0,0,0,0,0
X002271.SZ,0,0,0,0,0,-0.0979357785580069,0,0,0,0.0547317138882582,-0.0226385754657178,0,0,0,0,-0.0695073263723653,0,0,0,0,0,0,0,0,0,0,0,0,-0.00257909931542435,0,0.0906020242299146,0,0,-0.0714407961555212,0,0,0.11307670765673,0,0,0,0,0.0160511333478171,0,0,0.165129916325374,0,0,0,0,0,0,0,-0.0475888416487222,0,0,0,-0.0564160390995821,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.13029574853751,0,0,0.0912416742377874,0,0.178080849947941,0,0.0432189880867607,0,0,0,0,0,0,0.18257869033982,0.0717439178107322,0.0249109679447457,0,0,0,0,0.162306534735766,0,0,0,0,0,0.374435942835834,0,0,0,0,0.0257594540461813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0175005180323541,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,-0.0468602083010864,0,0,-0.131969188685512,0.218532885134793,0,0,0,0,0,0,0.121405868137045,0,0,0,0,-0.187174546257018,0,0.283128476916181,0,-0.424323340184615,0,0,0,0,0,0,0,0.190488004044889,0,0,0,0,0.00487626202409734,0,0,0.369139712888848,0,-0.103539808917607,0,0,0.241991653627846,-0.224031414708186,0,0,0,-0.041288414992735,0,0
X600660.SH,0,0,0,0,0,0,0.110599755475214,0,0,0,0,0,0.0807335398503211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241181261819489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0354037776287072,0,0,0,0,-0.0509414527712991,0,0
