,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X601898.SH,X600547.SH,X601600.SH,X600660.SH,X000792.SZ,X600886.SH,X002466.SZ,X002460.SZ,X600010.SH,X600111.SH,X000301.SZ,X000708.SZ,X600426.SH,X002271.SZ,X600362.SH,X600795.SH,X000877.SZ,X000983.SZ,X601699.SH,X600027.SH,X600489.SH,X600803.SH,X600176.SH,X601991.SH,X000807.SZ,X000786.SZ,X600160.SH,X000932.SZ,X000630.SZ,X000933.SZ,X600219.SH,X000408.SZ,X000629.SZ,X002080.SZ,X600688.SH,X600612.SH,X000539.SZ,X600985.SH,X300037.SZ,X600157.SH,X600096.SH,X002128.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,1.06328684755422,0,0,0,0,0,0,0,0,-0.00280863265840834,0,0,0,0,0,0,0,0,0,0.0162819309459569,0,0,0,0,0.00819514630557902,0,0,0.149053162858287,0,0,0,0,-0.0367092845240723,0,0,0,0,0,0,0.0530134411865132,0,0,0,0,0,-0.00636197057237802,0,0,0,0,-0.0246758367313401,0,0,0,0,0,0,0
X600028.SH,0.429761310720209,0,0,0,0,0.0120959595038693,0,0,0.333373179339561,0,0,0,0,0,0,0,0,-0.00925696620486769,0,0,0,0,0,0,0,0,0,-0.0906710414572163,0,0.0383435916579894,0,0,0,0,0,0,0,0.10419695716951,0,0,0,0,0,0,0,0,0,-0.0250401184014328,-0.244209813841713,0,0,-0.00428395431541755,0.0361702909665175,0,0,0,0,0,0
X601088.SH,0,0.101673191140892,0,0,0.2251238647646,0,0,0,0,0,0,0,0,0,0,0,0,0.118485253042227,0,0,0,0.0445875519721457,0,0,0,0.0165764016336061,0,0,0,0,0.0439392186448834,0,0,0,-0.0352376966988729,0,0.112937199537938,0,0,0,0,0,0,0,0,0,0,0.0407913441644161,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,2.16840434497101e-19,0,-0.0376080968708658,0,0,0.0127906781094941,0,0,0,0.0179865272805394,0.211272807319238,0,0,0,0,0,0.0958397484278121,0,0,0,0,0,0,0,0,0,0,0,0,0.00494554891537284,0.106906304648922,0,0.0300669093358447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0170301384813963,0,0,0,0,0,0
X600188.SH,0,0,0.725751280460933,0,0,0,0,0,0,-0.373476601581343,0.114300633725056,0,0,0,0,0,0,0,0,0,0,-0.00524007374699302,0,0,0,0.124873073741632,0.225560469534389,0.0357553643183269,0,0,0,0,0,0,0,-0.151950908245431,0,0,0,0,0,0,0,-0.126413638356886,0.0496885736743195,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0.0503278975423869,0,0,0,0,0,0,0,0,0.299361016465927,0,0.152263615018853,0,0,0.135373642308962,0,0,0,0,0,0,0,0.0634686706065147,0,-0.00728837872866886,0.137590455973482,0,0,0,0,0,0,0,0,-0.0029434768614048,0,-0.260505984049082,0,0,0,0,-0.0188053517265336,0.0557630456754695,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0354965965670203,0,-0.0281904670575219,0,0,0,0,0,0,0,0,0,0,0,0.0941101865048773,0,0,0,-0.0401279754797949,0.0863255616766558,0,0,-0.112700982659327,0,0.0473855012062714,0,0,0.134808249980131,0.0191674591515442,0,0,0,0,0,0,0,0.27045252552319,0,-0.220472095953171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600011.SH,0,0.265285909166785,-0.514170761915604,0,-0.0283317424810967,0,0,0,0,0.112690814905272,0,0,0,0.396623220900801,0,0,0,0,0,0,0,0,0,0,-0.110677106997438,0,0,0.341072027532137,0,0,-0.0153415743721626,0.0381778810960016,-0.159889321671079,-0.0119621165201839,0,0,0,0,0,0,0,-0.120160777749699,0,0,0.176516084585579,0,0,0,0,0,0,0,0.00942988476072079,0,0,0,0,0,0
X601898.SH,0.0756639613162353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01620550671689,0,0,0,0,0,0,0,0.160153191423404,0.219028110216329,0,0,0.160480867832504,0,0,0,0,-0.118774300569226,0,0.126104878700325,0,0.036136807936232,0,0.066227625269866,0,0,0,0,0,-0.125728571151397,0,0,0,0,0,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,-0.174546114766208,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0526864945759052,0,0,-0.0483063795429989,0,0,0.0212888207198595,0,0.485481115017286,0.178684055714616,0,0,0,0,-0.0700948352041941,0,0,0,0,-0.0673753540308651,0,0,0,0.0832155369062443,0,0,0.0609362136152157,0,0,0,0.00811676365844546,-0.0173356672957043,0,0,0,0,0,0,0
