,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600688.SH,X600027.SH,X600157.SH,X600886.SH,X600362.SH,X600111.SH,X600188.SH,X601992.SH,X600299.SH,X601158.SH,X000709.SZ,X600160.SH,X000898.SZ,X000792.SZ,X000883.SZ,X600660.SH,X000539.SZ,X600623.SH,X600309.SH,X600583.SH,X000027.SZ,X600352.SH,X600547.SH,X000629.SZ,X000630.SZ,X600489.SH,X002470.SZ,X600022.SH,X600098.SH,X600578.SH,X000060.SZ,X002466.SZ,X600021.SH,X000723.SZ,X600808.SH,X600176.SH,X300072.SZ,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.531212867831931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0191640170999454,0,0,0,1.73472347597681e-18,0.055724020569608,0,0.0241362730286682,0,0,0,0,0,0.0108658951467939,0,0,0,0,0.0313114424755321,0,0,0,0,0,0,0,0,0,0.106902013200276,0,0,0,0,0,0.000709792542586682,0.0125665685216754,0,0,0,0,0
X600028.SH,0.322395967684717,0,0,0,0,0,0.0759234013667732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0.178472164279751,0,0,0,0,0,0,0,0,0,0,0.0161650810081477,0,0,0.00280366349333055,0.0566635061365107,0,0,0,0,0,0,0.00958558247081467,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.21818607802598,0,0.245197012248035,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0,0,0,0,0.0263791959155046,0,0,0,0,0,0,0,0,0,0.0679706961531715,0.0294067922046619,0,0,0,0,0,0.0384689538981882,0,0,0,0,0,0,0.0639876425610907,0,0,-0.0419115616792691,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.0832268490353333,0,0.0390438756267665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0233072335983924,0,0,0,0,0.0778961388063565,0,0,0,0,0,0,0,0,0,0,0,0.0583654725235087,0,0,0,0.176421407885892,0.0549099246734804,0.0384774572471907,0,0,0,0,0.00047992165019551,0.00795464093186563,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00262989797279607,0,0,0.429356925776314,0.14701860129727,0.0271596467243788,0,0,0,0,0,0,0,0,0,0,0,0,0.00142281006699684,0,0,0.124045989919062,0.0618250722006096,0,0,0,0,0,0.0536775431438484,0.0311174231454496,0,0,0,0,0,0,0,-0.00346614507505728,-1.0842021724855e-19,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13760296219835,0.12944910732398,0,0,0,0.00850154073007658,0,0,0,0,0,0,0,0,0,0.0591573532336419,0,0,0,0,0,0.2788836443832,0,0,0.0420295599644956,0,0,0,0.0181659796662269,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0.0311134306451524,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16210030978065,0.0572617716440882,0,0,0,0,0,0,0,0,0,0,0,0.00166480225635553,0,0,0,0,0.0183732016092984,0,0.0828773141956931,0.0466438595986713,0,0,0,0.0622081498104258,0,0.0389904534311442,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118299332352518,0,0.286612679766669,0.0175155541495032,0,0,0.178291875754918,0,0,0.0186005564246118,0,0,0,0,0,0,0,0.0174089477467471,0,0,0.0681350069094232,0,0,0,0,0,0,0.00352671170909406,0,0.0398555093743096,0,0,0,0.123551017320838,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0156822643239806,0,0.0934400486513981,0,0.331282851327504,0,0,0,0.110959571123957,0.0188172895621225,0,0,0,0,0,0,0,0,0,0,0,0,0.0118391806645009,0,0,0,0,0,0.0593802724926288,0,0,0.0698145320014885,0,0,0,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0774008174764624,6.93889390390723e-18,0,0,0,0.00360173484911659,0,0.0553723379417146,0,0,0,0,0,0,0.063202282273896,0,0,0.108699970248889,0,0,0,0,0.171380488671675,0,0.0438502803985365,0,0,0,0,0,0,0,0,0,-0.0020303675279825,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0.215031897969,0,0,0,0,0,0.00946312990382072,0,0,0,0.177987900678817,0,0,0,0.0019621645382966,0.0482883893866607,0,0.0555883408006845,0,0,0,0,0,0,0,0,0,0.0739561366693833,0.00802060066247404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266328783731015,0,0,0,0,0,0,0.0448526610095095,0,0.018493848320665,0,0,0,0,0,0.0124702801199167,0,0,0,0,0,0,0,0,0,0.0099025710892211,0.180828705827267,0,0.190606437507552,0.015436422418054,0,0.0495433689056038,0,0,0,0,0,0,0,0,0,0,0,0,0
