,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600309.SH,X600011.SH,X600010.SH,X600547.SH,X601600.SH,X601898.SH,X601991.SH,X600688.SH,X600660.SH,X600886.SH,X600362.SH,X600111.SH,X600188.SH,X600795.SH,X600352.SH,X000723.SZ,X600801.SH,X601992.SH,X000898.SZ,X600027.SH,X000629.SZ,X600176.SH,X000709.SZ,X000786.SZ,X002460.SZ,X002271.SZ,X600516.SH,X600489.SH,X002466.SZ,X000883.SZ,X600299.SH,X600219.SH,X000553.SZ,X601158.SH,X600808.SH,X600985.SH,X000630.SZ,X601699.SH,X600583.SH,X000027.SZ,X000301.SZ,X600339.SH,X000401.SZ,X000825.SZ,X600426.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0.0968660753670035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00528075613595442,-0.00747044029430135,0.0649119738058742,0,0,0,0,0,0,0,0,0,0,0,0.0747892808832175,0,0.00822149260531801,0,0,0,0,0.0673400589444922,0,0,0.033969261935728,0,0,0,0,0.0441100068561544,0,0,0,-0.00358223980475905,0,0,0,0.00258394591712808,0,0
X600028.SH,0,0,0.0819321596114768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0508862058720331,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00280611300926095,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0.0205891285608242,0,0,0.185562052394998,0,0,-0.0312753630329405,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.0755462008667689,0,0,0,0,0,0,0,0,0,0,0,0,0.0826117852663605,0,-0.114255855769539,0,0.102120812824419,0,0,0,0,0,0,0.0807972979697636,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2084995012188,0,0,0,0,0.115434581951894,0,0,0,0.0410220331645632,-0.0500768211882739,0,0,0,0.0176516760634867,0,0
X600585.SH,0,0,0,0,0,0.15051158631854,0,0,0.027827412463582,0,0,0,0,0,0,0,0,0,0,-0.0198638892635229,0.0496128041618619,0.402240695381981,0,0,0,0,0,0,0,0,0,0.0402257035746117,0,0,0,-0.0764088197420711,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.0624243630777406,0,0,0,-0.0263151452521634,0,0,0,0,0.0187015596650575,0,0
X600019.SH,0,0,0.0766782725580257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108917468880929,0,0,0.0573546248714156,0.227698907876193,0,0,0,0,0,0,0,0,0,0,0,0,0.102219257687954,0.0533014730580896,0,0,0,0,0,0.00876817245737229,0,0,0,0,0,0,0,0,0,-0.00573057094020017,-0.0457292754013622,0,0,0,0,0,0
X600309.SH,0,0,0,0.149605527752582,0,0,0.176103237428742,0,0,0,0,0,0,0,0,0,0,0,0,0.19086988369094,0,0,0,0,0,0,0,0,0,0,0,0.157614495945808,0,0,0,0,0,0,0,0,0,0,0,0,0.234753183432704,0,0,0,0,0.113293330500641,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.035575910591687,0,0.135656956511721,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.138849916371183,0.031082745523639,0,0,0,0.317559283232214,0,0,0,0,0,-0.0537459509203714,0,0,0,0,0,0,-0.0866302369871111,0,0,0,0,0,0,0,0,0.0992058009230785,0,0,0,0,0.0295097008604633,0,0,-0.161637570169602,0,0.0208173790566514,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0747561728584451,0,0,0,0.0601250175958294,0,0.089047733266136,0,0,0,0.141392842085096,0,0,0,0,0,0,0,0,0,0.0542443673948868,0.387800351885007,0,0,0,0.0815339518562602,0.00541943021891602,0,0,0,0,0,0,0,0,0,0,-0.097769437954755,0,0,0,-0.0368661933215953,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0658198904781726,0,0,0,0.00751406569008523,0,0,0,0,0,0,0,0,0,0,0,0.909597123326598,0,0,0,0,0.0696051270137677,0,0,0,0,0,0,0,0,0,0,0,-0.00439952178563739,-0.0788449079587404,0.00109467662302725,0,0,0,0,0.0160202193159825,0,0
X601600.SH,0,0,0,0,0,0,0,0.208624506637025,0,0,0,0,0,0,0,0.244890316675631,0,0,0,0,0.0206731576591342,0.0695454208389627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170332104783225,0,0,-0.0334852856748728,0,0,0,-0.0234536310924992,0,0
