,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600019.SH,X600585.SH,X600688.SH,X601898.SH,X601600.SH,X600795.SH,X601991.SH,X600027.SH,X600188.SH,X600362.SH,X600111.SH,X601992.SH,X600886.SH,X600157.SH,X600623.SH,X600299.SH,X600547.SH,X600660.SH,X601158.SH,X002466.SZ,X600352.SH,X600309.SH,X000792.SZ,X600489.SH,X600583.SH,X000709.SZ,X000539.SZ,X000898.SZ,X000883.SZ,X000027.SZ,X000629.SZ,X000630.SZ,X002075.SZ,X300072.SZ,X000959.SZ,X600021.SH,X002470.SZ,X000060.SZ,X000983.SZ,X600176.SH,X600578.SH,X600612.SH,X600022.SH,X600098.SH,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.173357244801883,0,0,0,0,0,0,0,0,0,0,0,0.0427949779930529,0,0,0,0.0344465177374837,0,0,0,0,0.0684562061904948,0,0,0.0465336263938948,0,0,0.0697084167816562,0,0,0,0,0,0,0,0,0,0,0,0,0.0342805906691974,0,0,-0.0110019034492072,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0.0879265859523227,0.163565148475787,0,0,0,0,0.0308442950770674,0,0,0,0,0,0,0,0,0,0,0,0.00850467680773771,0,0.0140066716964417,0,0.111816259206643,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02459151514786,0,0.00491203696134596,0,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0.424856912053872,0,0,0,0,0.0735341516438133,0.165374457014369,0,0.0123580591373192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13112561362183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005708214989623,0,0,0,0,0,0,0,0,0
X600011.SH,0,0,0.171288889228114,0,0,0,0,0,0.0299303702116183,0,0,0,0,0,0,0,0.1128152764253,0,0,0,0,0,0,0,0,0,0,0,0,0.0271897322512414,0,0,0,0,0.0115251055733513,0,0,0,0,0.0562239135929531,0,0,0,0,0,0,0,0,0.187630920608804,0,0,0,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0.129218979509104,0,0,0,0,0,0.0427187362964532,0.264638346595512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108237643645863,0,0.00766531239410914,0,0,0.0998736609503567,0,0.0146972695867723,0,0.0213173344475114,0.0863853268651663,0,0.106936654103514,0,0,0,0,0.0810499192894008,0,0,0,0,-0.0129931602418116,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00594383891377465,0,0,0,0.0412136772060147,0,0,0,0,0,0,0,0,0,0,0,0,0,0.42622317000631,0,0,0,0,0,0,0.0516526452724207,0,0,0,0.0769756611144278,0,0,0,0.347779728539837,0,0,0,0.0251471446259298,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0.031832563461925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161223740183187,0,0,0,0,0,0,0.113013929704535,0,0,0.176474478606933,0,0,0,0.0543732674336,0,0,0,0,0,0,0.0322409631521996,0,0,0,0,-0.0382781936659077,0,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0.1208791333475,0,0,0,0,0.0842914612766705,0,0,0,0,0,0.0547868902310326,0.0622726427427562,0,0,0,0,0,0,0,0,0,0.0669879518015754,0,0.00324301503011987,0,0,0,0,0,0,0,0.0781946943660691,0,0.276777284649471,0.0789355769289861,0,0,0,0,-1.38777878078145e-17,0,0,0,0.0379865900552489,0,0,0,0,0,0
X601898.SH,0,0,0.0610560312987808,0,0.0752340483633976,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0.106726003307361,0.0269178439736087,0.0851091900150962,0,0,0,0,0.0216978605390313,0,0,0,0.00785029305827566,0,0,0.191100255369834,0,0,0.115487709257463,0,0,0,0,0,0,0,0.029179049523438,0,0,0,0.0771849077831758,0.12011050882128,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0559071584777354,0,0,0,0,-6.93889390390723e-18,0,0,-0.00406413605889053,0,0,0,0.119680532282485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13441415080352,0,0.221949976543441,0,0,0,-0.168704865064495,0.34869798067866,0,0.00789297368891701,0,-0.0290091963193907,0,0,0,0,0,0,0
