,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600585.SH,X600660.SH,X601600.SH,X600547.SH,X600886.SH,X600795.SH,X000792.SZ,X601699.SH,X002466.SZ,X000708.SZ,X002460.SZ,X600362.SH,X600111.SH,X000301.SZ,X600010.SH,X600027.SH,X000983.SZ,X600803.SH,X000877.SZ,X600489.SH,X600426.SH,X600160.SH,X601991.SH,X000630.SZ,X000408.SZ,X600985.SH,X000786.SZ,X000933.SZ,X000807.SZ,X601168.SH,X000932.SZ,X002271.SZ,X600612.SH,X600176.SH,X002128.SZ,X600348.SH,X600219.SH,X600096.SH,X601666.SH,X000027.SZ,X000883.SZ,X000831.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.214201928809938,0,0.0998106005359952,-1.38777878078145e-17,-2.16840434497101e-19,0,0.0546980668955206,0,0,0.157711388851922,0,0,0,-0.198282627574544,0.0749640192057339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0490872630181879,0,0,0,0,0,0,0,0,0,0,0.106871523237227,0,0,0,0,0,0,0.064709409303444,0,0.0353166899027762,0.133147699104583,0,0,0,0,0
X601088.SH,0,0,0,0,0.207561237275645,0.171031751005417,0,0.0549151028140686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0465460991393212,0,0,0,0,-0.0226442347230599,0,0,0,0,0,0,0,0.0150089323802278,0,0,0,-0.106787652744076,0,0,0,0,0.164763215098596,0,0,0,0,-0.0178055306451513,0.0195871077796289,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,-0.204980331524666,0,0.154859408774056,0,0,0,0,-0.0867950908136922,0,0,0,0,0,0,0.119280757223736,0,-0.0572113987754717,0,0,0,0,0,0,0,0,0,0,0,0.0347082400387696,0.137402643716053,-0.0012840833146501,0,0,0,0,0,0,0,0,0,0,0,0,0.00850993544313335,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117711017374644,0,0.223617127361393,0,0,0,0,0,0,0.210975277763153,0.240732704476244,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,-0.0668128252094311,0.0135865133407846,0,0,0,0,0,0,0,0.0837431667920721,0,-0.0035031612110535,0,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.237358892880805,0,0,0,0,0,0.0202565676396545,0,0.0796552289010572,0,0.0664895633270054,0,0,-0.0529853856341859,0,0,0,0,0,0.162876833777367,0,0.018390636962125,0,0,0.0374341450122792,0.0262209207559285,0,0,0,0,0,0,0.0402023611846675,0,0,0,0,0.0489642229644286,0.168883215449227,0,0,0,0,0,0,0,0.00521558854308463,0,0,0,0,0,0,0
X601898.SH,0,0.00232468302948674,0,0,0.123359444057304,0,0,0,0,0,0,0,0,0,0,0.220945603629955,0,0,0,0,0,0,0,0.373044293225834,0.309628994378979,0,0,0,0,0,0,0,0,0.088041377655707,0.0451060233082203,0,0,0,0,0,0,0,0,0.0133982793059057,0,0,0,0,0,0,0,-0.0136541119175656,-0.00214133310202309,0.0986749492341006,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.0825812101121094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105103164334292,0,0,0,0,0,0,0,0,0,0.169868026440842,0.113634996362454,-0.110423705624169,-0.0746311780429577,0,0,0,0,0,0,0,0,0,0,0.0110115756697096,0,0,-0.154226663122298,0,0,0,0
X600011.SH,4.33680868994202e-19,0,0,0,0,0.241179283082395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293029299042215,0,0,0,0,0,0,0.185626356219131,0,0,0,0,0,0,0,0,0,0,0,0,0.0268583723842008,0,0,0,0,0,0,0,0.0133161470402947,-0.01175800734221,0,0,0,0,0,0
X600585.SH,0,0,0,0.121143604960954,0,0.0317709147295474,0,0,0,0,0.00210623905155821,0,0,0,0,0,0,0,0,0,0,0,0.0449812930820622,0.0381867759876673,0,0,0,0,0.194896320881633,0,0,0,0,0,0,0,0.0175449196242015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00628489002872309,0.0118009478779241,0,0,0,0,0,0
X600660.SH,0.108437013330221,0,0,0,0,-0.0458290590386623,0,0,0,0,0,0,0.0156600366437179,0,0,-0.00887643480138984,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150667236916564,0,0,0,0,0,0,-0.258170337424308,-0.0408002181761955,6.93889390390723e-18,0,-0.00686425938299281,0,0,0,0,0,0,0.12594170629378,0,0.0880225306405002,0,0,0.0338616257980475,0.135369824940214,0,0,0,0,0
