,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600011.SH,X600019.SH,X601898.SH,X601600.SH,X601991.SH,X600111.SH,X600362.SH,X600188.SH,X600010.SH,X600795.SH,X600886.SH,X601992.SH,X600027.SH,X600688.SH,X600309.SH,X600583.SH,X601158.SH,X000792.SZ,X000898.SZ,X000709.SZ,X000883.SZ,X002353.SZ,X600489.SH,X600547.SH,X000629.SZ,X000539.SZ,X000831.SZ,X000825.SZ,X601699.SH,X000630.SZ,X600315.SH,X000027.SZ,X600660.SH,X600352.SH,X600549.SH,X000983.SZ,X002470.SZ,X000937.SZ,X600808.SH,X000959.SZ,X600578.SH,X600307.SH,X000960.SZ,X600008.SH,X600490.SH,X601168.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0.0630923414481908,0,0.130601514743196,0,0.0375948329315332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0.0759444347186741,0,0,0,0,0,0.0150280063274329,0,0,0,0,0,-0.0259834030921504,0,0,-0.0194458348466676,0,0.0227967549007402,0,0,0.0195923225215902,0,0,0,0,0,-0.00623329531486539,-0.00753686395555328,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.117120920942411,0,0,0,0,0,0,0,0.0317850751728546,0,0,0,0.0521812209970754,0.0127729368629959,0,0,0,0,0,0,0.0993279878876989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0589126245599938,0,0,0,0,0,0.220786664424004,0,0,0,0,-0.000125600195402898,-0.0172599518992391,0,0,0,0,0,0
X601088.SH,0,0,0,0.0225838192787454,0.0261699818638031,0,0.1848235317764,0.130035870513622,0,0,0,0.19373363616607,0,0,0,0,0,-0.0899762224573875,0,0,0,0,0,0,0,0,0,0,-0.00136486518988454,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.076099478053297,0,0,-0.00141375946919365,-0.00220240998063655,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0150877202952849,0,0.194690904057487,0,0,0,0,0.0789786673077543,0,0,0,0.018429917290455,0,0,0,0,0,0,0.00794024611299367,0,0.0563326928891422,0,0,0.0297882847644819,0,0.0508975412140619,0,0,0,0,0,0,0,0,0,0,0.0919087257152329,0,0,0,0,0,0,0,0,0,-0.0209201411641994,0.00128968050079203,0,0,0,-0.0748695704709143,0,0
X600011.SH,0,0,0,0,0,0.285833443894509,0,0,0,0,0,0,0.0440007770284935,0,0.0178346465459776,0,0.370476289112497,0.151734676560022,0,0,0,0,-0.0568315471385243,0,-0.0355775594404653,0.0327140606736614,0.0169987553915151,0,0,0,0,-0.0328063607080588,0,0,0,0,0,0,0,0,0,0,0,0.0123647288575121,0,0,0,0,0.00757520852539565,0,0,0.0187080089453096,-0.0412573013551735,0,0,0,0,0,0
X600019.SH,0,0,0,0.0968128285281189,0.155468766649321,0,0,0,0,0,0.0453097954214617,0.0703604581604498,0,0,0,0,0,0,0,0,0,0,0,0.236517310588205,0,0,0,0,0.177977552039475,0,0,-0.0415500123488115,0,0,0,0,0,0,0,0,-0.0574661462939273,0,0,0.09575310730014,0,0,0,0,0,0,0,-0.00561386100474344,0.0124946656178807,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0.258839835224436,0,0,3.46944695195361e-18,0.103608072596733,0.0295671110009332,0,0,0.136204397772992,0,0,0,0,0,0,0,0,0,0,0.0746639727211339,0,0,0,0.102521312757959,0,0,1.73472347597681e-18,0,-0.0265443111001659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0251296706758197,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.0438159439878381,0,0.111680536956079,0,0.254451385028793,0.00798072584869365,0,0,0,0,0,0,0,0,0,0,0.0240304199256304,0,-0.0493949391504826,0,0,0,0.108218136810717,0,0,0,0.043345254048715,0.091703442596619,0,0,0,0,0,0,0,0,0.0675302959181272,0.0470745293666025,0,0,0,0,0.00937609650698279,0.15279357628926,0,0,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0.0237295343558025,0,0,0.00847711372465943,0,0,0,0.043513375134961,-0.024224657691764,0,0,0,0.146765831220967,0,0,0,0,0,0,0,0,0,0,0,0.132999025908544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155452644664688,0,0,0.110596792812373,0,0,0,0.00960208376325984,-0.0275251867368965,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0846824519945874,0,0,0,0,0,0,0,0,0,0.0608867468187647,0,0,0.0349759814641276,0,0,0.0905471808365156,0,0,0,0,0,0,0.276119971032999,0,0,0,0,0.00491410282366588,0,0,0.0931061501367116,0,0,0,0,-0.00632249517249497,0.00238523907680821,0,0,0,0,0,0
