,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600585.SH,X600019.SH,X002460.SZ,X002271.SZ,X600660.SH,X000708.SZ,X601898.SH,X600547.SH,X601600.SH,X600362.SH,X000301.SZ,X000786.SZ,X002466.SZ,X600111.SH,X600010.SH,X600188.SH,X600426.SH,X600886.SH,X600011.SH,X600176.SH,X000027.SZ,X600795.SH,X600803.SH,X601991.SH,X600352.SH,X600489.SH,X600219.SH,X000408.SZ,X600801.SH,X000932.SZ,X000807.SZ,X600688.SH,X000898.SZ,X002353.SZ,X000825.SZ,X002080.SZ,X300037.SZ,X600315.SH,X600157.SH,X601699.SH,X000959.SZ,X600299.SH,X600486.SH,X000830.SZ,X600027.SH,X002409.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0848208984987975,0,0,0,0,0,0,0,0,0,0,0.00886795128244705,0.0111906150557438,0,0,0.0469998311907684,0.0346630982050389,0,0.0567686565647964,0.114476069421739,0,0,0,0,0,0,-0.0257345235355433,0,0,0,0,0,0,0,0,0,0,0.0632927127872926,0,0,-0.0101607545851355,0,0,0.067845268536987,0,-0.032431222407883,0,0,-0.0190708422341597,0,0,0,0,0,0,0,0,0
X600028.SH,0,0,0.015114821368034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0472327506975672,0,0.0853263436928596,0,0,0,0.010020761549735,0,0,0,0,0,0,0,0,0.0216492872725839,0.0459965432003741,0,0.101469021890066,0,0,-0.113500836575025,0,0.0452407783452706,0,0,0,0,0,0.0938556584319536,0,0,0,0.086100768182866,0,0,0,0,-0.0258181184829011,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139829636368211,0,0.155429246392345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134470044637761,0,0,0,0,0.00670136078423987,0.0274767134405124,0,0,0,0,0,0,0.0304933606674277,0,0,0,0,0.00168125331652111,0,0
X600309.SH,0,0,0,0,0,0,0.0798727283833372,0,0,0,0,0,0,0,0,0.238971961333791,0,0.0528385945219729,0,0,0.199547321119919,0,0,0,0,0,-0.155141833670348,0,0,0,0,0,0.0590962530368776,0,0,0,0,0,0.0752665088915217,0,0,0.0391162445747734,0,0,0,0,0.0825051952218575,0.0930280886614473,-0.0593653548082816,0.0831671243411472,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0.0624049257734365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023245745357945,0,0,-0.0103636591626511,0,0,0.0502813034926319,0,0.11656237855311,0,0,0,0,0,0,0,0.00398706147191997,0,0,0,0,0,0.0257564157408996,0.0754474401178659,0,0,0,-0.00126052942567172,0,0,0,0,-0.00396436918995355,0,0
X600019.SH,0,0,0,0,0,0,0.0286125643634681,0,0,0,0,0,0,0,0,0,0.0666177348178151,0,0,0,0,0,0,0.0405974749510905,0,0,0,0,0,0,0,0,0,0.140143430666948,0.151486326839121,0,0.034853351500546,0,0.227417037504152,0,0,0,0,0,0,0,-0.0438609497051335,0,0,0,0,-0.0144378814507314,0,0,0,0,0.021942119085026,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.206084592684331,0,0,0,0,-3.46944695195361e-18,0,0,0.686407583466706,0,0.0803540394643174,0,0,0,0,0,0.0380979018765767,0,0,0,0,0,0,0,0,0,0.0259975394396968,0,0,0,0,0,0.0340326685853442,0,0,0,0,0,0,0.038655232219755,0,0,0,0,-0.0402544590704659,0,0,0,-0.00593602196961513,0,0
X002271.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0692460976018379,0,0.0345073577669042,0.170334074670217,0,0,0.0785574505128512,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0.180611989609171,0,-0.0757361738715592,0.00304967494699861,0,0,0,0,0,0,0.0850447120879274,0,0,0,0,0,0,0,0,0,-0.0742346998962287,0,0,0,0,0.010377228150816,0,0
X600660.SH,0,0,0,0,0,0,0.0189537236206527,0,0,0,-0.109456295102887,0,0,0.109179876400036,0,0.092142927465532,0.111250907630611,0,0,0,0,0,0,0.0452976372867055,-0.143412943386285,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0.0871018156391687,0,0,0,0,0,0,-0.0996999487540223,0,0.0595163261449098,0,0,-0.0355353827959865,0,0,0,-0.0191734641905672,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0.0330489105616215,0,0,0,0,0,0,0,0,0.18848503885528,0,0,0,0,0,0,-0.0329837365165246,0,0,0,0,0,0,-0.0801202687169141,0,0,0.0602605920125828,0.229768744852908,0.267235334174131,0.257462022079356,-0.0761056840927455,0,0,0.09600234468037,0,-0.0585271836590568,0,0.264803245371712,0,0,0,0.0707222634962283,0,0,-0.01000148545937,0,0,0,0,0,0
