,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600111.SH,X002466.SZ,X000792.SZ,X600019.SH,X600660.SH,X000877.SZ,X600010.SH,X600188.SH,X000301.SZ,X000708.SZ,X002271.SZ,X600011.SH,X600547.SH,X601600.SH,X601898.SH,X600362.SH,X600176.SH,X600886.SH,X600426.SH,X002080.SZ,X600803.SH,X000408.SZ,X002326.SZ,X300037.SZ,X600219.SH,X600399.SH,X000723.SZ,X601991.SH,X600688.SH,X000786.SZ,X600141.SH,X600795.SH,X000825.SZ,X600352.SH,X600096.SH,X600489.SH,X300073.SZ,X000155.SZ,X600157.SH,X002407.SZ,X002409.SZ,X600516.SH,X000831.SZ,X002353.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0215023201992156,0.140737780416504,0.0261356400852828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134697751527573,0,0,0,0,0,0.102825356583703,0,0,1.73472347597681e-18,0,0.109394104642865,0,0,0,0.130398063771433,0,-0.00680179978283813,0,0,0,0,-0.0444546291729365,0,0
X600028.SH,0.256583416339621,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288330618196855,0,0,0,0,0,0.0790310951082714,0,0,0,0.00805913606983161,0,0,0,0,0,0,0,0.0786647505902988,0,0.0520179597722261,0,0,0,0,0,0.00411652350276796,0,0,0,0.130561221232616,0,0,0,0.0271838844496769,0.0499024118253324,0,0,-0.0174246797561682,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.206563204710047,0,0.0847880232452688,0,0.0609168151679278,0,0,0.420737643905253,0,0,0.0495205291408956,0,0,0.197498423938446,0,-0.0288516873381307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.00613423364047973,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,-0.113833611032765,0,0,0,0.0202063203606489,0.0406490187873494,0,0,0.0915436034823839,0,0,0,0,0.268556562668323,0.057282745936894,-0.0475419053472276,0,-0.0953629997995366,0,0,0,0,0,0,0.056996873220793,-0.062507104766298,0,0,0,0.035677716489575,0,0,0,0,0,0.000756128654351643,0,0,0,0,0,0.0215432961969289,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.393609327967251,0.037370829328781,0,0,0,0,-0.0476441155499394,0.00255450985570683,0,0,-0.0209579121277095,0.269749950108668,0,0,0,0,0,0,0,0,5.55111512312578e-17,0,0.0263792308614953,0,0.0951340874776608,0,0,0,0,0.0637654532769078,0,0,0,0,0,0,0,0,0.313977049569898,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,-0.0163846418086066,0,0,0,0,0,0,0,0,0,0,0.474251922032543,0,0.107213631965237,0,0,0.295238802130644,-0.0200640361525968,0,0,0,0,0,0.053338425607401,0,0,0,0.0640845135650568,0,-0.0510243907430131,0,0,0,0,0,0,-0.0739240629264608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0.162101079805798,0,0,0,0,0.224001261657792,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0757625631674186,0.0678653088373935,0.191468531522303,0,0,0.127561214601823,0,0,0,0,-0.083766598501737,0,0,0,0,0,0.154421667406242,0,0,0.0460539794899625,0,0,0.204509619155044,0,0,0,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.498741015389341,0,0.036699387192656,0,0,0,0,0,0.120299042303044,0,0.0532843167165601,0,0,0,0,0,0,0,0,0,0,0,0,0.16671959774089,0,0,0.0184340352699445,0.0100311678282599,0,0,0,0,0.00187552428405632,0,0,0,0,0,0,0,0,0,0,0,0.032349547411688,0,0,-0.00466278235120735,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0.0300447615302072,0,0,0.0682097079476164,0,0,0,0,0.138443046490954,0,0,0,0,0,0,-0.141189719248177,0,0,0,0,0,0,0,0,0,0,0,0.0174584147143614,0,0,0.265621678649,0,0,0,-0.0439134442838704,0,0.0519584258838108,0,0,0.324249324348241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.0431457571484583,0,0,0,0,0.116598498752089,0.0248517702177691,0,0,0.118140373088832,0,0,0,0,0,0,0,0,0,0,0.019453314576834,0.137518052096901,0.00896218301713866,0,0.0823421111805254,0,0.0228176446754847,0,-0.0122602645811895,0,-0.047460196306615,0,0.286773314438855,0,0,0,0,0,0,0,0,0.0886634893007599,0,0,0,0.00468407061125741,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0,0.0152689414672228,-0.000953494591244358,0,0,0,-0.272331638917198,0,0,0,0,0,0,0,-0.0259420357587777,0,0,0,-0.0910797280464396,0.098743141854471,0.0195800059811796,0.0400785770804866,0,0,0,0,0,0,0,0.0526969112575698,0,0,0,0,0,0.0130127902669587,0,0,0,0,0.00314647195635254,0.282223143474007,0,0.0857471561924284,0.134847144507608,0,0.0278184735537869,0,0,0,0,0,0,0
X000877.SZ,0,0,0,0,0,0.385672394420343,0,0,0,0,0,0,0.136899910499443,-0.0469999518302625,0,0,0,0,0,0,0,0,0,-0.0298418298882483,0,0,0,0.0845269781278217,0,0,0.0923404851375302,0,0,0,0.109008740769826,0,0,0.0748373287252711,0,0.202367995205333,0,0,0,0.00576745844049207,0,0,0,0,0,0,0,0.0112980389626704,0.0147829283038523,0,0,0,0.0617893895951899,0,0
X600010.SH,0,0,0,0,0,0,0.375409466634757,0,0,0,0,0.00541869735276464,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00550123054832626,0,0,0,0,0,0,0.184961474245738,0,0,0,0.00395212117548316,0.192511834660191,0,0,0.0108255659072305,0,0,0,0,0,0,0.088320287361668,0,0,0,0.0360285715997432,0,0,0,0,0,0,0
X600188.SH,0,0,0.344520954048097,0,0,0,0.0737237585718528,0,0,0,0,0,0.0552741452170226,0,0,0,0,-0.162150042568973,0,0,0.357194714661813,0,0,0,0,0,0,0.0243347040179719,0.0328327306880713,0,0,0,0,0,0,0,0,0,0.273365507863786,0,0,0,0,0.0908177921999793,0.000624309762564033,0,0.0490830471261653,0,0.11522194542682,0,0,-0.0403772753735755,0,0,0,0,0,0,0
