,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600011.SH,X600019.SH,X600547.SH,X601600.SH,X600660.SH,X600585.SH,X600886.SH,X600795.SH,X000792.SZ,X600362.SH,X002466.SZ,X002460.SZ,X000708.SZ,X600010.SH,X600111.SH,X600027.SH,X000301.SZ,X600489.SH,X601699.SH,X000983.SZ,X600803.SH,X600160.SH,X000877.SZ,X601991.SH,X600426.SH,X000630.SZ,X000933.SZ,X000408.SZ,X000807.SZ,X600985.SH,X000786.SZ,X601168.SH,X600612.SH,X600176.SH,X600219.SH,X002128.SZ,X002271.SZ,X000883.SZ,X000932.SZ,X600096.SH,X600348.SH,X000027.SZ,X601666.SH,X600295.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.269879682276743,0,0,0.0766861404550266,0,0.0757720945867053,0,0.0205811381985053,0,0,0,0,0,0,0,-0.00211299070143354,0,0,0,0,0,0,0,0.0810928647904886,0.00458613052808335,0,0,0,0,0,0,0,0,0,0.0261278154931737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0115501692591043,0,0.0548566696904131,0,0,0,0,0
X601088.SH,0,0,0,0,0.120138734259316,-1.73472347597681e-18,0.230912263409658,0,0,0,0,0,0,0,0,0,0,-0.0425887326895386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187688028337242,0,0,0,0,0,0,0,0,0,0,0,0,0.121725731705717,0.0832624176220244,0,0.0155685897423972,-0.0380924988292694,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.110402002573742,0,0,0.0410619272905765,0,0,0,0,0.000647588757898771,0,0,-0.0552608402170894,-0.0898839098259618,0,0,0,0.0453549252472237,0,0.13183754889976,0,0,0.0660068127501571,0,0,0,0,0,0,0,0,0,0,0.0899050974548257,0,0,0,0,-0.085962380625677,0,0,0,0,0,0.0698412726996427,0,0,0.0251605920232375,0,-0.0175571922061767,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.110416777765459,0,0,0.261392803015951,0,0,0,0,0.161824209968089,0,0,0.393671310987772,0,0,0,0,0.0208919830136109,0.111201755022178,0,-0.165215778746,0.0988971595508657,0,0,0,0,0,0,0,0,0,0,0,0.054695553178504,-0.0925722889210969,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.176669007507292,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0.0665746681320873,0.372228743618674,0.13330918400035,0,0,0,0,0,0.0110981172933572,0,0,0,0,0,0,0.034261574828936,0,0,0.14415672037672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0.577206510770883,0,-0.0504638272151026,0,0,0.32774625810975,0,0,0,0,0,-0.127912937559625,0,0,-1.35525271560688e-20,0,0,0,0.419610356642944,0,0,0,0,0,0,0,0,0,0,0.19628089211637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010429806817407,0,0,0,0,0,0,0
X600011.SH,0.0197404287073147,0,0,0,0,0.154546009391526,0,0,0,0,0,0,0,0.182205461422898,0,0,0,0,0,0,0,0.233428679643299,0,0,0,0,0,0,-0.0111215673094008,0.184220164880242,0,0,0,0,0,0,0,0.0018132288462238,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173575303665093,-0.0391116510393306,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.173131796347979,0,0,0,0,0,0,0,0,0,0,0.0186799411835005,0,0,0,0,-0.0547729896670484,0,0,0.0570576272545365,0,0,0,0.0270096710991305,0,0,0,0,0,0,0,0,0,0.0595200498684107,-0.0595426305600802,0,0,0,0,0,0.102220322092369,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,-0.235566126642994,-0.0767341938617574,0,0,0,0,0,0,0,0,0,0,-0.017699527761148,0,0,0,0,0,0,0.717848037128794,0,0,0,0,0,0,0,0,0.226785660323971,0,0,0,0,0,0,0,0,0,-0.0335126580787149,0,0,0,0,0,0,0,0,0,-0.0212627233948313,-0.0133823305158235,0,0,0,0,0
X601600.SH,0.3265719852417,0,0,0,0,0,0,0,0,0,-0.0203283961818553,0,0,0,0,0,0,0,0,0,0,0.0504810085686684,0,0,0,0,0,0.120864611332972,0,0,0.0335279056479578,0,0,0,0.154397387437286,0,0,0.152349575194972,0.123378660241373,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.00281174653782565,0,0,0,0,0,0
X600660.SH,0.0654400415614676,0,0,0,0,0,0,0,0.0307964731417121,0,0,0,0,0,0,0,0,0,-0.0244179760944454,-0.0332918182953662,-0.0293648713024313,0,0,0,0,0,0,0,0,0,0.155734524781471,0,0.0111324973109907,0.0302262297148669,0,0,0,-0.0933940990236816,-0.0593245229315575,0,0,0.0912153479080203,-0.0873925156682976,0,0,0,0,0,0,0,0,0,0.0649941019856051,0,0,0,0,0,0
X600585.SH,0,0,0,0.000225401068731232,0,0.161730036642369,0,0,0,0,0,0,0,-0.0655426440884027,0,0,0,0,0,0.0542072266412277,0,0,0,0,0,-0.0482770156784799,0,0,0,-0.0138457709312206,0,0,0,0,0,0,0.164165332545295,-0.0113516395885929,0,0.220360574018722,0,0,0,0,0.0545354628284377,0,0,0,0,0,0,-0.0242909613498494,0.0439170333916563,-0.112794481629411,0,0,0,0,0
X600886.SH,-0.0153882363024259,0,0,0,0.107629560064663,-0.00746961134564731,0,0,0,0,0,0,0,0.394877151223356,0,0,0,0,0,4.33680868994202e-19,0,-8.67361737988404e-19,0,0,0,0,0,0.0165846821829561,0,0,0,0,0,0,0,0,0,0.030972158508918,0,0,0,0,-0.023934764293065,0,0,0.0439823454273986,0,0,0.0424657654282036,0,0.0431337078495642,-0.0213089348347127,0,0,0,0,0,0,0
