,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600010.SH,X600585.SH,X600011.SH,X601600.SH,X600309.SH,X601898.SH,X600688.SH,X601992.SH,X002466.SZ,X600795.SH,X600362.SH,X600188.SH,X600111.SH,X600516.SH,X601991.SH,X600547.SH,X600660.SH,X000709.SZ,X600886.SH,X300072.SZ,X002460.SZ,X600157.SH,X000898.SZ,X600027.SH,X000959.SZ,X600339.SH,X600489.SH,X600808.SH,X600352.SH,X002092.SZ,X600549.SH,X600219.SH,X000553.SZ,X601158.SH,X000792.SZ,X000630.SZ,X000983.SZ,X000883.SZ,X600176.SH,X000723.SZ,X002271.SZ,X600299.SH,X600008.SH,X600578.SH,X000060.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.0135468625115335,-0.0661065974390076,0,0,4.33680868994202e-19,0,0.0346478523628909,-0.0141307592880874,0,0,0,0.0130005128496033,0,0,0,0,0,-0.0520788827157343,0,0,0,-0.0376892048724531,0.0327922952096556,0,0,0,0,0,0.00332038192053341,0,0,-0.0984042408228893,0,0,-0.00542009911898696,0,0,0,-0.00956277477312892,0,0,0,0,0,0,0
X600028.SH,0,0,0,0.0697202361384672,0,0.249432416289178,0,0,0.0408927694523516,0,0,-0.122890161046904,0,0,0,0.0142518772213504,0,0,0,-0.0769547506610055,0,0,0,0,0.00666808729716811,0,0,-0.069002385321047,0,-0.00890753473703762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00723009485738873,0,-0.033961033252884,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00132738185090373,0,0.028501726464894,0,0,0,0,0.0305624363154485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.011336177333659,0,0,0,-0.00596853374221603,-0.0155940816748395,0,0,0,0.0209273785919347,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0.151994379947843,0,0,0,0,8.67361737988404e-19,0.0085582482855517,0,-0.0204530918565929,0,0,0.13479321486969,0,0,0,0,0,0,0,0,0,0,0.347796703605068,0,0,0.0550871556705059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0107224456689247,0.0199134034127364,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132549793161476,0.0361216575537912,0,0,0,0.0662340339640748,0,0,0,0,0,0,0,0.0252570928750159,0,0.228860100167913,0,0.0120715674757059,0,0,-0.070040974785776,0,0,0,0.00926515860919148,0,0,0,0,0,0,0,0,0,-0.00611039175528132,0.0224570243199847,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0.0900321130499782,0,0.0938578817195197,0,-0.0440319940893278,0,0.081582638910925,0,0,-0.0712946806581669,0,0,0.356691062678729,0,0,0,0,0,0,0,0,0,0,0.0901792643653242,0.285049375765305,0,0,0,0,0,0,0,0,0,0,0,0.0437165945758183,0,-0.0734943651790713,0,0.127327092524716,0,0.0120447066182694,-0.0333897627555703,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.0486086791992076,0.192970059739632,0,0,0,0,0,0,0,0,0,0,0,0,0.488557660635909,0.0887723467209573,0,0,0,0,0.0113811661342069,0,0,0.10119078579094,0,0.0812079542081919,0,-0.044264301984999,0,0,0,0,0.029397952528226,0,0,0,-0.0357909759836079,0,0.189331140356967,-2.16840434497101e-19,-0.141183593611106,0,0,0,0,0,0.0270701721572262,-0.0580800130479073,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0.0097113120518749,0,0,0,0,0,0,0,0,0.0518040006570405,0,0.0326997069317735,0.0452322377555874,0,0,-0.00887201619979198,0,0,0,0,0,0,0,0.268363547668912,0,0,0.0999164535095367,0,0,0,0,0,0.138613635632614,0,0,0,0.0186355007592194,0,0,0,0,0,-0.0212836625444383,0.0148204229519131,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0798202801937606,0,0,0.301710130166325,0,0.0225065529386081,0,0,0.178918724184452,0,0,0.131939434560073,0,-0.0871218491145686,0,0,0,0,-0.136459026827939,0,0,0.104752002457137,0,0,0,0,0,0,0,0,0,0,5.70295385664728e-05,0,0.0388701912609059,0,0,0,-0.00730070166415375,-0.0386594127327126,0,0,0,0,0,0
X601898.SH,0,0,0,0.0687254603025083,0,0,0,0,0,0,0,0.0418778989955329,0,0,0,0.130325577466742,0,0,0,0,0,0,0,0,0,0,0.228678208556152,0,0,0,0,0.15904833490984,0,0,0,0,0,0,0,0,0.0610575607022472,0,0,0,0,0,0,0,0,0,0,-0.0177134015551757,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0.0512509879527096,-0.0473727628977781,0,0,0,0,0,0,0,0,-0.0186005575880699,0,-0.0215606132621788,0,-0.0720049367948266,0,0,0,0,-0.0750136948155455,0,0,0,0,0,0,0,0,0,0,0,-0.0648641127115745,0,-2.16840434497101e-19,0,0,0,0.0657979755106552,0,0.0672331655544584,0,0.0655482480179599,0,0,0,-0.00622999291253236,-0.0353427284738554,0,0,0,0,0,0
