,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X601600.SH,X600010.SH,X600309.SH,X600011.SH,X601898.SH,X600688.SH,X600660.SH,X600795.SH,X600188.SH,X300072.SZ,X601992.SH,X600362.SH,X002466.SZ,X600547.SH,X601991.SH,X600886.SH,X002460.SZ,X600111.SH,X000898.SZ,X000709.SZ,X600516.SH,X600157.SH,X600176.SH,X600027.SH,X000786.SZ,X000553.SZ,X600352.SH,X600808.SH,X000408.SZ,X000792.SZ,X600219.SH,X000959.SZ,X600489.SH,X002271.SZ,X601699.SH,X601158.SH,X000983.SZ,X000723.SZ,X000883.SZ,X600339.SH,X002470.SZ,X002092.SZ,X000630.SZ,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.630182890666565,0,0,0,0,0,0,0,0,0,0,0,0,0.0404207341879687,0,0,0.0297226925743565,0,0,0,0.00831629384427944,0,0,0,-0.00568386845740931,0,0,0,0,0,0.036142821628073,-0.0270187444049819,0,0.0159632676707914,0,0,0,0.0957423765748388,0,0,0,0,0,0,0,0,0,0,0,-0.00394231282716581,-0.000473689535824348,0,0,0,0,0,0
X600028.SH,0.475614460267923,0,0,0,0,0,0,0,0,0,0.0754949297413806,0,0.0271233800606766,0,0,0,0,0,0,0,0,-0.00205006339278292,0,0,0,-0.0148931374461036,0,-0.101603969633157,0,-0.00483850409141343,0,0,0,-0.0139911058887139,0,0,0,-0.168882810518829,0,0.0453343535410251,0,0,0,0,0,0,0,0,0,0,0.0308234913717111,-0.00949143882049046,0,0,0,0,0,0
X601088.SH,0,0,0,0.0263784289938881,0.0923634759691401,0,0,0,0,0,0,0,0.673338292990283,0.20499929575236,0,0,-0.044003238575432,0,0,0,0,-0.047781284086787,0,0,0,0,0,0,0,0.0387572452331782,0,0.180797393647459,0,-1.73472347597681e-18,-0.0896780575054163,0,0,0,0.0339532352970894,0.0872368733541975,0,0,0,0,0,0,-1.73472347597681e-18,0,0.133901704204507,0,0.0379041109297538,-0.0176716380462793,0,0,0,0,0,0
X600019.SH,0,0,0.170420587238302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0498781350233598,0.113265542665512,0,0.022184266108615,0,0,0,0,0,0,0.298952589791842,0,-0.0537047494755472,0,0.102680845405397,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0178713987065195,-0.0126565093084595,0.0616445866520598,0,0,0,0,0
X600585.SH,0,0,0.113355112362565,0,0,0,0,0,0,0,0,0,0,0.204755709594806,0,0,0,0.136314044645898,0,0,0,0,0,0,0,0.0435851059680352,0,0,0,0,0,0,0.262559468424852,0,-0.119964498122831,0,0,0,0,0,0,0,-0.227350402816843,0,-0.26410589292,0,0,0,-0.275045202492111,0,-0.0127812325404008,0.0402022683046823,-0.00524963283291492,0,0,0,0,0
X601600.SH,0,0,0.0246031243786258,0,-0.0128253477362095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00683549767887706,0,0,0,-0.0349599614836398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0661752545865948,0,0.00194140772236233,-0.0389294331383484,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.0104716600791504,0,0,0,0,0,0,0,0,0.0190164031862867,0,0,0,0,0.0103728154231039,0.00646523982670407,0,0,0,0,0,0,0,0.0587893042115156,0,0.339408684649005,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132760679281772,0,0,0,0.00573385679527866,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.180167435827786,0,-0.352837518293477,0,0,0.0782090416579928,0,-0.0870018253430274,0,0,0,-0.0147089728921326,0,0.0407113209276381,0,-0.0385373334341932,-0.0718684364017189,0,0,0,-0.0174756842232387,0,0,0,0,-0.0447828489734691,0,0,0,0,0,0,0.717705669399625,0,0,0,-0.0085334056680997,0.0150877913624727,0,0,0,0,0,0
X600011.SH,0,0.00518766358776826,0,0,-0.034769435386563,0,0,0,0,0.0958841830405187,0,0,0,0,0,0,0,0,0,0,0,-0.00540363203539903,-0.0640220815618211,0,0,0,0,-0.0821639074439962,0,0.00675136894008946,0,0,0,0,0,0,0,0,0,0,0,0.00355944580465018,0.0965095079921558,0,0,-0.0833027139890126,0,0,0.0572024803751305,0,-0.0198970264794622,0.0189457921395965,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0.0357106316658459,0,0,0,0,0,0,0.237692434666722,0,0,0,0,0,0,0,0,0,0,0,0.00180521043082085,0,0,0,0,0.044543230525629,0,0.0386072718902603,0,0.025563289359832,0,0,0,0,0.052900585836594,0,0.171209773772579,0.0245190669570361,0,0,0,0,0,0,0,-0.0052365143626507,0,0,0,0,0,0,0
X600688.SH,0,0.299633398890158,0,0.0885668623910242,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026971587957111,0,0,0,0,0,0,0,0,0,0.115119752162618,0,0,0.0242527111213742,0,0,0,0.0408847306471485,0,0,0,0,0,0,0,0,0,0,0,0.00247919742824051,0,0,0,0,0.00726960389848734,0,0,0,0,0,0
