,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X600309.SH,X600011.SH,X601898.SH,X600188.SH,X600660.SH,X600362.SH,X600688.SH,X300072.SZ,X600795.SH,X002466.SZ,X601992.SH,X600547.SH,X601991.SH,X600111.SH,X600516.SH,X002460.SZ,X600886.SH,X600176.SH,X000898.SZ,X600157.SH,X000709.SZ,X000786.SZ,X000792.SZ,X600352.SH,X000553.SZ,X600027.SH,X000408.SZ,X002271.SZ,X600219.SH,X601699.SH,X600489.SH,X600808.SH,X600339.SH,X000983.SZ,X000959.SZ,X000630.SZ,X601158.SH,X000883.SZ,X002470.SZ,X000723.SZ,X002092.SZ,X600549.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.50722869805099,0,0,0,0,-0.027179036660821,0,0,0,0,0,0,0.0238198807399236,0,0,0,-0.131460645985102,0,0,0,0,0,0,0.085387943488355,0,0,0,0.00213037268676401,0.0211251672138652,0,0,-0.0265197940081156,0.0772815665825121,0,-0.0312172708238618,0,0,0,0,0.0200413062341404,0,0,0,0,0,0,0,0,0.00680928987090834,0,0,0,0,0,0,0
X600028.SH,0.450449721161857,0,0,0,-0.0715058490056951,0,0,0,0,0,0,0,0.0474490628208339,0,0,0,0,0,0,0,0,0,0,-0.103793763879323,0,0,0,-0.0132289320462073,0.0133812643743266,0,0,0,0,0,0,0,0,-0.00754797322258371,0,0,0,0,0,0,0,0,-0.026079144359618,0,0,-0.0189896001345373,0.0355289784941101,0,0,0,0,0,0
X601088.SH,0,0,0,0.175319097045004,0.185103752214609,0,0,0,0,0.127960190505964,0,0,0,0,0,0,0,0,0,0,0.0196914104544888,0,0,0,0,0,0,0.0711180873160023,0,0,0,0,0.0174283685767456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223209006123919,0,0,0,0,0
X600019.SH,0,0,0.102795251745515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0241152743271896,-0.0868244957952317,0,0.148477614167386,0.695413947965596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0311458074107332,0,0.0343816463914451,0,0,0,0,0
X600585.SH,0,0,0.416559281110987,0,0,0,0,0,0,0,0,0,0,0,0,0.131513433113259,0,0,0,0,0,0.11616916892716,0,0.0423228037548326,0,0,0,0.212224830442741,-0.134382849671937,0,0,0,-0.227525634300351,0,0,0.00238411244284092,0,0.0583268539995119,0,0,0,0,0,0,0,0,0,0,0,-0.0151070964344892,0.0162773449090425,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0.00514050473969318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145974057627657,0,0,0,0,0,0.0340632056519461,0,0.0302402650306387,0.0878446718696496,0.164044575152693,0,0,0,0,0,0,0,0.212807082609721,0.194791331214808,0,0,0,0,0,0.00592582134718509,0,0,0.00313142673530361,0,0,0,0,0,0,0
X600309.SH,0,0,0.100012345434088,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,-0.0704967656746746,-0.0568893209228853,0,0.272124890450821,0,0,0,0,0,0,-0.0223157868132457,0,0,-0.203602309597112,0,0,0,0,0,0,0,0,0,0,0,0,0.124427981249505,0,0,-0.0503092140037481,-0.0327119268149065,0,0,0,0,0,0
X600011.SH,0,0.0384193951964423,0,-0.0189334198182782,0,0,0,0,0.145948224275154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0248708381473689,0,0,0,0.0075669326775143,-0.0346386596071799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11829547157571,0.0929902242718061,0,0,0,-0.000687462552665609,0.0140806650654266,0,0,0,0,0,0
X601898.SH,0,0,0,0,-0.0465590837602115,0,0,0,0,0.197328892218451,0,0,0,0,0,0,0,0,0,0,0.00915993558808083,0,0,0,0,0,0,0,0,0,0.0867171568091395,0,0.00624676946109405,0,0,0.0463075159665756,0,0.0112890759818231,0,0.242733825775596,0,0,0,0,0,0,0,0,0,0.00561265798424382,0,0,0,0,0,0,0
X600188.SH,0,0,0.0213287504259101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142477712095881,0,0,0,0,0,0,0,0.207216453771183,0.04030020173849,0,0.0277400573544541,0,0,0.0983138735111435,0,0.05134540775706,0,0.402888651802828,0,0,0,0,0,0,0,0,0,0.02400168369856,-0.0330062192474303,0,0,0,0,0,0
