,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X600010.SH,X601898.SH,X600886.SH,X601600.SH,X600660.SH,X600188.SH,X000708.SZ,X601991.SH,X600362.SH,X600352.SH,X600795.SH,X600688.SH,X600801.SH,X600111.SH,X000723.SZ,X600027.SH,X601992.SH,X600516.SH,X002466.SZ,X600489.SH,X002271.SZ,X002460.SZ,X000786.SZ,X000898.SZ,X600176.SH,X600299.SH,X600426.SH,X601158.SH,X000883.SZ,X000709.SZ,X600612.SH,X000629.SZ,X002353.SZ,X600219.SH,X600583.SH,X600315.SH,X000027.SZ,X000630.SZ,X000553.SZ,X000825.SZ,X600985.SH,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0196226394353887,0,0,0,0,0,0,0,0,0,0,0.00343927085380011,0,0.0601275137510872,0,0,0.0590376940979888,0,0,0.0452499833920406,0,0,0,0,0,0,0,0.0841634333404835,0.0328262177386396,0,0,0,0,0,0.0756775851063734,0,0.0393331384357926,-0.0163365461081713,0,0,0.0264793992823628,0,0,0,0,-0.00804869224283474,0,0,0,0,0.0109874317416108,0,0
X600028.SH,0,0,0,0,0.0544854955349016,0,0,0,0,0,0,0,0,0,0,0,0,0.000310091065486899,0,0,0,0,0.0911236265612365,0,0,0,0,0,0,0,0,0,0,0,0.0235867351601922,0,0,0,-0.000771964869552284,0,0.0628679432428064,0,0,0,0,0,0,0,0,0,0,-0.00305939006609287,0,0,0.216895235001472,0,0,0,0
X601088.SH,0,0,0,0.407257496524954,0,0,0,0,0,0,0,0,0,0.0583483020444207,0.0312254364709122,0,0,0.0239527225720518,0,0,0,0,0.023801610453141,0,0,0.0279994059719297,0,-0.0347466774802624,0.0439140972640245,0,0,0,0,0.0161843568010109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00139476159400199,0,0,0,0,-0.00151427700555318,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0.0480803710447033,0,0,0,0,0,0.0850903703132384,0.0632821277772783,0,0,0.481223350552784,-0.0806836455626565,-0.0830756675146913,0,0,0,0,0,0.0980382294748329,-0.00177909014976537,0,0,0,0.155729232892675,0,0,0,0,0,0,-0.0275277850466909,0,0,0,0,0,0,0,0.00797516769817404,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,-0.0941707761896245,0,0.0959719374741121,0,0,0,0,0.0507933998948265,0,0,0,0.0216231560549381,0,0,0.111282066592081,0,0.0355163188375496,0,0,0.0953402000410705,0,0,0,0.0757621546640232,0,0,0,0,0.0285232111646844,0,0,0,0,0,-0.0486919658977091,0,0,0,0,0,0.135126506676615,0,0,0,0,0,0,0,0,0,0.0134145237192623,0,0
X600019.SH,0,0,0,0,0,0,0,-0.102207419540536,0,0,0,0,0.0753711116839534,0.0024789955549093,0,0,0,0.176939219248554,0,0,0,0,0.0265959213106374,0,0,0,0,0,0,0,0,0.0326422136911158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0517785756924097,0,0,0,0,0,0.00441465663183063,0,0,0,-0.0146077244625629,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.249597332270771,0,0,0,0,0,0,0,-0.146830877470365,0.0750121541929513,0,0,0,0,-0.0129680686697341,0.567445059443834,0,0,0.0568179633998283,0,0,-0.0423135979905433,0,0,0,0,0.207122060736989,0,0,0,0,-0.281240047110865,0,0,0,0,0,0,0,0,-0.04028704197153,0,0,0,0.0396557114787066,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164780286239057,0,0,0.358713849874346,0,0,0,0,0,0,0,0,0.109583732065525,0,0,0,0,0,0,0,0.240880215664929,0,0,0,0,0,0,0,-0.0644799593893795,0,0,0,0,0,0,0,-0.00303001667710767,0,0
X600010.SH,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.00636825518591934,0,0.00684137303837241,0.125206006621523,0,0,0.0588024401724342,0,0,0,0.0348703677222102,0,0,0,0.0174433284624046,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0569502460580072,0.215404333133507,0,0,0.00842478319739627,0,0,0,0,-0.0151126688314796,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201337949532827,0,0,0,0,0,0,0,0,0.0849594124644479,0,0,0.00697480011267458,0,0,0,0.00140124920437149,0,0,0.0337534634751585,0.0290067850930513,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171652008341275,0.0985322464638435,0,0,0.0258764126739665,2.16840434497101e-19,0,0,0,-4.33680868994202e-19,0,0
