,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600010.SH,X601600.SH,X600309.SH,X600011.SH,X601898.SH,X002466.SZ,X600660.SH,X600688.SH,X600795.SH,X300072.SZ,X601992.SH,X600362.SH,X002460.SZ,X600188.SH,X601991.SH,X600547.SH,X600111.SH,X600886.SH,X600516.SH,X000898.SZ,X000709.SZ,X600157.SH,X000792.SZ,X600027.SH,X000786.SZ,X000408.SZ,X600176.SH,X600339.SH,X000959.SZ,X600219.SH,X000553.SZ,X600489.SH,X002271.SZ,X000723.SZ,X600352.SH,X601158.SH,X600808.SH,X000883.SZ,X000807.SZ,X002092.SZ,X000630.SZ,X000983.SZ,X600299.SH,X600549.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0122887365455401,-0.00954427969266997,0,0,0,0.0327149922903758,0.15751081830496,0,0,-0.0105740073753152,0.024275328233541,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0469648517962304,0,0,0,0,0.0415952371212197,0,0.0294181526107294,0,1.0842021724855e-19,0,-0.0619744571042549,0,0,0,0.0469801523872453,0,0,0,0,0,0.00686546595031055,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.046737520811788,0,0.00268485939398806,0,0,0,0,0,0,0,-0.0259818617774513,0,0,0,0.0258877896935117,0,0,0.000356040357668962,0,-0.00509336954430723,0,0,0,0,0,0,0,0,0.00070281045819941,0,0,0.0251522442249133,0,0.0588560256331351,-0.00886149997903216,0.0213580531911317,0,-0.014359465080699,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.0475691909773002,0,0,0,-0.0595271071417122,0,0,0,-0.00545244518918831,0,0.942267998523891,0,0,0,-0.000563847495736359,0,0,0,0.0328973446867653,0,0,0,0,0,-0.0684635839983683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0906397471998456,0,0.0570630143892318,0,0,0,0.0609434395303297,-0.0467319393971646,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.0936490181855249,0,0,-0.0686089032635295,0,0,0,0,0,0,0,0,0,0,0.0221729824006926,0,0,0.300746023974091,0.0194303576308893,0,0,0,0,-0.0207642970612391,0,0,0,0,0,0,0,0,0,0,0.22446510000976,0,0,0,0,0.100322179443758,-0.0412869970200713,0,-0.139231420564911,-0.0382681552875151,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0.0744244096856655,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139858510794887,0,-0.100233550719729,0,0,0,-0.103389371101137,0,0.122504662239442,0.00106956534030471,0,0,0,0,0,0,0,0,0,0,0,0,0.114756659835172,0,0,0,0,0,-0.0919541126700325,0,0.00127716504746953,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0.0350222293114846,0.0731735830470149,0,0,0,0,0,0,0,0,0.225254659533897,0,0,0,0,0.0232742048427069,0,0,-3.46944695195361e-18,0.240798619331018,0,0,0,0,0,0,0,0,0,0.0406968348696193,0,0,0,0,0,0.12791366027988,0,0,0.036367177948945,0,0.118138681739137,0,0,0,-0.00656283861209277,0,0,0,0,0,0,0
X601600.SH,0,0,0,0.15109789101673,0,0.375545166083196,0,0,0,0,0.117680544160916,0,0,0,0,0,0,0,0.137531697868804,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,-0.0903605926418503,0,0,0,0,0,0,0,0,0,0,0.029029566834237,0,0.0929163717046771,0.0463082507667156,0,0,0,0,0,-0.0294204919195313,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0.433634972373416,0,0,0,0,0,0.439490878556911,0,0,-0.122733049964882,0,0,0,0,0,0.0156175634059061,6.93889390390723e-18,0,0.0973174753140425,0,0,0,0,0,-0.0907253197871077,0,0,0,0,0,0,0,-0.389449411664136,0,0,0,0,0,-0.15484610591847,0.0675118675672566,0,0.0770824347044534,0,0,0,0,0.0460296571783435,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,-0.00641422984446779,0.116677013288954,0.0700913238724355,0,0,0,0,0,0,0,0,0,0.00186508417808097,0,0,0,0,-0.0504229968170352,0.0875820084124464,0.0421510380426686,0.0258476293395002,0,0.0353702769758145,0,0,0,0,0,0,0,0.0695996878767369,0,0,-0.023483242485493,0.0198047048934803,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0.0274980271527288,0,0,0,0,0,0,0,0,0,0,0.108171888805471,0,0.42422354477497,0,0,0,0,0,0.153894522680835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00285333725119814,0,0.0113719138311711,0,0,0,0,0,0,-0.00183188558260028,0,0,0,0,0,0,0
