,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600111.SH,X002466.SZ,X000792.SZ,X600019.SH,X600660.SH,X600010.SH,X000301.SZ,X000877.SZ,X600188.SH,X000708.SZ,X002271.SZ,X600011.SH,X601600.SH,X600547.SH,X600362.SH,X601898.SH,X600176.SH,X600886.SH,X600426.SH,X002080.SZ,X000723.SZ,X600803.SH,X000408.SZ,X002326.SZ,X300037.SZ,X600219.SH,X600688.SH,X600399.SH,X000786.SZ,X300073.SZ,X601991.SH,X600141.SH,X000825.SZ,X600795.SH,X600096.SH,X000831.SZ,X600352.SH,X600516.SH,X600489.SH,X002407.SZ,X002409.SZ,X000155.SZ,X600157.SH,X600295.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0334239620859359,0,0,0,0,0,0.0947233712709913,0,0.117247074982302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117747278281193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133333704438758,0,-0.0189407389304779,0,0,0,0,-0.0810391621148317,0,0
X600028.SH,0.260632295715746,0,0,0,0,0,0,-0.0117788530399001,0,0,0,0,0.021140623008799,0,0.00153098388594782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0562182116003676,0,0,-0.0421062907046453,0,0,0.0838352785595359,0,0,0,0,0,0,0,0,0,0.104705410428077,0.102688634053148,0,0,-0.00373783528491187,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0.0101300349970761,0,0,0.172058432058824,0.0817857714908602,0,0,0,0,0,0.40842428659779,0,0.0983591501805423,0,0,0,0.117040768773459,0,-0.0132014511291328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0308151049177281,0,0,0,0.0784557385407607,0,0,0.0209575748103381,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0.108754046386661,0,0.0206607006298671,0,0,-0.0751418490368715,0,0,0.0227966611977779,0,0.142911842482858,0,0,0,0,0,0.161613213595923,0,0,-0.0214246494619172,0,-0.100198919873706,0,0,0,0,0,0,0,-0.0424986409933181,0,0,0.0283664110592196,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0.0158796077396974,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.48380281452901,0,0,0.0214666249422784,0,0,-0.0777156195790214,-0.104719292544477,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0433951566521756,0,0.0896013475923831,0,0,0.107238271853807,0,0,0,0.108458305596042,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.0742883466251585,0,0.0217758157752262,0,0,0,0,0,0,0
X600585.SH,-0.0129576351693997,0,0,0,0,0,0,0,0,0,0,0,0,0.461691668337343,0.100133745333067,0,0.251086233885045,-0.055193666872019,0,0,0,0,0,0.0725359783215975,0,0,0,0,0.0935193980243655,0,-0.0459313822391483,0,0,0,0.0727261851721417,0,0,-0.0866720830086799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00287678616154427,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0.19614409526001,0,0,0,0.378833174613139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0730751912169321,0.0449480516828361,0,0,0,0.204490585439337,0,0,0,0,0,0,-0.0456857723464813,0.120537254314983,0,0,0,0,0,0,0,-0.0677445529233947,0,0,0.0147079065954012,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.490660556636976,0,0.0335162822115524,0,0,0,0,0.107674409631514,0.074564893654687,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.0253305626479988,0,0.168221637003769,0,0,0.0169160498292415,0,0,0,-1.73472347597681e-18,0,-4.33680868994202e-19,0,0,0,0.0341909492602854,0,0,0,0,0,0.00444354317364224,0,0,0,-0.00608759997883529,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0.00358912571765412,0,0,0,0,0,0,0.152711273955019,0,0,0,0,0,0,-0.130726116130008,0,0,0,0,0,0,0,0,0,0.028985565569114,0,0,0,0.285810194498266,0.0934066944761428,0,0.0239940761270438,0,0,-0.044026788225344,0,0.0118712991376603,0.064422475136619,0,0,0,0,0,0.312410513615989,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.00594703159113564,0,0,0,0,0.069749613005645,0,0.145870017183984,0,0.152300969681104,0,0,0,0,0.0762235334086109,0,0,0,0.00957356448766075,0,0,0,0.0765717139738144,0,0,0.0302502895613512,0,0,0,0,0,0,0.282137428622352,0,0,0,0,0.0469089320293146,0,0,0,0,0,0,0,0.00924123305516483,0,0,0,0,0,0,0
