,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X600010.SH,X601898.SH,X600886.SH,X601600.SH,X600660.SH,X600188.SH,X600362.SH,X601991.SH,X000708.SZ,X600795.SH,X600352.SH,X600688.SH,X600801.SH,X600111.SH,X000723.SZ,X601992.SH,X600027.SH,X600516.SH,X002271.SZ,X002466.SZ,X000786.SZ,X600489.SH,X002460.SZ,X000898.SZ,X600176.SH,X600299.SH,X601158.SH,X000709.SZ,X600426.SH,X000883.SZ,X002353.SZ,X000629.SZ,X600612.SH,X600219.SH,X600583.SH,X600315.SH,X000027.SZ,X000630.SZ,X000553.SZ,X600985.SH,X000825.SZ,X601699.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.00703797499380774,0,0,0,0,0,0,0,0,0,0,0,0,0.00725252550161037,0,0,0.0621556085308017,0,0.0446557156379429,0.0134204123354966,0,-0.00828012591769935,0,0,0,0,0.0399388989232537,0.0906579873010576,0,0,0.0487273019443456,0,0.0460315745887457,0,-0.0130618276381042,0,0.0819605210905054,-0.0315657231285083,0,0,0.108856435011649,0,0,0,0,-0.00201198009131134,0,0,0,0,0,0,0
X600028.SH,0,0,0,0,0.00754333025690223,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0557829647163505,0,0,-0.0186118111313837,0.0955953037172445,0,0,0,0,0,0,0,0,0,0,0.0201724551237861,0,0,0,0,0.0364329042897193,0,-0.0267160514942779,0,0,-0.0766317944030779,0,0,0,0,0,0,0,-0.00417562994631217,0,0,0.297263125587651,0,-0.00282229378312921,0,0
X601088.SH,0,0,0,0.264393578413191,0,0,0,0,0,0,0,0,0,0,0,0,0.126877407713987,0,0.0639814474703988,0,0,-0.0620170377620544,0,0,0,0,0.0235584264501008,0.0100003679766088,0.0714847034297237,0,0,0,0,0.000713090636268419,0,0,0,0.208007781671582,-0.121019656848385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265188692291638,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00783645976734281,0,0.0176638061103928,0,0.656593007253961,0,0,0,0,0,0,0,0,0,-0.0908006195366664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000672126901109206,0,0,0,0,-0.00920608910284326,0,0
X600309.SH,0,0,0,0.0434895308091396,0,0,0,0,0,0,0,0,0,0.0870215830626506,0,0,0,0,0.0479249285896502,0,0.00299658883352731,0,0.0540388804072432,0,0,0.109777771284494,0,0,0,-0.105507615742374,0.099048881905219,0,0,0,0,0,0.102267983473528,0,-0.0230106279380711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0.230400094820595,0,0,0,0,-0.0705224553861739,0.181569253149228,0,0,0,0,0,0,0,0,0,0.0597180491777514,0,0,0,0,0,0,0,0,0,0.0212254648086607,0.0137838137926295,0,0,0,0,0,0,0,0,0,0,0,0,0.0249243480310029,0,0,0,0,0,0,0,0,0,0.00252472214977027,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.147121569127996,0,0,0,0.0194445132282526,0,0,0,0,0.0319697144696685,0.20368426023985,0,0,0.0682808927520213,0,-0.0741604646701431,0,0.843540866228439,0,0,0,0,0,0,0,0,0.148827270683953,0,0,0,0,0,0,0,0,0,0,-0.0716454680227272,0,0,-0.0147438119217534,0,0,0,0.0936851477031058,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119438389851672,0,0,0,0,0,0.160021991633684,0,0,0,0.12934603964231,0,0.0599468887607774,0,0,0,0,0,0,0,0,0,-0.0411419723532421,0,0.0453112458116726,0,-0.118213837484269,0,0,0,0,0,0,-0.184592648834977,0,0,-0.0372392755409296,0.00959293505374955,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,-0.00218590617703855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131214458160075,0,0,0.0359132970165328,0,0,0,0,0.0415591628029929,0,0,0.105254516640344,0,0,0,0,0,0,0,0,0,0,0,0,0,0.190591662254357,0,0,0,0,0.00975348784766585,0,0,0,-0.00540098196696213,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161255399857089,0,0,0,0,0,0,0,0,0.0764639116075399,0,0,0,0,0,0,0,0.0130763238225803,0,0.075551712512839,0.0214159570754894,0,0,0,0,0,0,0,0,0,0,0.0552289779547727,0,0,0.0666961515447309,0.23238340309827,0,0,0.0204047031298851,0,0,0,0,0.0113645217869324,0,0
