,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600019.SH,X601898.SH,X600795.SH,X601991.SH,X601600.SH,X600688.SH,X600027.SH,X600886.SH,X600157.SH,X600111.SH,X600362.SH,X600188.SH,X600583.SH,X601158.SH,X601992.SH,X000027.SZ,X000539.SZ,X600309.SH,X000898.SZ,X000709.SZ,X000883.SZ,X600021.SH,X600352.SH,X600660.SH,X000792.SZ,X002470.SZ,X600022.SH,X600863.SH,X600098.SH,X600489.SH,X000629.SZ,X600307.SH,X600623.SH,X601918.SH,X600578.SH,X600808.SH,X300072.SZ,X600612.SH,X600547.SH,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.759817763335084,0.0789094429763872,0,0,0,0,0,0,0,-0.043622590423512,0,0,0,0,0,0,0,0,0,-0.0763643308547464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406575833239343,0,0,0,0,0,0,0,0,-0.00951879774072565,0,0.0471476343643441,0,0,0,0
X600028.SH,0.519498531237547,0,0.201708819920067,0,0.0377342739059861,0.0416981011713336,1.38777878078145e-17,0,0,0,0,0,0,0,0,0,0,0,0,0.0370036248877933,0,0,0,0,0,0,0,0.0892642367867351,0,0,0.012802931800139,0.0115529195200765,0,0,0,0,0,0.00809279367852164,0,0,0,0,0,0,0,0,0,-0.0193547437542226,0.020855086132058,0.134743727823859,0,0,0,0,0
X601088.SH,0,0,0,0,0.233777318268581,0.1062306204304,0.35328995556219,0,0,0.0762573101380966,0,0,0,0,0,0,0,0,0.10935774858283,0,0.0229404985578312,0,0,0,0,0,0,0,0,0,0,0.0778973880056912,0,0,-0.0448040734140721,0,-0.111296395370787,0,0,-0.0217107740103418,0,0,0,0,0,0,0,0,0.00754216992668058,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0.229043137627327,0,0,0.148941514068382,0,0,0,0,0.391308949031427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0130843117350482,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0.133325070862653,0.0874335939476124,0,0,0,0,0,0,0,0,0,0.29066424435311,0,6.93889390390723e-18,0,0,0.0818224822880258,0,0,0,0,0.0914363450466024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0540711759734188,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0.0292138652063733,0,0,0.0526139311895017,0,0.0880495272206446,0,0,0,0,0,0,0.0888663310199814,0,0,0,0,0,0,0,0,0,0.319031405702525,0,0,0,0,0,0.269681677989245,0,0.0144662641152868,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00629315442058451,0,0,0,0,0,0
X600019.SH,0,0,0.246358503321799,0,0,0,0,0.0649955185662866,0,0,0,0.0712049103941189,0,0,0,0,0.0335134035872184,0.00255006478806382,0.103071720894834,0,0,-1.73472347597681e-18,0,0.0647920561271318,0.0229368213686942,0,0,0.107148614660971,0,0,0,0,0,0,0,0.0210133833361946,0,0,0,0,0,0,0,0,0,0,0,-0.037940261858518,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.487600611172833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00240279270177054,0,0,0,0,0,0,0,0,0,0,0.139768652924244,0.148631670580999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0.105558337815406,0.030882768985978,0.0108895191794904,0.0291923349381034,0,0,0,0.00794158762411762,0,0,0,0.0664542007522984,0,0,0,0,0,0.0163968051269837,0,0,0,0,0,0,0.25104826187374,0,0.0489934335891438,0,0,-3.46944695195361e-18,0,0.146293678784902,0.0230238846691413,0,0,0,0.14630286637134,0,-0.00398719955341631,0,0,0,0,0,0,0
X601991.SH,0,0,0,0.0991254175831633,0.0739892629041865,0,0.0090043858056509,0,0,0,0,0,0.201872292972235,0,0,0,0.0799960666070098,0.234021685757108,0,0,0.103818876918077,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0,0,0,0,0.0409136129297673,0,0,0,0,0.0544296287556143,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0
