,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600585.SH,X600188.SH,X000792.SZ,X002460.SZ,X600019.SH,X601898.SH,X600111.SH,X000877.SZ,X002271.SZ,X002466.SZ,X600011.SH,X600010.SH,X000708.SZ,X600547.SH,X601600.SH,X600660.SH,X000301.SZ,X600886.SH,X600426.SH,X600362.SH,X600176.SH,X000983.SZ,X601699.SH,X600096.SH,X000723.SZ,X000786.SZ,X600803.SH,X600795.SH,X000959.SZ,X600295.SH,X000408.SZ,X600219.SH,X000807.SZ,X000932.SZ,X601991.SH,X000630.SZ,X600801.SH,X600141.SH,X000825.SZ,X600489.SH,X600985.SH,X600486.SH,X601666.SH,X600688.SH,X000683.SZ,X002080.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.142002715412795,0,0,0,0,0,0,0.0314183401847886,0.172664410618283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083325245136456,0,0,0,0,0,0,0.139235548291169,0.0795467991228421,0.0219237864712303,0,0,0,0,0.0952252464350668,0,0,0,0.0390163707152816,-0.0527999165643983,0,0,0,0,0,0
X601088.SH,0.080854181863484,0,0,0,0,0.0405397130428379,0,0,0,0.16591505381739,0,0,0,0,0,0,0,0,0,-0.0282796674280359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411880330364438,0,0,0,0,-0.0243891555769549,0,-0.000897078059535325,0.0237187845449944,0,0,0,0,0,0
X600028.SH,0.112962129647696,0,0,0,0,0.0370817155440598,0,0,0,0.0649908253426566,-0.0261537195403382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00509165520296702,4.33680868994202e-19,0,0.0121260197248104,0,0,0,0,0.277903609777175,0,0,0,-0.00897466556474174,8.67361737988404e-19,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0583822378940053,0,0,0,0.177598054139249,0,0,0.0194943570393237,0.189640109281479,0,0,0,0,0,0,0,0,0,0.0797560908046044,0,0.0801763910659872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109887865911208,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,-0.0139671855823202,0,0,0,0,0,0.00139134693271128,0,0,0,0,0,0,0,0,0,0,0,0.0437488259029339,0,0,0,0,0.0935954419155355,0,0,0,0,0,0,0,0,0,0,0.44250470159746,0,0,0,0,0,0,0,0,0,0,-0.00110888249234734,0,0,0,0,0,0,0
X600188.SH,0,0.299863695678394,0,0,0,0,0,0.0465978879639296,0,0,0.0595326426813166,0,0,0,-0.0608448918794231,0,0,0,0,-0.057491291008234,0.0335026961769141,-0.0743181573077484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221842853716578,0,0,0,0,0,0,0,0.165590753382736,0,0.221699635174354,0,0,0,0.117680391755564,-0.0463686216776719,0.0892692754211585,0,0,0,0.206115533108736,0,0
X000792.SZ,0,0,0,0,0,0.0542489534289293,0,0,0,0,0.213683609875508,0,0,0.191661689741903,0,0,0,0,0.0440052392587883,-0.0592174639737969,0,0,0,0,0,0,0,0.212989945951081,0.357314345248486,0,0,0,0,0,0,0,0,0,0,0,0,0.130447232412218,-0.310969070838143,0,0,0,0,0,0,0,0,0,-0.0121352008974544,0,0,0,0,0,0
X002460.SZ,0,-0.00168431365088116,0,0,0,0,0,0,-0.0702676535712617,0,0.137437581718171,0,0,0.372816123423663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152523180450877,0,0,0,0,0,0,0,-0.0387077999621164,0,0,0,0,0,0,0.44153842105396,0.0320335863383161,-0.071417425201776,-0.000226989790489204,0,0,0,0,0,0
X600019.SH,0.0378550107231488,0,0,0,0,0.000174082119562538,0,0,0,8.67361737988404e-19,0,0,0,0,0.029584643148973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128404466973908,0,0,0,0,0,0,0.287843872547547,0,0,0,0.13561816585393,0,0,0,0,0,0,-0.0112977587307176,0,0,0,0,0,0,0
X601898.SH,0,0.102655465847248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208460134661597,0,0,0,0.0217804086353806,0,0,0,0.0597796153866325,0,0,0,0.00944065974674878,0,0.0560862040662845,0,0,0,0.0608781100866319,0.319287223301458,0,0,0,0,0,0,-0.00331269658549034,0,0,0,0,0,0,0
