,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X600011.SH,X600010.SH,X600188.SH,X002466.SZ,X601898.SH,X601600.SH,X600688.SH,X600660.SH,X601991.SH,X600362.SH,X600795.SH,X600516.SH,X002460.SZ,X600547.SH,X600886.SH,X300072.SZ,X600111.SH,X000898.SZ,X600176.SH,X601992.SH,X000786.SZ,X600352.SH,X000553.SZ,X600027.SH,X600299.SH,X000792.SZ,X000709.SZ,X002271.SZ,X000825.SZ,X000408.SZ,X601699.SH,X600426.SH,X601158.SH,X600489.SH,X002470.SZ,X600808.SH,X600219.SH,X000883.SZ,X600157.SH,X600315.SH,X000830.SZ,X000630.SZ,X600583.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.141624627185331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101632316329527,0,0,0.0832325456633407,0,0.0156326224397437,0,0,0,0,0,0,0.137636102166537,0,0,0,0.0242764173167808,0,0,0,0,0,0,0,0,0,0,0.203764153551783,0,0.0226868389709657,-0.0092205565517136,0,0,0,0,0,0
X600028.SH,0,0,-2.16840434497101e-19,0.110426035294435,0,0,0,0,0,0,0,0,0,0,0.517527646849704,0,0,0,0.0701817589466928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0275501608788899,0,0,0,0,0,0,0,0,0,0,0,0,-0.00628840544964527,0,0,0,0,0,0,0
X601088.SH,0,0.0469817862075682,0,0.392577284598183,0.0672000064563592,0,0,0,-0.0308341207078678,0,0,0,0,0,0,0,0,0,0,0,0,-0.0376948057727249,0,0,0,0,0,0,0,-0.0691997354017252,0,0,0,0,0,0.26436788652565,0,0,0,0,0,0,0,0,0,0.0274881765966466,0,0,0,0,-0.0257930460664388,0,0,0,0,0,0
X600019.SH,0,0,0.406297938405776,0,0,0,0,0.236892319363567,0,0,0,0,0,0,0,0,-0.0735535666369143,0,0,0,0,0,0,0,0,0,-0.0664713308345426,0,0,-0.102806628768923,-0.029157811869557,0,-0.140148170539094,0.0731237342117608,0,3.46944695195361e-18,0,0,0,0,0.242401969863874,0,0,0,-0.0138589722006103,0,0,0,0,0.0100540048984317,0,0,0,0,0,0,0
X600585.SH,0,0,0.594993076412016,0,0,0,0,0,0,0,0.0194701787438047,0,0,0,0,0,0.125680420452699,0.078091219443699,0,0,-0.0494227453374638,0,0,0,-0.0304998923203686,0.0952615621373952,0,-0.0632801395541574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195330112765619,0,0.12460990402592,0,0,0,-0.00227062790662116,0.0693971701721418,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.0755066655487284,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0.0404280699695245,0.0830476747494002,0,0,0,0,0,0,0.198916623197467,0.0651744560710653,-0.119968666824734,0,0.282130079392547,0,0,0.0748739734873229,0,0,0,0,0,0,0,0.0117585084511404,0,0,0,0,0,-0.00575409158407993,-0.00874084019002879,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.0701698077806559,0,0,0,0,0,0,0,0,0,0,0,0,0,0.204703733189873,0,0,0.00756075932496738,0,0.0888930763132848,0,0,0,0,0,0,0.0340419124915686,0,0,0,0,0,0.105266403096155,0.00884477091364755,0,0,0,0,3.46944695195361e-18,0,0.136021777354347,0,-0.0127066144302631,0,0,0,0,0,0,0
X600188.SH,0,0,0,0.671625112811172,0,0,0,0,0,0,0.0372177731599251,0,0,0,0,0,0,0.0845457825448721,0,0,0,0,0,0.331044887518096,0,0,0,0,0,0,0,0,0,0,0,0.051219959717044,0,0,0,0,0,0,0,0.129975347828844,0,0.105662169653491,0,0.106240513504792,0,-0.00501482202924242,0.023947205990682,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0.0903491753165015,0,0,0,0,0,0,0,0,0.0610895740510983,0.557862720791436,-0.0174445999797006,0,0,0.134960703689963,0,0,0,-0.0537914572398379,0,0,0,0,-0.0439608116739606,0,0,-0.0887087491644301,0,0,0,0,0,0.072606670107516,0,0.0592952332166975,0,0,0,0,0,0,0,0.0373744175876775,-0.00118626802582117,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.420667968360699,0,0,0,0,0,0,0,0,0,0,0,0.0510312832981629,0,0,0,0,0,0,0.097504647366318,0,0,0,0,0,0.00602921542142213,0.131804884158848,0,0,0,0,0.045458246290322,0,0,0,0,0.0201672897272457,0,0,0,0,0,0
