,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X600547.SH,X601898.SH,X601991.SH,X600688.SH,X600660.SH,X601600.SH,X600886.SH,X600795.SH,X600188.SH,X600027.SH,X600362.SH,X601992.SH,X000898.SZ,X002466.SZ,X600176.SH,X600111.SH,X002460.SZ,X600516.SH,X000709.SZ,X600299.SH,X600352.SH,X600489.SH,X000629.SZ,X600808.SH,X600219.SH,X300072.SZ,X601158.SH,X600801.SH,X000786.SZ,X000825.SZ,X000553.SZ,X000883.SZ,X600583.SH,X000408.SZ,X000792.SZ,X601699.SH,X002110.SZ,X000301.SZ,X600339.SH,X000539.SZ,X000630.SZ,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0868137058485581,0.0656333512494641,0,0,0,-0.0263258673335061,0,0,0.221679815862705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.075232789236937,0,0.018555587753695,0,0,0,0,0,0,0,0,0,0.250331436771123,0.238945243386707,0,0,0,0,-0.0228995371686392,0.0845308489906879,0,0,0,0,0,0
X600028.SH,0.145267562472145,0,0,0,0.113219251462801,0.0235287726690131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403093442543279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262867936787176,0,0,0,0,-0.00378848323544068,0.0454074718734637,0,0,0,0,0,0
X601088.SH,0.354835611133785,0,0,0,0,-0.0984371884286989,0,0,0,0,0,0,0,0,0,0,0.0950417438153836,0,0,0,0,0,0,0,0,0,0,-0.0175038257042936,0,0,0.0582625112040393,0,0,0,0,0,0,0,0,0,0,0.0362305515819528,0,0,0.115982979687901,0,0.0410257136556881,0,0,0,0,0.00212776156846829,-0.0107806508426211,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.145602579032487,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0538001766380625,0,0.0637960440796256,0,0,0,0,0,0,0,0,0.0333024979867422,0.130365279488735,0,0,0,0.53527611792263,0,0,0,0,0,0,0.102486123512303,0,0,0,0,0,0,0,0,0.00231038686926626,-0.00123287488554731,0,0,0,0,0,0
X600019.SH,0,0.20359473895522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103301272008918,0,0,0,0.463613114087816,0.0100382349739528,0,0,0,0,0.0143742879088472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00550207451071124,0.0334913087088635,0,0.0529868717830707,0,0,0,0,0,0,-0.00741614591499156,0.0167562866808356,0,0,0,0,0,0
X600011.SH,0,0,0,0.0779251500484336,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689687233765222,0,0,0,0.0311037143556649,0,0,0.018658503162551,0,0,0,0,-0.235126044240103,0,0,0,0,0,0,0.0468410996578846,0,0,0,0,0,0.0752494161618742,0,0,0,0,0,0,0,0,-0.00312817144232551,0.0524627443408382,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445677526965876,0,0,0,0,0,0,0,0,-0.227246380560237,0,0,0,-0.451405659523634,0,0,0.0912934158981313,0,0,0,0.312962088572599,0.0072320380725509,0,0,0,0.751073254337704,0,0,0.241371554538398,0,0,0,0,0,-0.586101150144327,-0.0897914669061905,0.146046438745188,0,0.338095564056161,0,-0.276982905087408,0,0
X600010.SH,0.185596598645462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26239466298474,0,0,0,0,0,0,0,0,0,0,0.133438388729983,0,0.0580363163709142,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,-0.00669016214466263,-0.00826656211135863,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,-0.00273654228242334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0427638562576534,0,0,0.0699167260685614,0,0,0,0,0.492147792841749,0,0,0,0,0,0,0,0.233862775727743,0,0,0,0,-0.0646993121273096,0,0.0342209440799568,0,0,0,0,0,0,0.0122172508775532,0,0,0,0,0,0,0
X601898.SH,0.277660765289395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15197241858512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280270154219542,0.0782731773188986,0.0333561462303422,0,0,0.0344359558142877,0,-0.0106358567931361,0,0,0,0,-0.0236007584654346,0,0
