,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X601991.SH,X600547.SH,X600688.SH,X601600.SH,X600660.SH,X600188.SH,X600886.SH,X600795.SH,X600362.SH,X000898.SZ,X600027.SH,X600111.SH,X600516.SH,X601992.SH,X600299.SH,X000629.SZ,X000709.SZ,X002466.SZ,X600176.SH,X600808.SH,X002460.SZ,X600352.SH,X600801.SH,X000825.SZ,X002110.SZ,X600489.SH,X300072.SZ,X600339.SH,X601158.SH,X000553.SZ,X601699.SH,X600583.SH,X600219.SH,X000932.SZ,X000883.SZ,X000786.SZ,X600426.SH,X000630.SZ,X000301.SZ,X000408.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.138624018758853,0,0,0,0,0,0.0480953046616591,0.160328950989218,0,0,0.022752484949666,0,0,0,0,0,0,0,0,0,0,0,0,-0.0623681767557248,0,0,0,0,-0.0346890812382219,0,0,0,0,0.0629777213089796,-0.0131709558924856,0.201937572706096,0,0,0,0.0284499240499832,0,0,0,0,0,0,0.336077687709024,0,0,0.00563151319317373,0.0380913032588117,0,0,0,0,0,0
X600028.SH,0.0510222906931658,0,0,0,0.299202915423811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0.0444091933893328,0,0,0,3.46944695195361e-18,0,0.04603814468504,0.00682543743977523,0,0.184822489856428,0,0,0,0,0,0.00229331785074111,0,0,0.0604944045210309,0,-0.0210313154186449,-0.00325132739736112,0,0,0,0,0,0,0
X601088.SH,0.157739881886671,0,0,0.0633617297613895,0,0,0,0,0.178201372237869,0,0,0,0,0,0.0902550754298168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0290420363221847,0.0133642681746874,0,0,0,0.0164318721138513,0,0,0.0945986795906283,0,0,0.0682923898298106,0,0,0.00762978856503281,0,0.00642223927849611,0,0,0.00380871652870871,0,0,0,0,0,0,0
X600585.SH,0,0,0.0923721572328232,0,0,0.0788195607126527,0.0874535570830669,0,0,0,0,0,0,0,0,0,0,0,0.0928153316014147,0,0,0.0153464490210895,0,0,0.0364080972997517,0,0,0,0,0,0,0.531776299355467,0,0,0,0,0.0764942200532138,0,0,0,0,0,0,0,0,0.0129715509515421,0,0,0,0,0,0.00719142685730628,0,0,0,0,0,0
X600019.SH,0,0.113086831186777,0,0.0710279096180343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.567158066506513,0,0,0,0,0,0,0,0,0,0,0,0,0.0322763846318601,0,0,0,0,0,0,0,0,-0.0255109045051498,0,0.117540740895914,0,0,0,0,0,0,0,-0.00248727468775149,0,0,0,0,0,0,0
X600011.SH,0,0,0,0.127500420235603,0,0,0.00616214944603142,0,0,0,0,0,0,0,0,0,0,0,0,0.771053419893809,0,0,0,0,0,0,0,0,0,0.044406858670632,0,0,0,0,-0.0866376120599389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00248461648930157,0.0335902766425891,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104133888789874,0,0,0,-0.45076566711633,0,0,0,-0.367000213826198,0,0,0,0.248754145301379,0,-0.464614354300246,0,0,0,0,0,0,0,0.138899718121863,0,0,0.465563159307897,0,0,0,-0.145612100614267,0.00282182140008776,0.0311878909375362,0,0.0594592344228824,0,0,-0.118817749161,0
X600010.SH,0.083930629147178,0,0,0,0,0.0192314237067645,0.104002674131412,0,0,0,0,0,0,0,0.0216799312974302,0,0,0,0,0,0,0.0312519614564864,0,0,0.0483524801863518,0,0.0832205948069416,0,0,0,0,0,0.0239366114770839,0,0,0,0,0,0,0,0,0,0.201231735623533,0,0,0,0,0,0,0,0.00339431011472448,-0.0527269054842098,0,0,0,0,0,0
X601898.SH,0.203494751030793,0.0497529957680737,0.225971817535531,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.0569408931984254,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00673496508472974,0,0,0,0,0,0,-0.00639931005237383,0.0510493210833946,0,0.0604740295460689,0,0,0,0,0,0,0,0,0.184403470161837,0,0,0.0290014890576696,-0.0480304319965325,0,0,0,0,0,0
X601991.SH,0.00668794623709373,0,0,0,0,0,0,0,0.118977126158456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366724457649885,0,0,0,0,0,0,0.0747082952373843,0,0,0.0347370951967376,0,0.0276817043429026,0,0,0,0,0,0,-1.0842021724855e-19,0,0.0261761949121005,0,0,-0.0221916220902246,4.33680868994202e-19,0,0,0,0,0,0
