,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X002460.SZ,X600585.SH,X600188.SH,X002466.SZ,X000792.SZ,X600019.SH,X601898.SH,X600111.SH,X002271.SZ,X600660.SH,X600011.SH,X600010.SH,X000877.SZ,X000301.SZ,X000708.SZ,X600547.SH,X601600.SH,X600886.SH,X600795.SH,X600176.SH,X600426.SH,X600362.SH,X600096.SH,X000786.SZ,X000723.SZ,X000408.SZ,X000983.SZ,X600803.SH,X300073.SZ,X601991.SH,X002080.SZ,X600141.SH,X601699.SH,X600486.SH,X600219.SH,X002192.SZ,X600027.SH,X600801.SH,X000959.SZ,X002353.SZ,X600157.SH,X002497.SZ,X600489.SH,X600295.SH,X000932.SZ,X000807.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0.0429605989619063,0,0,0,0.0737466602660356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114344154067212,-0.144147842351801,0,0,0.0583091616776214,0,0,0,0,0,0,0.0165889700645548,0,0,0,0,0,0.135507921781804,0,0.0202217762203179,0,0.164748207810642,0,0,0,-0.0108115879489768,0,0,0,0,0.0256007020783037,0,0
X601088.SH,0,0,0,0,0,0,0.271631008263744,0,0,0,0,0,0,-0.0470548489019666,0,0,0,-0.0067964345439488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114850631094241,0,0,-0.0481450633738196,0,0,0,0,0,0,0,0,0,0,0,-0.00624564287540965,0,0,0,0,0,0,0
X600028.SH,0,0,0,0.0210031788748716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0761811797807018,0,0,0,0.0195186088112986,0,0,0,0,0,0,0,0,0,0,0,0,0.027194846470777,0,0,0,0,0,0.0665807186766028,0,0,0,0.0503842977242724,0.026995355541728,0.0348186820162835,0,-0.018713721799993,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,-0.0217917614818351,0,0.078202654891186,0,0,0,0.0264066755572444,0,0.158774709036102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0.0393829676879398,0,0,0,0.0724863424634565,0,-8.67361737988404e-19,0,0.0685361028047284,0.0886287361491327,0,0,0.00748140232692122,-0.00547187181408218,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0.311207271751301,0,0,0,0.151232794373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0551890019436459,0,0,0,0,0,0.181160212747886,0,0,0.128400951997619,0,0,0,0,0,0.0194853595002647,-0.0638739743468467,-0.0369532568259554,0,0,-0.030160399216897,0,0
X600585.SH,0,0,0,0,0,0,0,-0.0135112237892272,-0.0703673862119004,0,0,0,0.0961494589422185,0,0,0,0,0,0,0.176255853071615,0,0,0,0,0,0,0,0,0,-0.00156269729393297,0,0,0,0,0,0,0,0,0,0,0.0129177203591927,0.416050756878451,0.02353436644013,0,0,0,0,0,0,0,0,-0.00380154432422618,0,0,0,0,-1.0842021724855e-19,0,0
X600188.SH,0,0.3211981768379,0,0,0,0,0,0,0.0430466723548072,0,0,0,0,0,-0.255987764773908,0,0,0,0,0,0,0,0,0,0,0,0,0.0526587740890279,0,0,0,0,0,0,0,0,0.375118057476143,-0.0237599487815923,0,0,0,0,0,0.0168767430133524,0,0,0,0.150246609740069,0,0,0,0.0389112445571834,-0.0505776466165256,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.69350064034648,0,-0.0875693929714776,0,0,0,0,0,0,0,0.0296133104489431,0,0,0,0,0,0.0297689193957233,0,0,0,0,0,0,0,0,0,0.0414091350343402,0,0,0,0,0.0365726536167699,0,0,0,0.101948963088646,0,0,0,0,0,0.0768997376437435,0,0,0,0,0,0.00804968708891366,0,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0.182014028649353,0.0523496344738538,0,0,0,0,0,0,0,0,0,0,-0.0592523104873962,0,0.0634708730954599,0,0,0,0,0,0.0556703999393103,0,0,0.464177065747177,-0.0958742772357448,0,0,0,0,0.125993299893815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0522953627452254,-0.0109142238375691,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0.0732131752875276,0,0,0,0,0,0.016432621859551,0,0,0.0254407943975757,0,0,0,0,0,0,0,0,0,0,0,0,0.0194125929943106,0,0,0,0,0,0,0,0,-0.00510464209089423,0,0,0,0,0.101798544213792,0,0.0823128805996179,0,0,0,0.211723222653195,0.0415236580974521,0,-1.73472347597681e-18,0,0,0,0,0,0,0
