,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600011.SH,X600585.SH,X600019.SH,X002460.SZ,X002466.SZ,X600547.SH,X601898.SH,X000792.SZ,X601600.SH,X600886.SH,X600660.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X002271.SZ,X000877.SZ,X600795.SH,X600362.SH,X600426.SH,X600027.SH,X601991.SH,X600803.SH,X000983.SZ,X600176.SH,X600489.SH,X601699.SH,X000807.SZ,X000786.SZ,X600160.SH,X000408.SZ,X600219.SH,X000932.SZ,X300037.SZ,X600995.SH,X000539.SZ,X002409.SZ,X000629.SZ,X600612.SH,X002080.SZ,X600688.SH,X000933.SZ,X600096.SH,X600348.SH,X000027.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.627973543875456,0,0,0.0776275458169059,0,0,0,0,0,0,0,0,0,0,0,-0.106998370271649,0,0,0,0,0,0,0,0,0.0480343645453069,0,0,0,0,0,0,0.0697443184780832,0,0,0,0,-0.007016771036011,0,0,0,0,0,0.263433640547488,0,0,0.206073569797463,0,0,0,0,0,0,0.148787640628112,0,0,0,0,0
X600028.SH,0.702132737104748,0,0,0,-0.096408573000828,0.0058072378840506,0,0,0,-0.0654167219286587,0.1347416911836,0.046321104088135,0,0,0,0,0,0,0,0,-0.03863873270831,0,0,0,0,0,0.0352440736645399,0,0,0,0,0,0,-0.0159357630619783,0,0,0,0,0,0,0,0.00705431054787001,0,-0.0195702380819535,0,0,0,0,0,0,0,0.015084964780383,-0.00608371615720661,0,0,0,0,0,0
X601088.SH,0,0.244769811592058,0,0,-0.124298325930313,0,0,0,0,0,0,0.382528699634879,0,-3.46944695195361e-18,0,0,0,0,0,-0.0404186141884776,0,0,0,0,0,0,0.055873450029022,0,0,0,0,0,0,0.155129204734451,0,0,0,0,0,0,0,0,0,0,0,0,0.260861583257466,0,0,0,0,-0.0317022336893586,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,-0.212836492024409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0445347855319574,0,0,0.161991496844584,0,0,0,0,0.133325916092227,0,0,0.0371098692480232,0,0.00909340157184019,0,0,0,-0.00463102688759366,0,0,-0.0192288841642279,0,0,0.00536581090109647,0,0.0552203618831183,0,0,0,0,0,-0.0093660541448835,0,0,0,0,0,0
X600188.SH,0.10544270105108,0,0,0,0,0,0,0,0,0,0,0.161872093685743,0,0,0,0,0,0,0,0,0,-0.0325551863135172,0,0,0,0,0,0,0,0,-0.0600823391933321,0.241394565520769,0,0,0,0,0,0,0.174517076841257,0,-0.055645471446249,0,0,0,0,0,0.181943613784092,0,0.49431076277018,0,0,-0.117472902991985,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.281633050464715,0,0,0,0,0,0.149621328135295,0,0,0,0.144036353588482,0,0,0,0,0,0,0,0.260280453694332,0,0,0.4400126385623,0.325029088311111,0,0,0,0,0,0,-0.0958029713949623,0,0,0,0,0,0,-0.18830848639023,0,0,0,0,0,0,0,0,0,0,-0.0768141660890618,0,0,0,0,0,0,0
X600585.SH,0,0,0,0.165083248248904,-0.0995967553889198,0,0,0.0752093419882751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0602363003892774,0,0,0,0,0.0102883817656963,0,0.0342512659303771,0,0.100589759869741,0,0,0,0.0403791837619234,0,0,0,0,-0.0665254247239696,0,0,0,0,0,0,0
X600019.SH,0,0.0752023948298784,0,0,0.114367206986216,0,0.0477530362875253,0,0,-0.0729009371926287,0.108256769759808,0,0,0.1230105167829,0,0,0,0,0,0,0,0.0386276062067336,0,0,0.0744925941495256,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0.0230744697639784,0,-0.0887280757303165,0,0.0693519366456607,0,0,0,0,0.0498393089812992,0.048078788575347,0.00882933411241187,0,0,0,0,0,0
X002460.SZ,-0.0138509209404973,0,0,0,0,0,0,0,0,0.486440990226416,0,0,0,0,0,0,0,0,0,0,0,0.135510928426654,0,0,0,0,0,0,0,0,-0.0471385303816662,0,0,0,0,0,0,0,0,0,0,0,0.182758966338412,-0.00520275483674841,0,0,0,0,0,0,0.121304256696373,0.0022920684578686,0,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0.43190855256896,0,0,0,0,0,0,0,0,0,0,0,0.0469041839544035,0,0,0,0,-0.0588673247891152,0,0,0,0,0,0.236558691280158,0,0,0.165970172749507,0,0,0,0,0,0,0.104065328461044,0,0,0.0517043145888424,0,0.186983337196616,0,0,0,0,0,0,0,0,0,0,0,0
