,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600585.SH,X600886.SH,X600019.SH,X600795.SH,X601898.SH,X601600.SH,X601991.SH,X600027.SH,X600688.SH,X002075.SZ,X600157.SH,X600111.SH,X600362.SH,X600583.SH,X600188.SH,X601992.SH,X601158.SH,X600309.SH,X000539.SZ,X000709.SZ,X000027.SZ,X000898.SZ,X600352.SH,X000883.SZ,X600021.SH,X600660.SH,X000792.SZ,X600022.SH,X002470.SZ,X000629.SZ,X600307.SH,X600489.SH,X601918.SH,X600863.SH,X600098.SH,X600578.SH,X600623.SH,X600612.SH,X600547.SH,X600808.SH,X000825.SZ,X600160.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.771009121798136,0.07666432797838,0,0,0,0,0,0,0,-0.0473574115853556,0,0,-0.00298622404374294,0,0,0,0,0,0,-0.070009844090268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0417023025335228,0,0,0,0,0,0,0,0,0,0,0,-0.0110884804578899,0,0.0461811039521331,0,0,0,0
X600028.SH,0.318219297203175,0,0,0.0659144431242264,0,0.222216627169642,0,0.0525773443536635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0986061840809957,0,0,0,0,0,0,0,0.0440258906129864,0,0,0,0,0,0,0,0,0,0,3.93355337585037e-05,0,0,0,0,0,0,0
X601088.SH,0,0,0,0.0223094508271136,0.239541786421604,0,0,0.0822561031761674,0,0,0,0.141480310914023,0,0,0,0,0,0,0,0,0,0,0.0541244031041274,0,0,0,0,0,0,0,0,0.0266017284973406,0,0.153670936033045,0,0,0,-0.0267015595810193,0,0,0,0,0,0,0,0,0,0,-0.0177689890823003,0.0147105536867158,0,0,0,0,0,0
X600011.SH,0,0,0.0702813792003503,0,0,0,0,0,0,0,0,0.383980097357418,0.376477208846984,0,0,0,0,0,0,0.0859254479032917,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0380673007313903,0,0,0,0,0,-0.0177058704961243,0,0,0,0,0,0,0,0,0.00364355062103365,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00894506395540209,0.125978990379285,0,0.190300321707976,0,0.0747272577390402,0,0,0,0.0338432463099649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0.17657214244424,0,0,0,-0.00485135111613657,0,0,0,0,0,0,0
X600585.SH,0,0,0,0.0258698401455263,0,0,0,0.114269304324336,0,0,0,0,0,0,0,0,0.0503262685000609,0,0,0,0.0432647795245119,0,0.0921305000080122,0,0,0.00311732314582094,0,0,0,0.0358072261592206,0.32972033700877,0,0,0.0580613041957377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0102380542881453,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,0,0.00711758913320285,0,0,0,0,0,0,0,0,-0.18469335628577,0,0,0,0,0,0,0,0,0,0,0.00289023101381074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00124079332481731,0,-0.0131326341361333,0.00792182854139983,0,0,0,0,0,0
X600019.SH,0,0.003512886723512,0.0841285102155833,0.0530946795072415,0,0,0,0,0,0.078573201795139,0,0,0.247005826759997,0,0,0,0,0,0.0914158791941948,0,0,0,0,0,0,0.0344398464466656,0,0,0,0,0,0,0,0,0,0,0,0.0272404064293005,0,0,0,0,0,0,0,0,0,0,0,-0.0063568179685275,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0.146820400073033,0.0967796531598017,0,8.67361737988404e-19,0,0,0,0.025175619379125,0.0419253404344602,0,0.115308656407817,0,0,0,0,0.0659890319130476,0,0,0.0267527646994725,0,0,0,0,0,0,0,0,0,0.105461136083799,0,0.227309340870054,0.0042264314023129,0,0.0263298342314042,0,0,0.0178077149161334,0,-0.00364751119478453,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0.146033046843923,0,0,0,0,0,0,0,0.0340350041159807,0.00163110958476127,0,0,0.0712825261333762,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0102257979301499,0.182912802391781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0.026022413885042,0,0,0.0138738187632084,0,0,0,0,0,0,0,0,0.0299471784375964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0173041475779696,0,0,0.278129865004254,0,0,0,0,0.138773552113294,0.00543254497255707,0,-0.00650669454355075,0,0,0,0,0,0,0
X601991.SH,0,0,0.0596611526429827,0.138269239293185,0,0,0,3.46944695195361e-18,0,0.082811255690026,0,0,0.12366490086366,0,0,0,0,0.0252077668622262,0.0191486792253736,0.109066595624569,0.138330563598471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0.127456211575584,0,0,0,0,0,0,0,-0.00616649029462549,0,0,0,0,0,0,0
X600027.SH,0,0,0,0.141811763494733,0,0,0,0,0,0,0.086005832030793,0.117194358846698,0,0.109112731258284,0,0,0,0,0,0,0.0920668348399578,0,0,0,0,0,0.0612412461879715,0,0,0,0,5.42101086242752e-20,0,0,0,0,0,0,0.31767686999974,0,0,0,0,0,0,0,-0.0286625373471609,0,0.0207647563642861,-0.056965961771314,0,0,0,0,0,0
X600688.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.18789571670773,0,0,-0.082247130787162,0,0,0.204181711692241,0,0,0,0,0,0,0.161659217078681,0,-0.221913413575115,0,0,0,0,0,0,0,0,0,0.3380302077181,0.00550658883608777,0,0,0,0,0,0,0,-0.0217556383801247,0,0.03333914202925,-0.0168532706674307,0,0,0,0,0,0
X002075.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600157.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0880275595920968,0,0,0,0,0,0,0,0,0,0,0.0230281853205644,-1.0842021724855e-19,0,0.230225405237472,0,0.0972136434864191,0,0,-2.16840434497101e-19,0,0,0.0319498141644678,0,0.184131160342522,0,0,0,-0.012917679970457,0,0,0,0,0,0
X600111.SH,0,0,0,0,0.0482267144087601,0,0,0,0,0.0139804645101104,0,0,0,0,0,0,0,0.180067968573129,0.10492523006408,0,0,0,0,0,0,0,0,0,0,0.275285469653445,0,0,0,0,0,0,0,0,0.00543083597327128,0,0,0.124905676698617,0,0,0,0,0,0,-0.0114430500831993,0,0,0,0,0,0,0
