,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600011.SH,X600585.SH,X600019.SH,X002460.SZ,X002466.SZ,X601898.SH,X000792.SZ,X600547.SH,X601600.SH,X600886.SH,X600111.SH,X600660.SH,X600010.SH,X000708.SZ,X000301.SZ,X000877.SZ,X600795.SH,X002271.SZ,X600362.SH,X600027.SH,X600426.SH,X601699.SH,X600803.SH,X000983.SZ,X601991.SH,X600176.SH,X600489.SH,X000807.SZ,X600995.SH,X000786.SZ,X000408.SZ,X600160.SH,X600219.SH,X000539.SZ,X300037.SZ,X000629.SZ,X600688.SH,X600096.SH,X000932.SZ,X600985.SH,X002080.SZ,X000933.SZ,X600348.SH,X600612.SH,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.719117728595622,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.132481061780229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154584761671825,0,0,0,0,0,0.00612913618913681,0.0484502856818576,0,0,0,-0.0499118561799077,0,0.0253196552925275,0.0162376499993777,0,0.129723525295566,0,0,0.081347398182088,-0.0528805679857795,0.172787314758314,-0.217086473215097,0,0,0,0
X600028.SH,0.737207055420416,0,0,0,-0.141644003992955,0,0,0.0479738961570477,0,-0.083424231987621,0.0599544034704819,0,0.03329943284446,0.024248556987638,0,0,0,0,0,0,0,0,0,0,0,0.0688787481244708,0,0,0,0.0362938033095145,-0.030048869008332,0,0,0,-0.171761663230393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037846426336657,-0.0445176059701359,0,0,0,0,0,0
X601088.SH,0,0.0771238660714526,0,0,-0.196468200161318,0,0,0,0,0,0.10934190000862,0,0,0.222231056536083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0717004838073631,0,0,0,0,0,0,0,0,0.099259736366053,0,0.00865307895904389,0.102631049985192,0,0,0,0,-0.0336293106504144,-0.00907892772373352,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,-0.119278822901572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0568849502375322,0,0,0,0,0.235410817219424,0,0,0,0,0,0,0.149889557088453,0,0,0,0,0,0,0,0,0,0,0,0,-0.00959541483659954,0,0,0.00908372003277906,0,0,-0.0376205722627038,0.0360640151401022,0,0,0,0,0,0
X600188.SH,0.0659495065418296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158530053616058,0,0,0,0,0,0.101834427225198,0,0,0.0245898191128246,0.0734868440228177,0,0,0,0,0,-0.00479009062419133,0,0,0,0,0,0.0878608705300433,0,0.204045190335128,0,0,0,0,-0.075397526348646,8.67361737988404e-19,0,0,0,0,0,0
X600011.SH,0,-0.138619137510762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022569617907892,0,0.713049732560893,-0.033315512727829,0,0,0,0.141043213210335,0,0,0,0,0,-0.280225680424686,0,0,-0.241785161724261,0,0,0,0,0,0,0.137620119872092,0,0,-0.00215922826613087,0,0,-0.0317236213826441,0,0,0,0,0,0,0
X600585.SH,0.00851361216812499,0,0,0.0563157298154539,-0.0220701924074104,-0.00942268187079492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37364238114019,0,0.0768062293373611,0,0,0,0,0,0.0164406686261834,0,0.16264210212999,0,0,0,0,-0.0166894577817558,-0.0257680731995308,0,0.029148721560287,0.032180003800664,0,0,0,0,0,-0.0716496714409964,0.0739968497895403,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0.123411885490537,0,0,0.0278155580788997,0,0,0,0,0,0,0,0.0375722624033351,0.0496261274504628,0,0,0,0,0,0,0,0,0.0754149834357895,0,0,0,0,0,0,0,0.0952590553063496,0,0,0,0,0,0.0440875253800148,0,-0.0119632632483838,-0.0923439338018592,0,0,0,0.0242210555086975,0,0,0,0,0,0,0,0.148012687974943,-0.0373966149354684,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0,0.686125986782245,0,0,0,0,-0.11111259475478,0,0,0,0,0,0.165016239497236,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.139570596847919,0.129250069862829,0,0,0,0,0,0,0,0,0,0,0.0367037537477157,0,-0.0540219835303085,0.0119267050593501,0,0,-0.0102484546200423,0,0,0,0,0,0
X002466.SZ,0,-0.145297805800001,0,-0.0250092458476718,0,0,0,0,0.331679302346775,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216880910617636,0,0,0,0,0,0,0,0,0,0,0,-0.12625934917937,0,0,0,0.0655638565106604,0.0477441561412511,0,0,0.00236549269016466,0,0,0.0676100892439304,0.0450377352380146,0,0,0.382486460014564,0,-0.0212629660217993,0.0194773628476195,0,0.358195876899951,0,0,0,0
