,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X000792.SZ,X600019.SH,X002466.SZ,X600111.SH,X002271.SZ,X000301.SZ,X000708.SZ,X600660.SH,X600010.SH,X601600.SH,X601898.SH,X600362.SH,X600547.SH,X600188.SH,X600426.SH,X600176.SH,X600219.SH,X600011.SH,X000786.SZ,X600886.SH,X000723.SZ,X000408.SZ,X000932.SZ,X600803.SH,X000825.SZ,X601991.SH,X000807.SZ,X000898.SZ,X000959.SZ,X600795.SH,X600399.SH,X300037.SZ,X002080.SZ,X000831.SZ,X600352.SH,X600801.SH,X600486.SH,X002409.SZ,X600489.SH,X601699.SH,X600808.SH,X000027.SZ,X000630.SZ,X002145.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.00605240482656769,-0.0496132582519871,0,0,0,0,0,0,0,0,0,0,0.0210772936948235,0,0,0,0,0,0.0440556590247148,0.0403114413417427,0,-0.0548600966878822,0,0,0,0,0.0364996856161914,0,0,0,0.0320324253761066,0,0,0,0,0,0,0.0608869189630339,0,0,0,0,0,-0.0133083750827248,-0.0113312654641044,0,0,0,0,0,0
X600028.SH,0.143389792096078,0,0,0,-0.0507940603379037,0,0,0,0,-0.0325778991273246,0,0.0709403037384051,0,0,0,0,0,0,0,0,0.0106306500153392,0.0235772885807884,0,0,0,0,0,0,0,0,0,0,0.04665871960753,0,0,0,0,0,0,0,0,0,0,0,0,0.0247553573519434,0,0,0,0,0,-0.0254408214943191,0.0692779730111147,0,0,0,0,0,0
X601088.SH,0,0,0,0,-0.0248726797448781,0,0,0,-0.0395786534014857,0,0,0,0,0,0,0.0637405826788371,0.130015725781401,0,0,0.0616631344499233,0,0,0,0,0.131742096397197,0.0368157651902151,-0.0103652374996834,0,0,0,-0.0232935201216258,0,0.0460540422888592,0,0,0,0,-0.100511271571311,0,0,0,0.00737144981830002,0,0,0,0,0,0,0.0865865136441067,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0.0705232221538051,0.0779418822685426,0,0,0,0,0,0,0,0,0,0.140707152550458,0,0,0,0.0589379127175496,0,0,0,0,0,0,0,0.0240273574001491,0,0,0,-0.0679393080578781,0.0106407626158932,0,0,0,0,0,0.0375724105672237,0,0,0,0.0712860549833794,0,0,0,0,0.00226877352009693,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.138335616049877,0.175432112086487,0,0.0669334552700968,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.161220857459271,0,0,0,0.304403464853421,0,0,0,0,0.173839460900984,0,0,0,0,0,0.0518574851909572,0,0,0,0,-0.163950876181216,0.116471872840449,0,0.0859576540546028,-0.143055947988175,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0,0.00299927944429691,-0.0616441739693513,0,0.0302264536596357,0,0,0,0,0,0,0.0328410202650878,0.0613854124973233,0,0.101553754440106,0,0,0,0,0,0,0,0,-0.0235282184498032,0,0,0,0,0,0,0,0.462462121086302,0,0,0,0,0,0,0,0,0,0.00452230333462429,0.0178344144570824,0,0,0,0,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0,0.0220203920726519,0,0,0,0,0,-0.0967848380352582,0,0,0,0,-0.0341252729853508,0,0,0,0,-0.170205982624254,0.128005545644056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0229203999148762,0,-0.0535355397007599,0,0,0,0,0,0.0999318934483129,0.119586367039457,0,0,0,0.129535766204631,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0489565720164327,0,0,0,0,0,0,0,0,0,0,0,0,-0.0450711915795378,0,0,0.0187856297484354,0,0,0.33469039230563,0.0679658099941066,0,0,-0.061545509270597,0,0,0,0,0,-0.0599874577684336,0,-0.00291985978437045,0.141599219855897,0,0,-0.0152004102691873,0,-0.00285196964342244,0,0,0,0,-0.177765584147965,0,0
X002466.SZ,0,0,0,0,0.0619075046363087,0,0,0,0,0.3813773694807,0.178728641908124,0,-0.121956391897553,0,0.147556184208404,0.464890131217541,0,0,0,-0.0959345684741674,0.0087974079164276,0.0569816649433351,0,0,0,0,0,0.277973983392536,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0332078229295791,0,-0.058995463571369,0,0,0,0,0,0,0
X600111.SH,0,0,0,0,0.0770117017308715,0,0,0,0,0,0,0,0,0,0.470810673018686,0,0,0,0,0,0,0,0,0,0,0,-0.0136929341423891,-3.46944695195361e-18,0,0,0,0,0,0,-0.102464346105585,0,0.168067707137822,0.241246173438446,0,0.300607293114547,0,0,0,0.131306335515589,0,0,0,0.107219163811751,0,0,0,0.0640657595849073,0,0,0,0,0,0,0
