,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600010.SH,X600886.SH,X600585.SH,X600019.SH,X601898.SH,X600795.SH,X601600.SH,X601991.SH,X600688.SH,X600027.SH,X002075.SZ,X000709.SZ,X600157.SH,X600111.SH,X600362.SH,X600188.SH,X600583.SH,X601158.SH,X600309.SH,X601992.SH,X000878.SZ,X600021.SH,X000898.SZ,X000027.SZ,X000883.SZ,X600352.SH,X000539.SZ,X600022.SH,X000629.SZ,X601918.SH,X600660.SH,X000792.SZ,X600098.SH,X002470.SZ,X600863.SH,X600307.SH,X600578.SH,X600489.SH,X600547.SH,X600808.SH,X000060.SZ,X600612.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.883558118782052,0.0193269697743411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0220185869430171,0,0,0,0,0,-0.0433416064700096,0,0,-0.0340627769282066,0.0391479334060689,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398491770254943,-0.0594604890112339,0,0.0408861851794172,0,0,0,0
X600028.SH,0.407798556533454,0,0.0500029494302291,0,0,0,0.0556645445728548,0.125498491007534,0,0,0,0,0,0,0,0,0,0,0,0,0.037760973484713,0.0372234122974057,0,0,0,0,0,0,0,0,0,0,0,0.0615951370795968,0,0,0,0,0.0824751979955681,0,0,0,0,0,0,0,0,0.0171215866925933,0,0.0288195860128324,0,0,0,0,0
X601088.SH,0,0,0,0,0.117559343002096,0,0,0.217224487828498,0.109005270295887,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17709974298269,0,0,0,0,1.73472347597681e-18,0,0,0,-3.46944695195361e-18,0,0,0,0.0170022115083933,0,0.0675352364334157,0,0,0,0,0,0,0,0,0,-0.0170836656197478,0,-0.0306173746834546,0,0,0,0,0
X600011.SH,0,0,0,0,0.0115183770914698,0,0,0,0.175381483224291,0,0,0.0734466632285707,0,0.113349909952931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.38777878078145e-17,0,0.387495820382485,0,0,0,0,0,0,0,-0.00249718130457355,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0.0911026720050445,0.100458883963589,0.116333867428298,0,0.0486254982500554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0452567339933344,0.207186765735771,0.0154266111546984,0,0,0,-0.00854702472639879,0,0,0,0,0,0
X600886.SH,0.000727275803791297,0,0,0,0.00347895934081179,0,0,0,-0.0068716679165038,0,0,0,0,0,-0.094746432516684,0.0940268365947169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00808042547332063,0,0,0,0,0,0,0,0,-0.0368105597626296,0.0228331306399595,-0.00587750831896977,0,0,0,0,0
X600585.SH,0,0,0.070902055481231,0.140022948333835,0.0348176235373541,0,0,0.0340045042502629,0,0,0,0,0,0,0,0,0,0.0562676212721787,0,0,0,0,0.0273287889882596,0,0,0,0.0427955054962011,0.081361179408819,0,0,0,0,0,0,0.236136985031733,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00752373860714154,0,0,0,0,0,0
X600019.SH,0,0.0267578267866408,0.137504369010336,0.0317655223747487,0,0,0,0,0,0,0,0,0,0.154886117266748,0,0,0,0,0,0,0.127543457602936,0,0.0120228934912598,0,0,0,0.0445431913084406,0,0,0,0,0,0,0.0771743618806532,0,0,0,0,0.0799385566116211,0,0,0,0,0,0,0,0,0,-0.00388688332170606,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0.156773314266008,0.11421563658439,0,0,0,0,0,0,0,0,0,0,0,0,0.22309307284524,0,0,0,0,0.0566007674904414,0,0,0,0,0,0.0923884975753226,0,0,0.0382344785770604,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0.138281815250686,0,0.101596571938723,0,0,0.0375480427703966,0,0,0,0,0,0,0.00107777814562261,0,0,0.0533347515085083,0,0,0,0.0637683298873129,0.0622727881539581,0,0,0,0.0112721924857052,0.0137873859503005,0,0,0,0,0.155439488550692,0,0.158492378235891,0,0,0.01618515044998,0,0,0,0,0,0,0,0,0,0,0
