,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X000708.SZ,X600011.SH,X002460.SZ,X601898.SH,X600660.SH,X600688.SH,X600010.SH,X600801.SH,X601600.SH,X600886.SH,X002271.SZ,X600362.SH,X000786.SZ,X002466.SZ,X600352.SH,X600188.SH,X600795.SH,X601991.SH,X601992.SH,X600111.SH,X600027.SH,X000723.SZ,X600176.SH,X002353.SZ,X600299.SH,X600516.SH,X600489.SH,X000792.SZ,X600426.SH,X000401.SZ,X000898.SZ,X000553.SZ,X601158.SH,X600219.SH,X000932.SZ,X600583.SH,X000883.SZ,X000709.SZ,X600612.SH,X002080.SZ,X600486.SH,X600126.SH,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0.0305684872777555,0.194179547642441,0,0.0698863574755346,0,0,0.127032573460778,0,0,0,0,0.0549996544570397,0,0,0,0,0.0325462390600798,0,0,0,0,0,0,0,0.0962115031165134,0,0,0,0,0.00419254119135562,0,0,0,0,0,0,0.194117773522728,0,0,0,0,0,0,0,0,0,0,0.0276925837995357,0,0
X600028.SH,0.253728913058505,0,0,0,0,0,0,0,0,0,0,0,0.0609780743692208,0,-0.040665437587576,0,0,0,0,0,0,0.0172115567958004,0,0,0,0,0,0,0,0,0.060130932859057,0,0,0.0200422086559997,0,0,0,0,0.0645120738288324,0,0,0,0,0,0,0.0352059998378503,0.0651153994672678,0,0,0,0,0.0158102311599091,0,0,0.108026254399217,0,0.0625275683391312,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.00584958162204447,0,0,0,0,0,0,0,0,0.0476036170322459,0.196355609744684,0,0,0.0524057617982748,0,0,0.0318310990949794,0,0,0,0,0,0,0,0,0.111531329842563,0,0,0,0.00153176472027563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,-0.00617860181618756,0,0,0,0,0,0,0,0.420529909025069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0040024755060303,0.179164255457788,0,0,0,0,0.103948306864314,0,0,0,0,0,0,0,0,0,0,0.0142378831344311,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,-0.121370900115092,0,0.0694302369546029,0,0,0,0.0754076997282394,0,-0.0871918639233401,0.0233970697994192,0,0,0,0,0,0,0,0,0,0,0.14062296332545,0,0,0.0740962619508577,0,0,0,0,0,0,-1.38777878078145e-17,0,0,0,0.260684334959813,0.0811628392015279,0,0,0.124981658621152,-0.0174860259894578,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.0571040243325656,0,0,0,0,0.0517020166877264,0,0.0010992403341834,0,0,0,0.0577823519098957,0.0964434877374077,0,0,0,0,0,0.140921793244028,0,0,0,0,0,0,0,0,0,0,0.105583285166406,0,0,0,0,0.0536888095411431,0.0276004089240563,0,0,0,0.0795996331661543,0,0,0,0,0,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0.0324549126774505,0,-0.0480268860300863,0,0,0,0,-0.014899138998594,0,0,0,0,0,-0.0240744411703384,0,0,0,0,0,0,0,-0.012651488416424,0,0,0.0152601761082303,0,0.883945052526653,0,0,-0.0354054825442048,0,0,0,0,0,0,0,0,0.250280777897406,-0.0270116061998615,0,0,0,0,0.0128346552976608,0,0,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.163923020786787,0.0476661192412614,0,0,0,0,0,0,0,0,0,0.514193233892931,0,0,0,0.0858825175331881,0.135954901102279,0,0,0,0,0,0,0,0,0,0.134400260271206,0.143544770677446,0.21798655554126,0,0,0.0380742773856118,0,0,0,0,-0.0123986737496217,0,0
X600011.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.108357326186022,0,0,0,0,0,0,0,0.00153681987373365,0,0,0,0,0,0,0,0.0774177840650851,0,0,0.0250727714372277,0,0,0,0,0,0,0.0394218311005321,0,0.0280376781194735,0.259921086420272,0,0,0,0,0.0760757969768635,0,0.0383994539161443,0,0,0,0,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0,0,0.838798123397142,0,0,0,0,0,0,-0.0148411409813084,0,0.124966008706151,-0.114646769423471,0,0.0747057152995693,0,0,0,0,0,0,0,0,0.266548780047347,0,0,0,0,-0.302930664643905,0,0,0,0,0,0,0,0.258637181262393,0,0,0,0.0717584361143422,0,0,0,0,-0.0404508097923673,0.0718702192688993,-0.368398424141295,0,0,0,0,0
