,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X601600.SH,X600010.SH,X600309.SH,X600011.SH,X601898.SH,X600660.SH,X600688.SH,X600188.SH,X300072.SZ,X600795.SH,X002466.SZ,X601992.SH,X600362.SH,X601991.SH,X600547.SH,X002460.SZ,X600886.SH,X600111.SH,X000898.SZ,X600516.SH,X000709.SZ,X600157.SH,X600176.SH,X600352.SH,X600027.SH,X000786.SZ,X000792.SZ,X000553.SZ,X000408.SZ,X600489.SH,X600219.SH,X600808.SH,X000959.SZ,X002271.SZ,X601158.SH,X000883.SZ,X002092.SZ,X600339.SH,X000723.SZ,X601699.SH,X600299.SH,X002110.SZ,X002470.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600688.SH,0,0.101054138176227,0,0,4.33680868994202e-19,0,0,0,0,0,0.0202607850116868,0,0,0.0750223474218129,0,0.0787276730832457,0,-0.0612162129630567,0,0,0,0,0,0,0.0639828847713801,0,0,0.0163328052225986,0,0,-0.0263483688952347,0.0123716717162129,0.0976803521891189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0145895997849606,-0.000221130480351655,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0,0.219717104084535,0,0,0,0,0,0,-0.00908321655292299,0,0.0779496140854296,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0.135925978463087,0,0,0,0,0.0278608221293097,0,0,0.0559846517048915,0,0,0,0,0,0,0,0.317782771773665,0.128891909391173,0.0290707421937678,-0.137236987809038,0,0,0.0194338343126103,0,0,0,0,0,0,0
X300072.SZ,0,0,0.179037635357309,0,0.0738553041440993,-0.0795002188030511,0,0,0,0,-0.415816529374908,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0292886112293612,0,0,0.252173527151517,0,0,0.0368984995145811,-0.0728201052911858,0.0763316361330166,0,0,0,0,0,0.202914381947505,0,0,0,0,0,0,0,0,0,0,0,-0.0789814643170157,0.0814510265621794,-0.121786980741247,0,0,0,0,0
X600795.SH,0,0,0.0451548334719601,0.233960499637566,0,-0.236026191969901,0,-0.0349512854342273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0387613002115453,0,0,0,-0.111936454264947,0,-0.0844869324396836,-0.0016370842339882,0,-0.0550204702234304,0,0,0,0,0,0,0,0,0,0,0.00648851876936294,0,-0.181633369632554,0,0,0,-0.00588816230579351,0.0145216594329252,0,0,0,0,0,0
X002466.SZ,0,0,0,0,-0.100111446913838,0,0,-0.0160005697933072,0,0,0,0,0.149374916060534,0,0,0,0,0,0,0.0825158488340734,0.689543021081144,0,0,0,0,0,0,0.0184982894532232,0.155872859068211,0,0,0,0.083524380435297,0.0506331312294642,0,0.125799993431983,0,0,0,0,0,0,0,0,0,0.00139939925714491,-0.126334360132175,0,0,0,-0.0247196839698729,0.0335143567616352,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0.0227793299388022,0,0,0.0851989296066177,0.03108128634674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0202764461358725,0,0,4.33680868994202e-19,0.142584393432141,0,0,0,0.0789010832834305,0,0,0,0,0,0,0.0886232933153745,0,0,0.0109117586453428,0,0,0,0.0122139133167851,-0.0183877967855588,0,0,0,0,0,0
X600362.SH,0,0,0,0.25589925519173,0,0,0,0,-0.0710267421961735,0,0,0,0.0330251300331189,0,0,0,0,0,0,0,0.0114789471816542,0,0,0.145632232821549,0.00674021804601187,0,0,0,0,0,0.0227281106718889,0.0508381416615445,0,0.00830913129888812,0,0,0,0,0.0728054231461433,0,0,0,0,0,0,0.151534263219729,0,0,0.429162334020324,0,0,-0.00147834797422205,0,0,0,0,0,0
X601991.SH,0,0,-0.0292102655638359,0,0,0,0,0.083484656111728,0,0,0,0,0,0,0,0.0386851995032165,0,-0.0439033368911871,0,0,0,0,0,0,-0.0324581608662097,0,0,0,0,0,0,0,0.0323367594940316,0,0,0,0,0,0,0,0,0.00618115402763784,0,0,-0.0117118483875903,0,0,0,0,0,-0.00901132311825078,0.000580459645788562,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115084806475731,0.186050861698189,0,0,0,-0.16190948064076,0.0283335270109693,0,0,0,0,0,0,0,0,-0.0376220884882107,0.0692502326708473,0,0,0.813183627118166,0,-0.0553017809999776,0,0.0271590021132718,0,0,0,0,0,0,0,0,0,0,0,0.0342662783319252,-0.0308610807991966,0,0,0,0,0,0
X002460.SZ,0,0,-0.133221578181038,0,0,0,0,0,0,0,0,0,0,0,0,0.745945609764307,0,0.202927396719526,0,0,0,0,0.211724693175823,0,0,0,0,0,0,0,0.00222504427648785,0.0767484272254306,-0.0530425048895171,0.180684016614508,0,0,0,0,-0.0320100156459618,0,0,0,0,0,0,-0.125987423152121,0,0,0,0,-0.0124275919490536,0,0,0,0,0,0,0
X600886.SH,0,0,0,0,-0.0731018288617988,0,0,-0.0718009812232329,0,0,0,0,0,0,0,0.0755945027355242,0.00423650363709054,0,0,0.0404565353263283,0,0,0,0,-0.0400335366262646,0,0,0,0,0,-0.0194538120493141,-0.102435963765497,0.0181251341368967,0,0,0,0,0,0,0,0,0,0,0,0.00392367769202475,0,0,0,0,0,-0.00485184874470633,0.0142353985215234,0,0,0,0,0,0
