,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X600547.SH,X601991.SH,X600688.SH,X600660.SH,X601600.SH,X600886.SH,X600795.SH,X600188.SH,X600027.SH,X600362.SH,X601992.SH,X000898.SZ,X002466.SZ,X600176.SH,X600111.SH,X002460.SZ,X600516.SH,X000709.SZ,X600299.SH,X600352.SH,X600489.SH,X000629.SZ,X600808.SH,X600219.SH,X600801.SH,X601158.SH,X000786.SZ,X000825.SZ,X300072.SZ,X000553.SZ,X600583.SH,X000883.SZ,X000408.SZ,X601699.SH,X600339.SH,X000792.SZ,X002110.SZ,X000539.SZ,X002271.SZ,X000301.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.0937786539867832,0.0273259768539752,0,0,0,-0.00842907821046281,0,0.257692003203703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0723894215299429,0,0,0,0,0,0.2499083687916,0,0,0,0,0.255571851641031,0,0,-0.0185212493563928,0.083859825428887,0,0,0,0,0,0
X600028.SH,0.509846020572656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0965020839484005,0,0,0,0,0,0,0,0,0,0,0,0,0.0550761819957866,0,0,0,0.340778557991742,0,0,0,-0.0164254550300599,0.0933365192550594,0,0,0,0,0,0
X601088.SH,0.233617825113864,0,0,0,0,-0.0368147066905128,0,0,0,0.0709123978243907,0,0,0,0,0,0,0.11422394019522,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092353944377844,0,0,0,0,0,0,0,0,0,0,0.00281097671639699,0,0,0,0.107831250110489,0,-0.0757163229492067,0,0,0,0,-0.0441387384375489,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.00654430161141624,0.0902993541766667,0.00317290150287945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168975749858575,0,0,0,0,0,0,0,0,0,0.125995050910031,0,0.527963838019107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129594794175801,-0.000549958858453536,0,0,0,0,0,0
X600019.SH,0,0.208770205625647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0452284584584865,0,0,0,0.551281771098714,0.0285503615680109,0,0,0,0,0.0181656252473838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0282469772283946,0,0,0.0102727532735027,0,0,1.73472347597681e-18,0,0,0,-0.00115749530661701,0.00449271296446312,0,0,0,0.00231658229734029,0,0
X600011.SH,0,0,0,0.0779255750635825,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689690587961998,0,0,0,0.0311128362136854,0,0,0.0186443424808992,0,0,0,0,-0.235129832441519,0,0,0,0,0,0.0468328126843891,0,0,0,0,0,0,0,0,0.075260133306982,0,0,0,0,0,0,-0.00312793669998212,0.0524622421052598,0,0,0,0,0,0
X600309.SH,-0.038965781207878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0613568781553472,0,0,0,0,0,0,0,0.0523282013828947,0,0,0,0,-0.614365134501808,-0.335335043341096,-0.252526761551534,0,0,0,0.457564949628805,0.244049102721375,0,0,0,0,0.216851592215253,0,0,-0.0824736487252611,0.322762143670822,0,0,0,0,-0.332020359747167,-0.0406396937707235,0.101664766229356,0,0.202802991074393,0,-0.374301109429258,0,0
X600010.SH,0.184569767580971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279614882717605,0,0,0,0,0,0,0,0,0,0,0.124672566650699,0,0.0325411272006188,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.0188532259630926,0,0,0,0,0,0
X601898.SH,0.331255890726395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00541768960965564,0,0,0,0,0,0.0725025295539937,0,0,0,0,0,0,0,0,0.152391786003944,0,0,0,0,0.0543180475697872,0,0.217086724138536,0,0,0.0058764299438106,0,0,-0.0244110936363963,0,0,0,0,-0.112101893401396,0,0
X600547.SH,0,0,8.67361737988404e-19,0,0,-0.00571508015790725,0.00565177064404999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0429159528562218,0,0,0.0634620573169322,0,0,0,0,0.49092238234405,0,0,0,3.46944695195361e-18,0,0,0.235692329125748,0,-4.33680868994202e-19,0,0,0,0,0,-0.0607319373807665,0.0332233828746676,0,0,0,0,0,0.0128495505017305,0,0,0,0,0,0,0
