,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X002460.SZ,X600585.SH,X600019.SH,X000792.SZ,X600111.SH,X002466.SZ,X600010.SH,X600188.SH,X000301.SZ,X601600.SH,X600011.SH,X601898.SH,X002271.SZ,X600660.SH,X000708.SZ,X600547.SH,X600362.SH,X600886.SH,X600176.SH,X600426.SH,X601991.SH,X300037.SZ,X002080.SZ,X600795.SH,X000825.SZ,X000786.SZ,X000408.SZ,X600219.SH,X600803.SH,X600295.SH,X600141.SH,X000959.SZ,X000983.SZ,X600027.SH,X002326.SZ,X000807.SZ,X002353.SZ,X600688.SH,X000723.SZ,X000932.SZ,X000027.SZ,X000898.SZ,X601699.SH,X600096.SH,X600157.SH,X600352.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0.109696682205206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0562753333773057,0,0,0,0,0.0371642891277249,0,0.137877178716666,0,0,0,0,0,0.00728857529468913,0.0379767705785365,0.107340031353844,0,0,-0.0196126932137455,0,0,0,0,0,0,0
X600028.SH,0.0784585625474237,0,0,0,0,0,0,0,0,-0.0101143778704135,0,0.0305612186665624,0.0273650063429886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14418849097454,0.0202542257554739,0,0,0,0,0,0.0810705673646504,0,0,0,0,0.0515585185192173,0.088326920136246,0,0,0,0,0,-0.00786727897833939,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0,0,0,0,0,0,0.0342756139979617,0,0,0,0.0777049522230256,0,0,0,0,0,0,0,0,0,-0.0888128975313641,0,0,0,0,-0.0533686823669174,0,0.0500936672832877,0.105871757708082,0,0,0.161258967897367,0,-0.0111448075428786,0.017400998524269,0,0.0290827534367938,0.0822629493672417,0.179396519824129,0,0,0,-0.0222955935875416,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,-0.00702542495805672,-0.0583853141903665,0,0,0,0,0,0,0,0,0,0,0,0.257628467298416,0,0.0930879885749648,0.00926234161484671,0,0,0,0,0,0,0,0,1.73472347597681e-18,-0.0300702853907739,0,0,0,0,0,0,0,0.0398534193621898,0,0,-0.00778430927158143,0,0,0,-0.0028746537539085,-0.00702730592475855,0,0,0,0,0,0
X002460.SZ,0,0,0,0,0,0,0.0354435929788405,0,0.13439928521639,0.67220295891437,0,0,-1.38777878078145e-17,0,-0.0450807825994688,0,0.0530829230175441,0,-0.0665577196053629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05194183754814,0.0252171517617382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0819414885734688,0,0,0,0,0,0
X600585.SH,0,0,0,0,-0.0962373779968155,0,0,0,0,0,0,0.0570190381164178,0,0,0,0,0.189777564627744,0,0,0,0,0.105412004861378,0,0,0,0,0,0,0,0.14536555982596,0,0,0,0,0,0,0.0803567726564328,0,0,0,0,0,0,0,0,0,0,0,0,0.331128231114279,0,0,0.0768571052301996,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0.00688488922407788,0,0,0,0,0,0,0,0,0,0,0,0,0.0116470183645316,0,0,0,0,0,0,-0.0395554255687798,0,0,-6.93889390390723e-18,0,0,0.039143317316257,0,0,0,0,0.0585348583424065,0,0,0,0,0,0,0,0,0.558920112521,0,0,0,0,0,-1.73472347597681e-18,0.00131175107884146,0,0,0,-0.0448382029099083,0,0
X000792.SZ,0,0,0,-0.0334644303880598,0.0502286261054551,0,0,0,0,0,0,0,0,0,0,-0.151473335148362,0,0,0,0,0,0,0,0,0,0,0,0,-0.0708840659560671,0,0.233157565783513,0,0,0.0844989959640557,0.0281505372233866,0,0.1542963142464,0,0,0,0,0,-0.280915094720828,0,0,0,0,0,-0.0315285543458042,0,0,8.67361737988404e-19,0.0846028077685316,0,0,0,-0.158597506255863,0,0
X600111.SH,0,0,0,0,0.188482848431063,0,0,0,0,0.0979654373390598,0.308710066274784,0.0139669081277121,0,0,0,0,0,0,-0.0757622898487203,0,0,0,0,0,0,0.129105384710649,0,0,0,0,0.417987304618343,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,-0.262155964887071,0,0,0.0533228618780773,0,0,0,0,0,0
X002466.SZ,0,0,0,0,0.350599959434267,0,0,0,0.240996476588388,0,0,0,0,0.148644696286352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196929481165864,0,0,0.0355775075733073,0,0,-0.0618811842403598,0,0.131207071997541,0,0,0,0,0,0,0,0,-0.00812774371554334,0,0,0,0,-0.015774852407863,0,0,0,0,0,0
