,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X600547.SH,X601600.SH,X601898.SH,X600660.SH,X000792.SZ,X002460.SZ,X002466.SZ,X600886.SH,X600111.SH,X600010.SH,X000301.SZ,X000708.SZ,X002271.SZ,X600426.SH,X600362.SH,X000877.SZ,X600795.SH,X600176.SH,X600027.SH,X600489.SH,X000983.SZ,X601699.SH,X000807.SZ,X600803.SH,X000786.SZ,X601991.SH,X600160.SH,X000630.SZ,X000932.SZ,X000933.SZ,X600219.SH,X000408.SZ,X000629.SZ,X002080.SZ,X300037.SZ,X600688.SH,X600612.SH,X000539.SZ,X600096.SH,X002409.SZ,X600157.SH,X000723.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,1.09147405686871,0,0,0,0,0,0,0,-0.0164265297402741,0,0,0,0,0,0,0,0,0,0,0,0.077131716756639,0,0,0,0,0,0.164987156684204,0,0,0,0,-0.0294273675523043,0,0.0400377296730976,0,0,0,0,0,0.0451903648788119,0,0,0,0,0,0,-0.0517285189469876,0,0.0299177384309665,0,0,0,0,0,0,0,0,0
X600028.SH,0.414683868333343,0,0,0.0508190717667229,0,0.000973071966270415,0,-0.0237146976897908,0,0,0.34875653556111,0,0,0,0,0,-0.00681620292185366,0,0,0,0,0,0,0,0,0,-0.0692296922446655,0,0,0,0,0.0201113218919346,0,0,0,0,0,0.110441572823688,0,0,0,0,0,0,0,0,-0.281026466317813,0,0,0,0,-0.00468763519122945,0.0410906435055779,0,0,0,0,0,0
X601088.SH,0,0.123137958747105,0,0,0.22842698569559,0,0,0,0,0,0,0,0,0,0,0,0.10508602301437,0,0,0,0.0485588702324722,0,0.0651362239555874,0,0,0,0,0,0,0,0,0,0,0,-0.0373578378949014,0.160826591211812,0,0,0,0,0,0,0,0,0,0,0,0.0129897421438873,0,0,0,0.0113899155405434,0,0,0,0,0,0,0
X600309.SH,-6.93889390390723e-18,0,0,0,0,0.0735364473615799,0,-0.0305498499652393,0,0,0,0.0831486159334724,0,0.164161092359753,0.0522083558906889,0,0,0,0,0,0.109604185515347,0,0,0,0,0.0081645361225917,0,0,0,0,0,0,0,0,0,0,0,0.0632851456983723,0,0,-0.025839188222026,0,0,0,0,0,0,0.0201906004875961,0,0,0,0,-0.00832795145783712,0,0,0,0,0,0
X600188.SH,0,0,0.729240188116819,0,0,0,0,0,-0.329889795584246,0.11221929674428,0,0,0,0,0,0,0,0,0,0,-0.0549674411721395,0,0,0,0,0,0,0,0.148561035272848,0.191161777894291,0.0457500422373191,0,0,0,0,0,-0.158270312702625,0,0,0,0,0,0,0,-0.0984242623034245,0.0561109693738227,0,-0.0294559731256303,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,-0.0204793773966614,0,0.0111040268980815,0,0,0,0,0,0,0,0,0,0.112030648186136,0.237111549458568,0.141621923944814,0,0.0567461146253663,0,0,0,0,0.049981124207408,0.0208840877289908,0,0.0376337788627434,0,0,-0.0278227408075165,0,0,0,0,0,0,0,-0.17011341515756,0,0,0,0,-0.0777911292256886,0,0,0,-0.0473850420646989,0.0945480290789532,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0.0100191608723483,0,0,0,0,0,0,0,0,0,0,-0.014269822666861,0,0,0.112633205094058,-1.73472347597681e-18,0,0,0,-0.0105136363955835,0,-0.087342226522635,0,0,0,0.130830393804332,0.0379087574057536,0.0265216959446865,0,0,0,0,0,0,0,0,0.360298050277592,0,0,-0.25647281798873,0,0,-0.0191495680682798,0,0,0,0,0.0134532220463003,0,0,0,0,0,0
X600011.SH,0,0,0,0,-0.155949584337438,-0.0221556739540386,0,0,0,0,0,0,0,0,0,0.0726892146944209,0,0,0,0,0,0,0,0,0,0,0.564291026533807,0,-0.152348013286659,0,-0.230300973767594,0,0,0,0,0,0,0,0,0,0,-0.059895560412309,0,0,0,0,0,0.00919353182263726,0,0,0,-0.00288591497183497,0.103702511988949,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.167719090570838,0,0,0,0,0,-0.0343808089934665,0,0,0.860797625972378,0,0,0,0.19194683350435,-0.0485626552334295,0,-0.103831162141523,0,0,0,0,0,0,0,0,0,0,0,0,0.0332739608704208,-0.134267259379634,-0.0304741841730662,0.0285454829344409,8.67361737988404e-19,0,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307232117309118,0,0,0,0.0956292191081342,0,0,0,0,0,0,0,0,0,0.353680541174126,-0.0112606074027735,0.0001055665728997,0,-0.117809816943319,0,0,0,0,0,0,0,0,0,-0.166862178472433,-0.0402339489030122,0,-8.67361737988404e-19,0,0.0553000134270905,0,0,-0.0260657701858517,0,0,0,0,0,0
