,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X601898.SH,X600019.SH,X600188.SH,X600547.SH,X600886.SH,X600585.SH,X600011.SH,X601600.SH,X600660.SH,X600795.SH,X000792.SZ,X600489.SH,X600362.SH,X600010.SH,X600111.SH,X000708.SZ,X600027.SH,X600803.SH,X002460.SZ,X601991.SH,X600160.SH,X000301.SZ,X600426.SH,X002466.SZ,X000983.SZ,X601699.SH,X600176.SH,X600219.SH,X000786.SZ,X000807.SZ,X002128.SZ,X000630.SZ,X600985.SH,X601168.SH,X000877.SZ,X000933.SZ,X000408.SZ,X600096.SH,X000883.SZ,X002353.SZ,X000932.SZ,X000027.SZ,X600378.SH,X002271.SZ,X600995.SH,X600299.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600011.SH,0,0.0419954637083217,0,0,0,0,0,0,0,0,0,0,0,0.146284985088505,0,0,0,0,0,0,0.181737111935624,0,0,0.372789794755381,-0.00495206843460281,0,0,0,0,-0.102804000009197,0,0,-0.0579299254741376,0,0,0,0,0,0,0.0785650428043269,0,0,0.0612613087139868,0,0,0,-0.0259559656561113,0,0.00540088080095918,0,0,0.0600429673316122,0,0,0,0,-0.0851995435701443,0,0
X601600.SH,0.220322474717164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0352909749622305,0,0,0,0,0,0,0,0.357408277437227,0,0,0,0,0,0,0,-0.118308990017414,0.265510507684807,0,0,0,0,0,0.282608614752177,0,0,0.168431301953372,0.144984733183551,0,0,0,-0.00905016802357072,0,0,0,0,0,0,0,0,0.0214438878353711,0,0
X600660.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0644461080753927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214230422399668,0,0.171871788412729,0,0,0,8.67361737988404e-19,-0.187421192650214,0,0,0.0630096757045106,0,0,0,0,0,0,0,0,0,0,0,-0.0640846900033908,-0.203453808631238,0,0,-0.0422144788982385,0,0
X600795.SH,0,0,0,0,0,0,0,0,0.066451700834768,0,0.159852218310696,0,0,0,0,0,0,0,0,0,0.235674005536792,0,0,0.0172160210559818,0,-0.0801049173207468,0,-0.0584661941872665,0,0,0,0,-0.116895345696785,0,0,0,0,0,0,0.000956586360368296,0,-0.0544546870297217,0.256644352706277,0,0,0,0,0,0,0,0,0,0.00482019695195009,0,0,0,-0.010525649044555,0,0
X000792.SZ,0,0,0,0,0,0,0,0,0,0.0862676956257963,0,0,0,0,0,0.0837844432493779,0,0,0,0,0,0,0.248296283733654,0,0.0411976103437989,0.165318898379772,0,0,0,0,0,0,0,0,0.035035477576586,0,0.0496953749277627,0,0,0,0,0,0,0,0,0,-0.0400877022743452,0,0,0,-0.00269030367889483,0,-0.0284274471752139,0,0,0,0,0,0
X600489.SH,0,0,0,0,0,0,-0.0366449272700699,0.706249255198824,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.183308778860774,0,0,0,0,0,0,-0.184461753838411,0,0,0,0.0385641107607414,0,0,0,0,0,0,0.332750457445557,0,0,0,0,0,0,0.00174435060307019,-0.137964130676793,-0.199258371679313,0,-0.0338417403401769,0,0,0,0,-0.0246548254267298,0,0,0,0,-0.0507860757494669,0,0
X600362.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106105738733588,0,0.0334895617809792,0,0,0,0,0,0,0,0,0,0,0,0.0753299622548954,0.475732584332422,0,0.208648815892097,0,0.0139642427715578,0,0,0,0,0,0,0.0234746301742516,0,0,0,0,0,0,-0.00392181955533293,0,0,0.0195826675174574,0,0
X600010.SH,0,0,-0.143616115526852,0,0,0,0,0,0,0,0,0.15461215190477,0,0,0,0,0,0,0,0.00987587909323641,0,-0.166770506757346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.170459506292254,0,0,0,0.0253612574474181,0,0.107419189793999,0,0,0.0286790933023677,0,0,0,-0.0272453923347433,0,0,0,0,0.0252420226452157,0,0
X600111.SH,0,0,0,-0.156433273286784,0,0,0,0.0906782638253646,0,0,0,0,0,0,0,0,0.0584876127144563,0.145762876052134,0,0,0,0,0.274364382931083,0,0,0,0,0,0,0,0.108994598457976,0,-0.00838632397106629,0,0,0,0,0,0,0,0.129810220782653,0,0,0,0,0,0.111511648701604,0,0.164609719002823,0,0,-1.73472347597681e-18,0,-0.0294227124732705,0,0,0,0,0
X000708.SZ,0,0,0,0,0,0,0.0326414048094173,0.00545884002917453,0,0,0,0,0,0,0,0,0,0.20409711880435,0,0,0,0,0,0,0.0566214689954301,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0206316970938886,0.0642873805969042,0,0.185576456244727,0,0.0279561813710234,0.049753279673574,0,0.111511759333434,0,0,0,0,-0.00187778068459487,0,0,0,0,0.0373242789691767,0,0
X600027.SH,0,0,0,0,0.161138301206272,0.11157831027898,0,0,0,0,0.937806966733901,0,0.00429452951791598,0,0,0,0,0,0,0,0,0,0,0.00865977730640437,0,0,0,0,0,0.0130614909530661,0,0,0,0,0,0,0,0,0,0,-0.0302779681498123,0,0,0,0,0,0,0,0,0,0,0.0231650593085123,0,0,0,0,0.0203896248254901,0,0
X600803.SH,0,0,0.106128851760777,0.100634379554521,0,0,0,0,0,0.0555628472845477,0.00256477042631073,0.0342712186024377,0,0,0.0265205924080875,0,0,0,0,0,0.18038605029397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0873943067436931,0,0,0,0,0,0,-0.0289884232486161,0,0,0,0,0,0.0141391814661589,0,0,0,-0.0378255894268182,0,0
X002460.SZ,0,0,0,0,0,0,0.02558012932875,0,0,0,0,0,0.0522122822002166,0,0.0681769164638317,0,0,0,0,0,0,0,0,0,0.000794239436934621,0,0,0.837426757675153,0,0,0,0,0,0,0,0,0,0,0,0.0207774458171246,0,0.007844297843981,0,0.0459684127192152,0,0,0,0.0721807320251128,0,0,0,-0.0471318841967202,0,0,0,0,0.0225413971622631,0,0
X601991.SH,0,0,0,0,0,0,0,0.0368115651563771,0,0,0.0990550075582685,0.078322789066148,0,0.00745892580579768,0,0,0,0,0,0,-6.93889390390723e-18,0,0.0224829475614775,0,0,0,0,0,0,0,0,0,0,0.00752174037704952,0,0,0,0,0,0,0,0,0.2450226655387,0,-0.0875703617813632,0,0,-0.0761630732665549,0.25811632172982,0,0,0,0.00842530764748623,-0.0423316965857155,0,0,0.015564664945943,0,0
X600160.SH,0,-0.281936930726432,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.451901073419802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0471182357082526,0,0,0,0,0.576678521197033,0,0,0,0.0475432169465054,0,0,0.102406590510903,0,0,0,0,-0.144434967654673,0.224781823895626,0,0,0,-0.111875369379179,0,0
X000301.SZ,0,0,0,0,0,0,0,0,-0.0916165077447698,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0820664610341266,0,0,0,0,0.051142507945776,0,0,0.0194155509921047,0,0,0.0473612182073514,0,0,0.0222913405413857,0,0,0,0,0,0,0.0484798753376853,0.135502050536911,0,0,0.0519625754604606,0,0,0,-0.0391850996676423,0,0,0,0,0,0,0
X600426.SH,0,0,0,0.182546803227087,0,0,0,0,0,0,0,0,0,0,0.15492487450396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0376659158691047,0,0,0.00924387569501852,0,0,0,0,0,0,0.152661522006108,0.230223669419615,0,0,0,0,0,0,0,0,0,0,-0.0379476482013216,0,0,0,-4.33680868994202e-19,0,0
X002466.SZ,0,0,0,0,0,0,0,0,0,0,0,0,-0.016393192922442,-0.0309677801968372,0.022350019848763,0,0,0,0,0,0,0,0.716927623580121,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0479804966055263,0,0,0,-0.0290452151388703,0,0,0,0,0,0.0876722447823107,0.0316608983698865,0,0,0,-0.0424902933064295,0,0,0,0,0,0,0
X000983.SZ,0,0,0,0,0,0,0.0743141790115845,0,0,0,0,0,0,0,0,0.0402295906967121,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.156189926768502,0,0,0,0,0.0658598797696419,0,0.234123137362055,2.16840434497101e-19,0,0.107357256448711,0.0183987750625375,0,0,0,0,0,-0.0304178864260793,0,0,0,0,-0.0483811025350308,0,0,0,0,-0.00104868120728965,0,0
X601699.SH,0,0,0,0,0,0,0.0332580370784804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0627420129957827,0,0,0,0,0,0.306206177713376,0,0,0,0,0,0,0,0.198136293744595,0,0,0.0844496529152772,0,0,0,0,0,0,0,0,-0.0259415377243828,0,0,0,0,0,0,0,0,0,0
X600176.SH,0,0,0,0,0,0,0,0,0,0,0,-0.0486691839064452,0,0,0,0,0,0,0,0,0,0,0.203938507301658,-0.263102693007923,0.0966407188517721,0,0.348293692367343,0,0,0,0,0,0,0,0,0,0.0624158095827561,-0.0625952502407346,0,0,0,0.0988505048348739,0,0,0,0,-0.157621328109088,0.141356412347645,0,0,-0.204422484317159,0,0,0,0,0,0.0463922241881593,0,0
X600219.SH,0,0,0,0,0,0,0,0,0,0,0,0.0378333306262815,0,0,0.0585895708688384,0.0467765129935249,0,0,0,0,0,0.110911106999574,0.0559948462896473,0,0,0.0235540842098545,0,0,0,0,0,0,0,0.0508681796026264,0,0,0,0.400082075511505,0,0,0,0,0,0.0156545485143592,0.0438138824381586,0,-0.0337952192338629,0.101281681594721,0,0,0,0,0,0,0,0,-0.0165785286441004,0,0
