,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600188.SH,X600019.SH,X600585.SH,X600011.SH,X601898.SH,X600547.SH,X601600.SH,X600660.SH,X000792.SZ,X002460.SZ,X002466.SZ,X600886.SH,X600010.SH,X600111.SH,X000301.SZ,X000708.SZ,X600426.SH,X600362.SH,X002271.SZ,X000877.SZ,X600795.SH,X601699.SH,X000983.SZ,X600176.SH,X600489.SH,X600027.SH,X600803.SH,X000807.SZ,X000786.SZ,X601991.SH,X000932.SZ,X000630.SZ,X600160.SH,X000933.SZ,X600219.SH,X000408.SZ,X000629.SZ,X002080.SZ,X600612.SH,X600688.SH,X600985.SH,X002353.SZ,X000539.SZ,X300037.SZ,X600096.SH,X600157.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.979440900277726,0,0,0,0,0,0,0,0,-0.0184630365927152,0,0,0,0,0,0,0,0,0,0.0393089533616173,0,0,0,0,3.46944695195361e-18,0.0404287228573027,0,0.183447343541134,0,0,0,0,0,0,0,0,0,0,0,0.0217477150979037,0,0,0,0,0,0,-0.0110666605301334,0,0.13100516665566,0,0,-0.00330429502555454,0,0,0,0,0,0
X600028.SH,0.425267705206417,0,0,0,0,0,0,0,0.355069540315689,0,0,0,0,0,0,0,-0.0256826390896222,0,0,0,0,0,0,0,0,0,0,0,0,-0.0714931294465471,0.063273913193749,0,0,0,0,0,0,0.106189399528868,0,0,0,0,0,0,0,-0.0273886561978039,-0.0137389805999744,0,-0.233629441958093,0,-0.0152699936312195,0,0.034842801032568,0,0,0,0,0,0
X601088.SH,0,0.105584094978797,0,0,0.233827649939373,0,0,0,0,0,0,0,0,0,0,0,0,0.104851379127907,0,0,0,0.0447483500048909,0.0304751447751851,0,0,0,0,0.0324212983585773,0,0,0,0,0,0,0,0.131320896328453,-0.0397075734976661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0.084773658864157,0,-0.010515878900982,0,0,0,0.0787538726937605,0.0300207790853502,0.20344993295365,0,0,0,0,0.0070330742996423,0,0,0,0.11020875709628,0,0,0,0.0244893882419044,0,0,0,0,0,0,0,0,0,0.0177858867316946,0.0405247689170438,0,0,-0.0351151614618547,0,0,0,0,0,0,0,0,0,0,0,-0.00428612559168876,0,0,0,0,0,0
X600188.SH,0,0,0.739878510630662,0,0,0,0,0,0,-0.38013068471167,0.125621047481382,0,0,0,0,0,0,0,0,0,0,0,-0.0680987765649337,0,0,0.194660910530255,0.0918902809543092,0,0,0,0,0,0,0,-0.054271643650268,0,0,0,0,0,0,0,-0.0566787287938008,0,0,0,0.018002828955302,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0.0161804720404839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.255524186055809,0,0,0,0.13672454258696,0,0,0,0,0,0,0.110573915048428,0,0,0,0.281030050778575,0,-7.92923916837262e-05,-0.0190505668737249,0,0,0,0,-0.0121844616338587,0,0,0,0,-0.211957681440933,0,0,-0.0202596202217408,-0.00930419033580829,0.0356417246840918,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0,0,0,0,0.120171369742281,0,0,0,-0.240825372070845,0,0,0,0,0,0,0,0.167242036395333,0,0,0,0,0,0,-0.207520481386369,0,0.0421759472767406,0.0305261475895635,0,0,0,-0.0176520331933952,0.178821986676849,0,0,0,0.0266529309724864,-0.0199742306893732,0,0,0.17690138640509,0,0,0,0,0,0,0.0156874636002998,0,0,0,0,0,0
X600011.SH,0,0,-0.305759813748085,0,0,-0.0774974952757707,0,0,0,0,0,0,0,0,0,0.294072613134848,0,0,0,0,0,0,-0.190054708216965,0,0,0,0,0,0,0.366899071278222,0,0,-0.070756002188478,0,0,0,0.017973894454157,0,0,0,0,0,0,0,0,0,0.165147213473631,0.0317436247230011,0,0,-0.0738278695069429,0,0.0363324425509111,0,0,0,0,0,0
X601898.SH,0.0786594722796088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0124656072676749,0,0,0,0,0,0.0323502685500739,0,0.215758758511546,0.129958141036741,0,0,0.0163530516553814,0.148585480396577,0,0,0,0,0.115419007355424,-0.102634555183359,0,0.087627742574052,0,0.0577371794049969,0.0281173497207202,0,0,0.0217826855696045,0,0,-0.151809329501364,0,0,0,0,0,0,0,0,0,0,0
X600547.SH,0,0,0,0,0,0,-0.190077129994394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0366279902162731,0,0,0,0.391795799231128,0.0042379211837548,0.0906587918257789,0,0,0,0,0,0,0,0,-0.112688299442931,0,0,0.0856133578898756,0,0,0.147121370467997,0,0.0175157498796223,0,0,0.0379132955483767,-0.0248582838385428,0.00376333953520346,0,0,0,0,0,0
