,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X601898.SH,X601991.SH,X600795.SH,X601600.SH,X600886.SH,X600010.SH,X600188.SH,X600362.SH,X600111.SH,X600027.SH,X601992.SH,X600309.SH,X600688.SH,X600583.SH,X000898.SZ,X601158.SH,X000709.SZ,X000792.SZ,X000883.SZ,X000539.SZ,X600489.SH,X600808.SH,X000629.SZ,X600352.SH,X000825.SZ,X000630.SZ,X000027.SZ,X000831.SZ,X002353.SZ,X600578.SH,X600547.SH,X600549.SH,X601699.SH,X600863.SH,X600307.SH,X600008.SH,X000983.SZ,X600660.SH,X600098.SH,X600315.SH,X000937.SZ,X601168.SH,X000959.SZ,X600348.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.593633120571506,0.0376696784814859,0,0,0,0,0,0,0,0,0,0.0303240441107297,0,0,0,0.0919309768038382,0,0,0,0,0,0,0,0,0,0,0,0,-0.0912145828945455,0,0.0232790105245939,0,0,0,0,0,0,0,0,-0.00479037727586558,0,0.0225323655232396,0,0,0,0.0615522116422421,0,0,0,0,-0.0366892000176841,-0.00142372689433495,0.0105141918353088,0,0,0,0,0
X600028.SH,0.520271871977035,0,0,0,0,0,0,-0.00296897799371898,0,0,0,0,0,0,0,0,0,0,0.304818763494359,0,0,0,0,0,0,0,0,0,0,0,-0.0182950814850211,0.0811266891216573,6.93889390390723e-18,0,0,0,0,0,0,-0.0265258878399556,0,0.0281531121731108,0,0,0,0,0,0,0,0,0,-0.0354404913585062,0.00271258717731865,0,0,0,0,0,0
X601088.SH,0,0.0617259460479568,0,0,0,0,0,0,0,0,0,0,0.27220490613657,0.0519365299611348,0,0,0.142076459588532,0,0,0,0,0,0,0,0,0,0,0.0755677110505343,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,-0.0438225418792622,-0.0160046732504224,0,0,0,0,0,0
X600011.SH,0,0,0.0711629690636134,0,0,0.111305417853073,0,0.130553944897408,0,0,0.126565705943696,0,0.130493280282077,0,0,0.138509851229396,0,0,0,0,0,0,0,0,-0.197372585104208,0,0,0,0,0,0,0,0.0938620055733856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0680744140043302,0,0,0,0.00439525276549146,0,0,0,0,0,0
X600585.SH,-0.0184473615890646,0,0,0,0,0,0,0,0,0,0,0.02461155202147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118120179128747,0,0,0,0,0,0,0,0.0280033681451784,0,0,-0.0304169554409699,0.0718407786340906,0,-0.0595441730063215,0.00280312343405718,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0.0709940796653182,0,0.0544043927115882,0,0,0.126971308437832,0,0,0,0,0.352652281958098,0,0.158378985152825,0,0,0,0,0,0,0,0,0,0.0903607901141019,0,0,0,0,0,0,0,0,0,0,0.000597439736664286,-0.0472980665489451,0,0,0,0.0133287314873977,0,0,-0.00709914144979842,-0.00381719550566183,-0.055413334100289,0,0,0,0,0
X601898.SH,0,0,0.0165884431411107,0,0,0,0,0.0536652106015914,0,0.220539808700204,0,0,0.0335154608996045,0,0,0.0427584447136315,0.0315095443405496,0,0,0,0,0,0,0,0,0,0,0.0580262791376305,0,0,0,0,-0.012915636399127,0.0866894387755179,0,0,0,0,0.0164615504001264,0,0,0,0.342501349336303,0,0,0,0,0,0,0,0,-0.0172006399352613,-0.0271585667979656,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0406980990808308,0,0,0,0.00734176989677888,0,0,0,0,0,0,0,0,0,0,0,0.121147380430366,0,0.0165412291371893,0,0,0,0,0.162848435381486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0226164080990913,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0,0,0,0,0.189591724600453,0,0,0,0,0.181339278916436,0,0.00964994061967384,0,0,0,0,0.0474001553238914,0,-0.0115211416669815,0,0,0,0,0,0,0,0,0,0.122998059739444,0,0,0,0,0.00939876276809537,0,0,0,0.0098297305784026,0,0,0,0,0,0,0,0,-0.0108129790496662,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.0525394949386042,0.211433602768429,0,0,0,0.0572122374891406,0.0451110160709672,0.097239086915088,0,0,0,0,0,0,0.148535728160376,0,0,0,0,0,0,0.0345488293624746,0,0,0.00953704099394312,0.00232800939752792,0,0,0,0.0183183208852483,0,0,0,0,0,0,0.00606359536592059,0,0,0,0,0.168026462535061,0,0,0,-2.71050543121376e-20,-0.00542296053118415,0,0,0,0,0,0
