,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600309.SH,X600019.SH,X600547.SH,X600011.SH,X000708.SZ,X601898.SH,X600010.SH,X600886.SH,X601600.SH,X600660.SH,X600362.SH,X600801.SH,X600188.SH,X600352.SH,X601991.SH,X600795.SH,X600688.SH,X002460.SZ,X000786.SZ,X000723.SZ,X600111.SH,X600027.SH,X601992.SH,X600176.SH,X002271.SZ,X002466.SZ,X002353.SZ,X600516.SH,X000898.SZ,X600426.SH,X600583.SH,X600299.SH,X600489.SH,X000883.SZ,X000709.SZ,X601158.SH,X600219.SH,X000629.SZ,X000027.SZ,X600612.SH,X000553.SZ,X000630.SZ,X000825.SZ,X600808.SH,X600985.SH,X000792.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0.009919894126783,0.16141284367011,0,0,0,0,0,0,0,0.205915063452481,0,0,0,0,0,0.00350009530675238,0,0,0,0,0.069049057828058,-0.00582836068136754,0,0.0384633174638632,0,0,0,0,0.0318270080725709,0,0,0,0,0,0,0,0,0,0,0,0,-0.0278007950601165,0,0,0.0143331022442072,0,0,0,-0.023269920297959,0,0
X600028.SH,0,0,0,0,0,0,0,0,0,0.129301358226992,0,-0.00240549528142985,0,0,0,0,0,0,0,0,0,0.0220111748736102,0,0,0,0,0,0,0.0959932047208787,0,0.0472470445040586,0,0,0.0361528028105894,0,0,0,0,0,0,0,0,0,-0.00190617053408892,0,0,0,0.0704440902963028,0,0,0,0.0125061038266553,0.0320928118598527,0,0,0,0.00571146061620381,0,0
X601088.SH,0,0,0,0,0,0.547736650921571,-0.0311488167816311,0,0.00243308107788757,0.0787424459397231,0,0.0675594875084757,0,0,-0.0205585232291007,0.0730880366953707,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0277243073190948,-0.0985329680727808,0,0,0,0,5.42101086242752e-20,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0.0219369206756029,0,0,-0.0174649825753612,-0.00781930127584411,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.188632664939938,0,-0.014707020192284,0,0,-0.0301426839534953,0,0.0120658264066179,0,0,0,0.380096384005284,0,0,0,0,0,0,0.0690726658601863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0355918847201149,0,0,0,0,0,0
X600309.SH,0,0,0,0.0998535831048936,0,0,0.0102622026267385,0,-0.108706092074571,0,-0.0187936292340994,0,0,0,0,0.162086038627404,0,0,0,0,0,0,0,0,0,0,0,0,0.123632751913325,8.67361737988404e-19,0,0,0,0,0,0.0472812917515973,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0783627662022886,0.0165578603223205,-0.0311851211224103,0,0,0,0,-0.0115674725165149,0,0
X600019.SH,0,0,0.266225643977459,0,0,0,0,0,0,0,0.0251846780279061,0,0,-0.0212115169716876,0,0,0,0,0,0,0,0,0.00366635547875508,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.298098186528779,0,0,0,0,0,0,0,0,0,0,0,0,0.0104929488228414,0.00020112682777945,0,0,0,0,0,0
X600547.SH,0,0,0,-0.0402733665848718,0,0,0,0,-0.0125756833962058,0,0,0,0,0,0,0,0,0,0,0,0,0.0286733052095906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15067576014453,0,0,0,0,-0.00963806742319293,-0.0456382132631689,0,-0.0266406034808671,0,0,0,0,0.232862028993218,0,-0.0416443935928454,0.0282896680966805,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,-0.0842490650075066,0,-0.184022986291237,0,0,0,0,0,0,0.11125213238837,0,0,0,0,0,0.0161065751328734,0.0288396015310794,0,-0.0912089384389561,0.155341110911882,0,0.0306474366701208,0.178753209113574,0,0,0,0,0.0538480611651515,0.0509228792355307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113258630142931,-0.0378486120285802,0,0.00418885011199758,0,0,0,-0.0326999064511518,0,0
X000708.SZ,0,0,0,0.0367545883779338,0,0,0,0,0,0,0.550283534072083,0,0,0,0,0,0,0.358137634563838,0,0,0,-0.150953564715711,0,0,0,0,0,0,0,0,0.176400893422853,0,0,0,0,0.0521869677944603,0.268448642255634,0,0,0,0,0,0,0,0,0,0,0,0.179856324581285,0,0,-0.117477381255511,-0.0674275790854257,0,0,0,0,0,0
X601898.SH,0.542879281310752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.399859253262315,0,0,0,0,0,0,0,-0.105653079981741,0,0,-0.0134094667367738,0,0.105748815654801,0,0,0,-0.17111774452356,0,0,0,0,0,0,0,0,0,0.00082534240201077,0,0,0,0,0,0,0,-0.0396994892975396,0.0662635317845683,0,0,0,0.0234671824556097,0,0
