,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600019.SH,X600011.SH,X600309.SH,X600010.SH,X601898.SH,X600688.SH,X600660.SH,X601991.SH,X600547.SH,X601600.SH,X600188.SH,X600886.SH,X600795.SH,X600362.SH,X000898.SZ,X600027.SH,X601992.SH,X000629.SZ,X600111.SH,X600176.SH,X002466.SZ,X600516.SH,X000709.SZ,X600808.SH,X600299.SH,X002460.SZ,X600352.SH,X600801.SH,X300072.SZ,X002110.SZ,X600339.SH,X000825.SZ,X600489.SH,X600583.SH,X600426.SH,X601158.SH,X000786.SZ,X600219.SH,X000553.SZ,X601699.SH,X000883.SZ,X000932.SZ,X000408.SZ,X000301.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.159188923155968,0,0,0,0,0,0.0359364250181314,0.199744623003299,0,0,0.112147045010891,0,0,0,0,0,0,0,0,0,-0.00238936197389212,0,0,0,0,0,0,0,-0.0338333749205261,0,0,-0.0212703326354527,0,0.151532121543069,0,0,0,0,0,-0.0497600063932397,0,0,0,0,0,0,0.331111087070555,0,0.00649687874598911,0.0348576689086789,0,0,0,0,0,0
X600028.SH,0.0727013389441431,0,0,0.18030163265949,0.116106379075908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0980938124620363,0,0,0,0,0,0.00829293112851184,0,0.0346459405437644,0,0,0,0,0,0.0826466147366339,0,0.107647477488098,0,0,0,0,0,-0.0882846216156236,0.0031529092034282,0.00815303899803419,0,0,0,0,0,0
X601088.SH,0.179105160278368,0,0,0,0,0,0,0,0.150693537882071,0,0,0,0.0119513259658734,0,0.151418125070191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0980550648244277,0,0,0,0,0,0,0,0,0,0.11604330887723,0,0,0,0,0,-0.00997199293537981,0,0,0,0,0,0,0
X600585.SH,0,0,0,0,0.0423513767410068,0.0452052680236949,0.0274961707542973,0,0,0,0,0,0,0,0,0,0,0,0.16318593289142,0,0,0,0,0,0,0,0,0,0,0,0,0.448358920658836,0,0,0,0,0,0.141673292196229,0.0817544923250111,0,0,0,0,0,0,0,0,0,0,0.00523220299510827,0,0,0,0,0,0,0
X600019.SH,0,0.0420067266202742,0,0.0668951925177517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.577706737596611,0,0,0,0,0.046877082398546,0,0,0,0,0,0,0,0.123180290715199,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132591732691984,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0.0713177624869254,0,0,0,0,0,0,0,0,0.0303713404971207,0,0,0,0.768475113605885,0,-0.0258769729841737,0,0,0.0306359294422103,0,0,0,0,0,0.0646031005854614,0,0,0,0,0,-0.102513001481588,0,0,0,0,0,0,0,0,0,0,0,0,0.0107582489909831,0.0275763604674462,0,-0.00380954056603996,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264961127250648,-0.316658042734989,0,0,0,0,0,-0.218531383798292,0,0,0,0,0,0,0,0.0102294535632782,0,0,0.42148984557268,0,0,0,0,0,0,0,0,0,0,0.0332853052303961,0.0527018821789806,0,0.171964534258968,0,0,-0.823221527152852,0
X600010.SH,0.125714298449775,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127140938815006,0,0,0,0,0,0.116054758682621,0.0298660138329216,0,0,0.0474346391485629,0.168619088744271,0,0,0,0,0,0,-0.0845399288638379,0,0,0.0288929750557511,0,0.0300288303773325,0,0,0,0,0,0,0,0.00461032735921484,0,0,0,0,-0.0345295146010247,0,0,0,0,0,0
X601898.SH,0.118878356043278,0,0.206648514825947,0,0,0,0,0,0,0,0,0,0,0.172362165811645,0.164256991220461,0,0,0,0,0,0,0,0,0,0,0,0,0.00188752416445431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15755338779739,0,0,0,0,0.0980967146119904,0,4.33680868994202e-19,0,0,0,0,0,0,0
X600688.SH,0.149614005282661,0.0310882894748149,0,0,0,0,0,0,0.0747593562958654,0,0,0,0,0.0500392973664214,0,0,0,0,0,0,0,0,0,0,0.0349430770168921,0,0,0.101751586035182,0,0.016543009193588,0,0,0.0179217654080189,0,0.0251348025013881,0,0,0,-4.33680868994202e-19,0,0,0,0.104615009161172,0,0,0,0,0,0,-0.00138046119763715,0,0,0,0,0,0,0
X600660.SH,0,0,0,0,0,0.0227342475741752,0,0,0,0,0,0,0.150631409295941,0,0,0,0,0,0,0,0,0,0,0,0.191307659950292,0.0605549269467938,0,0,0.0865664956351272,0.00450504753164189,0,0,0,-0.026753298971016,0,0,0,0,0.273481770834382,0,-0.072156759520284,0,0,0,0,0,0,0,0.0322194837349691,-0.0166066269623822,-0.0125794585573056,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0.0113913994345408,0,0.057649096256848,0,0,0,0,0.10240898811797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009458990866772,0,0,0.0824484735520449,0,0.0652621754831614,0,-0.015604084364595,-0.00539798166589809,0,0,0,0,0,0
