,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600011.SH,X600585.SH,X600010.SH,X600688.SH,X601898.SH,X600795.SH,X601992.SH,X601991.SH,X601600.SH,X600309.SH,X600660.SH,X300072.SZ,X600886.SH,X600547.SH,X600362.SH,X600188.SH,X600027.SH,X000709.SZ,X600157.SH,X002466.SZ,X600339.SH,X600111.SH,X000898.SZ,X601158.SH,X000959.SZ,X600489.SH,X600299.SH,X000883.SZ,X600008.SH,X600352.SH,X002460.SZ,X600219.SH,X002271.SZ,X600176.SH,X600578.SH,X000723.SZ,X000408.SZ,X600021.SH,X000630.SZ,X600583.SH,X000539.SZ,X000792.SZ,X000027.SZ,X600808.SH,X600160.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.332011507277046,0.0381095499593308,0,0,0,0,0,0,0,0.0544983929358606,0,0.112663829803685,0,0,0.0154248663857966,0,0,0,0,0,0,0,0,-0.0032453448928445,0,0,0,0,0,0,0,0,0,-0.0234663150183983,0,0,0,0,0,0,0.0585164299674595,0,0,0,0,0,0,0,0,-0.0101627127440457,0.000813340931584084,0,0,0,0,0,0
X600028.SH,0,0,0.0642809402460442,0,1.74911983642751e-05,0.0604745947165186,0,0,0,0,0,0,0,0,0,0.0366609391659786,0.0306585672107793,0,0.140404898698513,0.0431185000632557,0,0,0,0.02217995658618,-0.086355001253823,0,0,0,0,0,0,0,0,0,-0.0777761190572866,0,0,0,0,0,0,0,0,0.0234397846470753,0,0,0,0,-0.0345347681942828,0,0,-0.0123049844138863,0,0,0,0,0,0
X601088.SH,0,0,0,0.0265738890297654,0,0,0,0,0,0,-0.0220161925364452,-0.0347203497315704,0,0,0,0,0,0,0,0.0231736803303236,0,0,0,0,-0.00595011463807014,0,0.185978142345675,0,0,-0.0616678216234081,0,0,0,0,0,0,0,0,0,0,0,0.0945471564695528,0,0,0,0,0,0,0,0,0,-0.00720789117160301,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.11053825367906,0.126402090722602,0.143510202865511,0,0,0,0,0,-0.00133300061468733,0,0,0.0993161173804058,0,0.426950512343429,0,-0.0142086595131618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.038268249932261,-0.0102252467402387,0,0,0,0,0,0
X600011.SH,0,0,0.17616673675152,0,0,0,0,0,0,0,0,0.0781057850180841,0,0,0,0,0,0.0169856436908272,0,0,0.386478173490815,0.0355424013973363,0,0,0.0388797169596782,0,0,0,0,0,0,0,0.0800477117446213,0,0,0,-0.100263428656639,0,0.136952382971057,0,-0.0371887608960515,0,0,0,0,0,0,0,0,0,0.0720175097314618,-0.0492315654935506,0,0,0,0,0,0
X600585.SH,0,0,0,0,-0.105938697825904,0,0,0,0,0,0,-0.028181872803061,0,-0.0515226636694834,0,0,0,0,0,0,0,-0.00935737356500889,0,0.124444964350894,-0.0922517427876865,0,0.0398193672817358,0,0,-0.0120255706787836,0,0,-0.0302092145652901,0,0,0,0,0,0,0,0.119147732991531,0,0,0,0,0,0,0,0,0,-0.00548858136356518,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,-0.000274350695029431,0.0247522767904159,0,0,0.0124427832353948,0,0,0,0,0,0.0658640998398581,0,0,6.93889390390723e-18,0,0.243544495620957,0,0,0,0,0,0.0611253971421298,0,-0.0128474486419368,0,0,-0.00523300161911878,0,0,0,0,0,0,0,0,0.132903497822861,0,0,0,0.015257781663743,0,0,0,0,0,0,0
X600688.SH,0.229376525121169,0.0119823660839439,0,0,0,-0.032064192059862,0,0,0.070039191168926,0,0,-0.0925549276184096,0,0,0,0,0.0384498474960441,0,0,0,0,0,0,0,0,0,0,0,0,0.01765500720386,0,0,0,0,-0.0150619200409751,0,-0.0157879560501796,0,0,0,0,0,0,0.0614010688294748,0,0,0,0,-0.027875360389008,0,-0.0183809599318118,-0.0205829439339751,0,0,0,0,0,0
X601898.SH,0,0,0.182687742133498,0.0234191467742392,0,0,0,0,0,0,0,0,0,0.0446169577318006,0,0,0.0553045788608928,0,0.284824216354951,0.0577079643810725,0,-0.0241626130166831,0,0.0562284021714268,0,0,0,0,0,0,0,0,0.00432758296939239,0,0,0.00786041414003816,0,0,0.119666292773455,0,0,0,0,0.143917125262326,0,0,0,0,0,0,-0.0053736839594741,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0.0513626950089371,0,0,0,0,0,0,0,0,0,0,0.0692477542477463,0,0.00523429007420476,0,0,0.00601880024749152,0.0771462901258211,0,0,-0.0189705513420224,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0399713435532472,0,0,0.0317119986388098,0,-0.0351578625968222,0.0715635015632939,0,0,0,0,0,0,0.0103328951195071,0,0,0,0,0,0
