,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X600010.SH,X601898.SH,X601600.SH,X601991.SH,X600795.SH,X600886.SH,X600188.SH,X600362.SH,X600111.SH,X600688.SH,X600027.SH,X600309.SH,X601992.SH,X600583.SH,X000792.SZ,X601158.SH,X600157.SH,X000898.SZ,X000709.SZ,X600352.SH,X600547.SH,X002353.SZ,X600489.SH,X000831.SZ,X000630.SZ,X000539.SZ,X600008.SH,X600660.SH,X000027.SZ,X002470.SZ,X000825.SZ,X600219.SH,X600808.SH,X600315.SH,X000629.SZ,X600578.SH,X600098.SH,X600549.SH,X600021.SH,X600307.SH,X601699.SH,X000983.SZ,X600863.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.478639137183782,0,0,0,0,0,0,0.0170876918867314,0,0,0.203057590649704,0.119662382203772,0,0,0,0,0.0210192069066098,0,0,0,0,0,0,0,0,0.0159305646471416,0,0,0.0915494666252342,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.0322338803030148,0,0,-0.041755105942376,0,0,0,0,0,0,0.00692555923292508,0,0,0,0,0,0
X600028.SH,0.409946226236424,0,0,0,0,0,0,0,0.0640489473346271,0,0,0,0,0,0,0.334276693475205,0,0,0,0.0284912334269337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0698612821560741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0516591839604218,-0.00640022786092098,0,0,0,0,0,0
X601088.SH,0,0,0,0,0,0.0747152306965446,0,0.305929224988204,0,0,0,0,0.212633803634335,0.00228776266730459,0,0,0,0.039750747260802,0.000480119130552729,0,0,-0.0367387057318277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0691307582802515,0,0,0,0,0,0.225832438269578,0,0,0,0,0,0,0,0,0,0
X600011.SH,0.10506851006065,0,0,0,0,0,0.0918123242137171,0.131056431778604,0.0514547897252599,0.0688139080416727,0.139708694346169,0,0.00992512158624736,0,0,0.018011008478793,0.0535251595536221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0219013208370613,0,0,0,0.0804625427935794,0,0,0.139272216154987,0.0126896786129155,0,0,0,0,0,0,0,0,0.00097615858665697,0,0,0,0,0,0
X600585.SH,0,0,0,0,0,0,0.0164092676791389,0,0,1.73472347597681e-18,0,0,0.0166607595585081,0,0,0.0682758477192676,0,0,0,0.134860106019186,0,0,0,0,0,0.0391157344829366,0,0,0,0.0403422511724394,0,0,0,0.0984735977905767,0,0,0,0,0,0,0,0,0.213973652150591,0,0,0,0.112202204353815,0,0,0,0,0.00441400272778618,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0.0959609528100171,0,0,0,0.0573005894553133,0.0944970926181112,0,0,0,0,0,0,0.191645016276849,0.23933194923531,0,0,0,0,0,0,0.00946757756078769,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0.0566497000859696,0,0,0,0,0,0,0.00767981409552052,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.551012564126104,0,-0.0202641093517271,0,0,0,0.206995389141898,0,0,0,0,0,0,0,0,0,0.101531834016625,0,0,0,0,0,0,0,0,0,0,0.066795653893883,0,0,0,0,0,0,0
X601898.SH,0,0,0.0249713185373178,0,0,0,0,0,0.0356850912920588,0.134093078135782,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0.0427422894685796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0107942602501532,0,0,0.029070596489476,0,0,0.075325130023453,0.0777903613346363,0,0,0,0,0.165631917570224,0.283515321325936,0,0,0,0,0,0,0,0,0,0
X601600.SH,0.0809386477738892,0,0,0,0,0,0,0.403491357549332,0,0.0237900505010617,0,0.0835146334091719,0,0,0.211506033444286,0,0.233570164688828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00784591648907219,0,0,0,0,0,0.0191246937036332,0.0861496497148488,0,0.0437055766452309,0,0,0,0,0,0,0,0,0,0,-0.0122365672782169,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,-0.0332598300225191,0,0.261754262813972,0,0.0907848327493672,0,0,0,0,0,0.280704935484393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0593802833350697,0,0.0718241500545806,0,0,0,0,0,0,0.188095292881507,0,0,0,0,0,0.0569119407001436,0,0,0,0,0,0,0
X600795.SH,0,0,0,0,0,0,0.0138427494806321,0,0.306926687314302,0.249754721680967,0,0.0341335758371419,0,0,0,0,0.104563189853653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0474344593088148,0,0.029452526664076,0,0,0.0286694704342087,0,0,0,0,0,0.0169226382447629,0,0.0602730470145506,0,0,0,0,0,0,-0.00885017394863965,0,0,0,0,0,0
X600886.SH,0.0327256921627121,0,0,0,0,0,0,0,0.00198088568496386,0.144977694005759,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231390417715396,0,0,0,0,0,0,0,0.301718182768783,0,0,0,0,0.023155966185512,0.0669081757835275,0,0,0,0,0,0,0.0686472852091717,0,0,0,0,0,-0.0187475614764836,-0.0165780558128075,0,0,0,0,0,0
X600188.SH,0.262330467852129,0,0,0,0,0,0,0,0.011236875186085,0,0,0,0,0,0,0,0,0,0.0279427907391431,0,0,0,0,0,0,0,0,0,0,0.0725312659697962,0.162486384383049,0,0.1801177385561,0,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0.203595263841542,0,0,0,0.0282103584137145,0,0,0,0,0,0
X600362.SH,0.0905757730351801,0.0473441633809436,0,0.0341400695988365,0,0,0,0,0,0,0,0,0,0,0,0.056866634909995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307822613897131,0,0,0,0,0,0,0,0.0640580388688423,0,0,0.0366492642181481,0,0,0,0,0,0,0,0,0,-0.00333307520249702,0,0,0,0,0,0
X600111.SH,0,0,0,0,0,0,0,0,0.209312809320675,0,0,0,0.0249318030705092,0,0,0,0,0.00337087876829524,0,0,0,0,0,0,0,0,0,0,0,0.0158056362985269,0.105615379724579,0,0,0,0,0,0,0,0,0,0,0,0,0.102714684646906,0.0665193932292922,0.0698918491611168,0,0,0,0,0.0807844685444901,0.0314710551230359,0,0,0,0,0,0
X600688.SH,0,0.262636060298164,0,0,0.114813721012563,0,0,0,-0.0585362403236859,0,0,0,0,0,0,0,0,0,0,0.0952822586406117,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0.136641733399365,0.273370927060772,0,0,0,0,-0.0487909948006352,0,0,0,0,0,0,0
X600027.SH,0,0,0,0,0,0,0,0,0,0.0950453393678722,0.452710190457776,0,0,0,0,0,0,0,0,0,0,0.0338677887658857,0,0,0,0.0232812949151265,0,0.0657090214336231,0,0.0546687346629466,0,0,0,0,0,0,0,0,0,0,0,0,0.0734977769022889,0.177796546001325,0.0623489930978972,0,0,0,0,0,0.0312824392272326,-0.00400473397540938,-0.0984354256653125,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0.0504131903646256,0.223841221227947,0,0.169796801605346,0,0.0265965298976209,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0964743860161873,0,0,0,0.14184641421676,0.0334192239327543,0.0113073394130268,0,0,0,0.0245974919738594,0,0,0,0,0,0
X601992.SH,0.010347086980074,0,0,0,0,0.0415855153361634,0,0,1.73472347597681e-18,0,0,0,0.0404520558107839,0,0,0,0,0,0,0,0,0,0,0.204647570980125,0,0,0.108284551479764,0,0,0,0.11474492336848,0,0,0,0,0,0,0,0,0,0,0.0520853299104448,0,0,0,0,0,0,0,0,0.0804450900219866,0.0261643629925241,0.00255021843362694,0,0,0,0,0
