,X601857.SH,X600028.SH,X601088.SH,X600309.SH,X600011.SH,X600188.SH,X600585.SH,X600019.SH,X002460.SZ,X002466.SZ,X601898.SH,X600547.SH,X000792.SZ,X601600.SH,X600886.SH,X600660.SH,X600111.SH,X600010.SH,X000708.SZ,X000301.SZ,X002271.SZ,X000877.SZ,X600795.SH,X600027.SH,X600426.SH,X600362.SH,X601991.SH,X600803.SH,X601699.SH,X000983.SZ,X600176.SH,X600489.SH,X000807.SZ,X000786.SZ,X000408.SZ,X600160.SH,X000539.SZ,X300037.SZ,X600219.SH,X600995.SH,X000629.SZ,X600688.SH,X600378.SH,X000932.SZ,X002080.SZ,X600985.SH,X600612.SH,X600157.SH,X002409.SZ,X600096.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.631360851482511,0,0,0,0.159121801644511,-0.0160944603866075,0,0,0,0,0,0,0,0,0,0,0,0,0.0529193183129487,0,0,0,0,-0.0154602625601405,0,0,0,0,0,0,0,0.0638024051157355,0,0,0,0,0,0,0,0,0,0,-0.11615483288524,0,0,0.133354134284949,0,0,0,0,0.0504910017780323,0,0.30792329823225,0,0,0,0,0
X600028.SH,0.711607664517025,0,0,0,0,-0.0932740535973122,0,0,0,-0.0830442049848202,0.0623897170512637,0.0878000887531723,0,0,0,0,0,0,0,0,-0.00585684722429507,0,0,0,0,0,0.0502381297077061,0,0,0,-0.0450113941885138,0,0,-0.0474372521686545,0,0,0,0,0,0,0,0,0,0,0,0,-0.00980868013864771,0,0,0,0,0.00738665208308425,-0.00144100937954641,0,0,0,0,0,0
X601088.SH,0.133232085173194,0.084578673878412,0,0,0,-0.104425169612125,0,0,0,0,0.332111086291874,0,0,0.115851467702297,0,0,0,0,0,-0.146809238239119,0,0,0,0,0,0,0.132904080671662,0,0,0,0,0,0.039378477813099,0.302290490622837,0,0,0,0,0,0,0,0,0.0197279378058769,0,0,0,0,0,-0.0293663567923912,0,0,-0.0447654149127552,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,-0.152824940483699,0,0,0,0,0,0,0.021244413828618,0,0,0,0,0,0,0,0,0,0,0,0,0.170932423401704,0,0,0,0,0,0.0415223023279522,0,0.0949769017809678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0107031451478003,-0.00298394485790276,0.0599522722289019,0,0,0,0,0
X600011.SH,0,0,0,0,0,-0.0145174962907942,0,0,-0.175670258912162,0,-0.129304623847013,0,0,0,0,0,0,0,0,0,0,0,0.500259545641426,0.151796999336209,0,0,0.132597275415703,-0.0673604074447289,0,0,0,0,0,0,-0.154571823001392,0,0,0,0,0,0,0,0,0,0.131831052552117,0,0,0,0.00305247572624504,0,0,0,0,0,0,0,0,0,0
X600188.SH,0.0846779226992436,0,0.0908280020033629,0,0,0,0,0,0,0,0.319892352481558,0,0,0,0,0,0,0,0.289955628693273,0,0,-0.0321655205811145,0,0,0,0,0,0.0446633507968912,0.184392279705866,0,0,-0.0343934927842323,0.224122578155227,0,0,0,-0.0449043029228596,0.186273885590694,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15634007534765,0,0,0,0,0,0,0
X600585.SH,0,0,0,0.132354884888287,0,-0.0678882060635352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117479760676178,0.0485636244839977,0,-0.0615215904813694,0,0,0,0,0,0,0,0,0,0.24875402273337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00653447255260496,0.0460398571786136,0,-0.0194342884514025,0,0,0,0,0,0,0
X600019.SH,0,0.0583442743057656,0,0,0,0.130869239779904,0,0,0,-0.0309483803104706,0,0.0941238988794854,0,0.0504602928080847,0,0,0,0,0,0,0,0,0,0,0,0.0764739773246484,0.0809130140524465,0,0,0,0,0,0,0,0,0,0,-0.00205693962533053,0,0,0,0.173816949647971,0,0,0,0,-0.0367985346112055,0,0.0141105466954613,0,0,0.0362752279967578,0,0,0,0,0,0,0
X002460.SZ,-0.0214925866931478,0,0,0,0,0,0,0,0,0.588905951416761,0,-0.0794218478615829,0,0,0,0,0,0,0,0,0,0.168973984368214,0,0,0,0,0,0,0,0,0,-0.0325429892429919,0,0,0.127688519579131,0.0172638694551303,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0.214889322535935,0.0348147009009648,0,0,0,0,0,0,0
X002466.SZ,0,-0.0421481129257115,0,0,0,0,0,0,0.249623666160557,0,0,0,0.251498180736245,0,0,0,0,0,0,0,0.0658088373195787,0,0,-0.0934530811348717,0,0,0,0,0.285895895188792,0,0,0,0,0,0,0.133486187995097,0,0,0,0,0.0288537106600212,0,0,0,0.0532548894390264,0,0,0,0.0637269877180208,0.300749063640534,0,0,0.0732922826787953,0,0,0,0,0,0
