,X601857.SH,X600028.SH,X601088.SH,X600011.SH,X600585.SH,X600019.SH,X601898.SH,X600010.SH,X601991.SH,X601600.SH,X600795.SH,X600886.SH,X600188.SH,X600111.SH,X600362.SH,X600027.SH,X600309.SH,X601992.SH,X600688.SH,X600583.SH,X601158.SH,X000898.SZ,X600547.SH,X600352.SH,X600489.SH,X000792.SZ,X000709.SZ,X002353.SZ,X000883.SZ,X000831.SZ,X000539.SZ,X600008.SH,X000027.SZ,X000630.SZ,X000629.SZ,X600660.SH,X600549.SH,X000825.SZ,X600808.SH,X002470.SZ,X600315.SH,X600578.SH,X000983.SZ,X601699.SH,X600307.SH,X600863.SH,X600098.SH,X600021.SH,X000060.SZ,X000937.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.607828018760173,0,0,0,0,0,0,0,0,0,0.0435848216146249,0.121555024377058,0,0,0,0,0.101902154164345,0,0,0,0,0,0,0.00578363028714033,0,0,0,0,0.03964780991101,0,0,0,0,0,0,0,0,0,-0.0317062917755156,0,0,0,0,0,0,0,0.0859533746305201,0,0,0,-0.00239972261106883,1.35525271560688e-20,0,0,0,0,0,0
X600028.SH,0.437370225845422,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,6.93889390390723e-18,0,0,0,0,0,0.380431065954105,0,0,0,0,-0.0456249991137574,0,0,0,0,0,0,0,0,0,0,0,0,0.155179590441094,0.0292831306121498,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0338602014570424,-0.00330472677850807,0,0,0,0,0,0
X601088.SH,0,0.145691677117992,0,0,0,0.0937436472420421,0.0987126478268625,0,0,0,0,0,0.0495343377216407,0,0,0,0.0792033017607525,0.0274394156574456,0,0,-0.0138314072400373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0134043439821924,0,0,0.00223824400541413,0,0,3.46944695195361e-18,0.394476806501007,0,0,0,0,0,0,0.0281379263245959,0,0,-0.00273731758800797,0,0,0,0,0,0
X600011.SH,0,0.0866063918524222,0,0,0,0.125244579417892,0,0.0434745631692317,0.153504024524628,0,0,0.268482199216871,0.0785473436347911,0,0,0.0541221363740985,0,0,0,0,0,0,0,0,0,0,0.0517274935442973,0,-0.0171935073360495,0,0,0,0.0119033388344157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00122567805824449,0,0,0,0,0,0
X600585.SH,0,0.0860650638042487,0.0957810622199197,0,0,0,0,0.0377421541817317,0,0,0,0,0.00458876444253281,0,0,0,0,0,0,0.0627793029446527,0,0,0,0,0,0,0,0,0,0,0,0,0.0277239960787388,0,0,0.0929955625958811,0,0,0,0,0,0,6.93889390390723e-18,0.143444236813778,0,0,0.205085029737943,0,0,0,0,0,0,0,0,0,0,0,0
X600019.SH,0,0.0426380387050514,0,0.097581010913179,0,0,0,0.0212293978873826,0,0,0,0,0,0,0,0,0,0,0,0,0,0.548781263416169,0,0,0,0,0.137176677049633,0,0,0,0,-0.0109985242909523,0,0,0,0,0,0,0,0,0,0,0,0,0.0516307031772165,0,0,0,0,0,0,-0.0527612457809088,-0.0154869017641058,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0.142760857847336,0.0772747137725121,0,0,0.0229402180951882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154525545416532,0,0,0,0,0,0,0,0.341330747598849,0.164233594049878,0,0,0,0,0,0,0,0,-0.00117245716656695,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0538483571363596,0,0,0,0,0,0,0,0.529933009948024,0,0,0,0.179608877926006,0,0,-0.246083888309685,0,0,0,0,0,0,0,0.0390437436193206,0.031500125236628,-0.0258468837118229,0,0,0,0,0,0,0,0.0146072764821358,0,0,0,0,0,0,0,0,0,0,0,0
X601991.SH,0,0,0,0,0,0,0.0571692703525618,0,0,0.336897289525343,0,0.0936272848682307,0,0,0,0.00811269910492048,0,0,0.047475794287517,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0765998309913837,0,0,0,0,0,0,0,0,0.047767732653464,0,0,0,0,0,0.0849792709725213,0,0,0,0,-0.0248600008195481,0,0,0,0,0,0
X601600.SH,0,0,0,0,0,0,0.239648122299006,0,0.267519378871374,0,0,0,0,0,0,0.070786787073263,0,0,0,0,0,0.0513976830947125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113844994394964,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0213114031185429,0,0,0,0,0,0
