,X601857.SH,X600028.SH,X600019.SH,X600010.SH,X600585.SH,X601600.SH,X600011.SH,X600309.SH,X601898.SH,X601992.SH,X600688.SH,X002466.SZ,X600362.SH,X600111.SH,X600188.SH,X601991.SH,X600547.SH,X300072.SZ,X600516.SH,X600660.SH,X002460.SZ,X000898.SZ,X600886.SH,X000709.SZ,X600157.SH,X600027.SH,X600339.SH,X600808.SH,X000959.SZ,X600489.SH,X600219.SH,X600549.SH,X600352.SH,X002092.SZ,X000723.SZ,X000807.SZ,X000553.SZ,X000983.SZ,X601158.SH,X601699.SH,X000883.SZ,X000630.SZ,X600299.SH,X600008.SH,X002271.SZ,X000792.SZ,X000825.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00757586521811794,0,0,0,0,0,0.0149160314832722,0.0164263299299579,0,0,3.3881317890172e-21,0,0,0,0,0,0,0,0,0,-0.0409102725254689,-0.0303740453069196,0.0189237803786614,0.0471460559985611,0,0,0,0,0.0778241879059211,0,0,0.000722486703291858,0,0,0,-0.00952591413983066,0.0120327712491773,0.0298611560608204,0,0,0,0,0
X600028.SH,0,0,0,0,0.0865012648504903,0,0,0.0182824291828306,0,0,0,0,0,0,0,0,0,0,-0.0155189827920253,0,0.0275292301060069,0,0,0,0,-0.327275204329041,-0.0438398988268499,0,0,0,0,0,0,0,0,0.0215192459004926,0,0,0,0.0401710677810654,0,0,0,-0.00194334207736583,0,0,0,0,0.0065066108993578,0,0,0,0,0,0,0
X600019.SH,0,0,0,0,0,0,0,0.10651458420879,0.0951147920170179,0,0,-0.0196485434556147,0,0,0,0,0,0,-0.0635998047100773,0,0,0.0798055416079963,0,0,0,0,0,0.241178835203824,0,0,0,0,0,0,0,0,-0.0376075624590786,0,0,0.00350234457703266,0,0,0,0,0,0,0.249794083161777,0,-0.014170545001247,0,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.103545322809064,0.0684565252105572,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177729768247209,0,0,0,0.0764597962932951,0,0.0817451619850712,0,0.0623670648121389,0,0,0,0.0565848622702713,0,0,0,0,0,0,0,0,-0.0145225848895664,0.00520014781587623,0,0,0,0,0,0
X600585.SH,0,0.144439619441113,0,0,0,-0.013501729117778,0.0472732529254812,0.0719829973912786,0,0,0.116664066144101,0,0,0,0,0,0,-4.33680868994202e-19,-0.11593192962339,0.264147010585139,0.0345402199446301,-0.0248504716557402,0,0,0,0,0.0660932278764315,0,0,0,0,0,0,0,0,0.154153446864654,0,0,0,0,0,0,0,0,0.166386748634661,-0.0868733492416792,0,0,0,-0.0107346316634008,0,0,0,0,0,0
X601600.SH,0,0,0.112742078875403,0,0,0,0,0.026941758202528,0,0,0,0.0608113466871644,0,0,0.063994494562169,0,0,0,0.111073320134154,0,0,0,0,0,0,0,0,0.156329742878261,0,0,0.342997501044589,0.097824574069161,0,0,0,0.147392973418467,0,0,0,0,0,0,0,0,0,0,0,0,-0.00375714068255457,-0.0136305887178336,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0,0,0.0671366986644421,0,0,0,0,0,0,0,0.135492250866758,0,-0.00516210308584672,-0.0410718410682237,0,0.079549742819619,0,0,0,0,0,0,-0.0166258796545247,-0.0828372252373784,0,0,0,0.062045461170781,0.0411855214523686,0,0.0116191372269469,0.0311501991085351,0,0,0,0,0,0,0,0,0,0,0,0.0211743734361721,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0.020458415798627,0,0,0,0,0,0,0.0475600535508241,0,0,0.139590191663088,0,0,0,0.0174858914836137,0.324036807087584,0.0212109534032465,0,0,0,0,0,0,0,0,0,0,0,0,0.0959079087522034,0,0.106860350205114,0,0,0,0,0,0,0,0,0,0,0,0,-0.00608695238987544,0,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.0729110208497576,0.0134356577663664,0,0,0,0,0,0,0,0.20164670467234,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0036538307710652,0,0.124676142307543,0,0,0,0,0,0,0,0,0.305060690345725,0,-0.000596346951645531,0.00171427236200446,0,0,0,0,0,0
X601992.SH,0,0,0,0,0,0,0,0,0,0,0,-0.12081673470813,0,0.0933238568537978,0,0,0,0,0,0,0,0.205015941939772,0,0.0813679666915731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.539434845076723,0,0,0,0,0,0.00194773580569665,0.00453035797152136,0,0,0,0,0
