,X601857.SH,X601088.SH,X600028.SH,X600309.SH,X600188.SH,X601898.SH,X600019.SH,X600011.SH,X600585.SH,X600660.SH,X601600.SH,X600547.SH,X600886.SH,X000792.SZ,X600795.SH,X002466.SZ,X002460.SZ,X000708.SZ,X600362.SH,X601699.SH,X600111.SH,X600010.SH,X000301.SZ,X600027.SH,X000983.SZ,X600803.SH,X000877.SZ,X600489.SH,X600426.SH,X600160.SH,X601991.SH,X000630.SZ,X000786.SZ,X000408.SZ,X601168.SH,X002271.SZ,X000933.SZ,X600985.SH,X000807.SZ,X600176.SH,X600612.SH,X600219.SH,X002128.SZ,X000932.SZ,X600348.SH,X600096.SH,X002353.SZ,X600995.SH,X000027.SZ,X000883.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.258438946197954,0.143889600862687,0,0.00458205860467643,0,0,0,0,0,0.0423963816373875,0,0,0,0,0,0,0,0,0.0212314324210774,-0.034970811448641,0,0,0,0.110866921457194,0,0,0,0,0,0,0,0,0.068728173089637,-2.16840434497101e-19,0,0,0,0,-0.0109976960542092,0,0,0,0,0,0,0,0,0,0,0,0.00258609048802036,0,0.0563515778171482,0,0,0,0,0
X601088.SH,0,0,0,0,0.0258981267401607,0.0791664066231698,0,0.122031990797423,0,0,0,0,0,0,0,0,-0.0499134339108194,0,0,1.73472347597681e-18,0,0,0,1.73472347597681e-18,0.304403294450729,0,0,0,0,0,0,0,0,0,0.0884052667245764,0,0.0402476040596903,0.0222549244060645,0,-0.042618472695812,0,0,0,0,0,0,0.00453132437611965,0,0,0,0,0,-0.011975939883072,0,0,0,0,0,0
X600028.SH,0,0,0,0,0,0.115196858749734,0,0,0,0,0,0.22697157376592,0,0,0,-0.071375128239239,0,0,0,0,0,0,0,0.0565743267136311,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0.120782110583091,-0.00964102514363268,0,0,0,0,0,0,0,0.10455282664348,0,0,0,0,0,0,0,0,0.0221084362532018,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117642264649312,0.0216352208025563,0,0,0,0,0.20789004665111,0.267850364115587,0,0,0.142427392867183,0,0,-4.33680868994202e-19,0,0,0.05935640748273,0,-0.17842103090032,0,0,0,0,0,0.102614545325542,0,0,0,0,0.0187254647127441,-0.0331361742314546,0,0,0,0,0,0
X600188.SH,0,0,0,0,0,0.11741937448177,0,0,0,0,0,0.0195072682363194,0,0,-8.67361737988404e-19,0,0,0,0,0.396995817576923,0,0,0,0,0.109990814286986,0,0,0.0361146679014123,0,0,0.041465063276979,0,0,0,0,0,0,0,0,0,0,0,0.108595719702802,3.46944695195361e-18,0.0454893807099861,0,0.0145002554947292,0,0,0,0,0,-0.0107159910493352,0,0,0,0,0,0
X601898.SH,0,0,0,0,0.167790960102095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352515377949797,0.332427356991986,0,0,0,0,-0.0210909832926896,0,0,0.0542467519074246,0,0,0,0,0.0256083566322568,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,-0.0212185182973991,0,0.101811666735983,0,0,0,0,0
X600019.SH,0,0,0,0,0.119687379706538,0.0602902251101322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0738689351333304,0,0,0,0,-0.024858940019441,0,0.103624882498785,0,-0.0504255705765729,0,0,0,-0.0655500045794733,0,0,0.108002400167526,0,0,-0.00981094842977206,-0.0208939043880102,0,0,0,0.0195923884044558,0,0,0,0,0,0,0
X600011.SH,0,0,0,0,0,0.283450061352797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279867468347083,0,0,-0.131620445363799,0,0,0,0.160510382032797,0,0,0.0317038802981558,0,0,0,0,0,0,0,0,0,0,0.00791001632469389,0,0,0.015408209772787,0,0,0,0.0298857894393281,-0.0325982044236555,0,0.00922567139633613,0,0,0,0
X600585.SH,0.0448867502022749,0,0,0.157261233285095,0.0634443834743666,0,0,0,0,0,0,0,0,0,0,0,0.0828967816820237,0,0,0,0,0,0.0823223456201633,0,0,0,0,0,0.00709450019258102,0,-0.079276489603497,0,0.13059362027302,0,0,-1.0842021724855e-19,0,0,0,0.164878422725659,0,0,0,0,0,0,0,0,0,0,0,-0.0190547866071036,0.00749398357398,-0.0515925442968053,0,0,0,0,0
X600660.SH,0.113293141806509,0,0,0,0,0,0,0,0,0,0,0,0.0174949227440872,0,0,0,0,-0.109650767077033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0768713475229716,0,0,-0.0488123113339467,0,-0.00184550316097396,0,0,0,0,0,0,0.203681814944842,0,0,0,-0.0293575562824378,0.0656407517393523,0.0514272774946472,0.0652473835613733,0,0,0,0
