,X601857.SH,X600028.SH,X601088.SH,X600019.SH,X600585.SH,X601600.SH,X600010.SH,X600309.SH,X600011.SH,X601898.SH,X600660.SH,X600688.SH,X600795.SH,X002466.SZ,X600188.SH,X300072.SZ,X601992.SH,X601991.SH,X600547.SH,X600362.SH,X002460.SZ,X600886.SH,X600111.SH,X000786.SZ,X000898.SZ,X600176.SH,X600516.SH,X000709.SZ,X600157.SH,X600027.SH,X000553.SZ,X000792.SZ,X600352.SH,X000408.SZ,X600489.SH,X002271.SZ,X600339.SH,X600219.SH,X600299.SH,X000959.SZ,X000723.SZ,X600808.SH,X601158.SH,X000883.SZ,X002092.SZ,X002470.SZ,X000825.SZ,X000983.SZ,X000630.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X601857.SH,0,0.543085550745812,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0447849629068478,0,0,0,0,0.0305927188714433,0,0,0,0,0,0,0,0,0,0,0.0277108048140198,0.0262815987042561,0,0,0.078740540150458,0,0,0,0,0.00242884556783085,-0.0532662910246936,0,0,0,0,0,0,0,0,0,2.5273681174235e-05,0,0,0,0,0,0
X600028.SH,0.0681906938333085,0,0,0,0.099329697905186,0.0411637429319022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,-0.0301735468890398,0,0,0,0,0,0.0402555775998437,0,-0.000258759532840048,0,0,0,0,0,0.0886663748263554,0.00164139746656718,0,0,0,0,0,0,0,0,0,-0.00103467926392979,0.0177201406019431,0,0,0,0,0,0
X601088.SH,0,0,0,0,0.0222731437254902,0.0907416995369134,0,0,0,0,0,0,0.674811224407521,0,0,0,0,0,0,0,-0.0521854417579479,0,0.266182108608998,0,0,0,0,0,0,0,0,-0.000160148673653566,0,0,0,0,0,0,-0.0172858474800409,0,0,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0.020678287345166,-0.0153061350821884,0,0,0,0,0,0
X600019.SH,0,0,0.0338432846949858,0,0,0,0,0,0,0,0,0,0,-0.0965600284693254,0,0,0,0,0,0,0,0,0.0263520193109818,-0.0422099588919112,0.374206275085964,0,0,0,0,0,0,0,0,-0.0687646657569533,0,0,0,0,0,0,0.0296775663641463,0.141208951419233,0,0,0,0,0,0,0,0,0.0405660212899147,-0.0473369455689115,0,0,0,0,0,0
X600585.SH,0,0,0.0908499608119151,0,0,0.114942915567714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107378725142507,0,0,0.0407122012550486,0,0,0.0717297620723813,0,0,0,0,-0.105853693244307,-0.128359211296656,0,0,0,0,0,0,0,-0.219694338295488,0.212799415836409,0,0,0,0,-0.284778378908614,0.0743979249674754,0,0,0,0.0201533669785473,-0.0786777167723708,0,0,0,0,0
X601600.SH,0,0,0,0.105726628364258,0,0,0,0,0,0,0,0,0,0.0543613856730752,0,0,-0.0604210083264093,0,0,0,0,0,0.0500490532311719,0,0,0,0,0,0,0,0,0,0,0,0,-0.0502878660610437,-0.0140576509178321,0.241995010392248,0,0,0,0,0,0,0,0,0,0,0,0,-0.0168473362574864,-0.0353067709482047,0,0,0,0,0,0
X600010.SH,0,0,0,0,0,0,0,0.0862400376892191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117567480998179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253401401993539,0,0,0,0,0,0.107463104157636,0,0,-0.00290752054500593,0,0,0,0,0,0,0
X600309.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.159210677623247,0,-0.108537087288805,0,0,0,0,0,0,0,-0.189746706962542,0,0.187522742969342,0.0826697761499872,0,0,0,0,0,0,0,0,-0.310791919225578,0,0,0,0,0,0,0,0,0.446656602767348,0,0,0,0,0,0.017840725664098,0.011528880823733,0,0,0,0,0,0
X600011.SH,0,0,0.0188338346300893,0,0,0,0,-0.029437934119698,0,0,0,0,0,0,0.125046346111083,0,0.0801080837457136,0,0,0,0,0,0,0.0026879731331685,0,0,0,0,0,0,0,0,-0.0102965228098935,0,0,0,0,0,0.0518913077784953,0.0523273631140849,0.0347499684544808,0,0,0,0,0,0,0,0,0,-0.00214941446523563,0.00906764000739091,0,0,0,0,0,0
X601898.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282671902188657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0101229734397082,0,0,0,0,0,0,0,0,0.0195349504008661,0.0733904185009568,0,0,0.00955267607130125,0,4.33680868994202e-19,0.176273054772984,0,0,0,-0.00257553509156138,0,0,0,0,0,0
