Company,Risk
X000792.SZ,0.060666
X601991.SH,0.060118
X000883.SZ,0.058299
X000807.SZ,0.053077
X600096.SH,0.05303
X600309.SH,0.051068
X600219.SH,0.050305
X600188.SH,0.050304
X000933.SZ,0.048696
X000983.SZ,0.046413
