,date,X601857.SH,X600028.SH,X601088.SH,X600585.SH,X600011.SH,X600019.SH,X601898.SH,X601991.SH,X600111.SH,X601600.SH,X600362.SH,X600010.SH,X600188.SH,X600886.SH,X600795.SH,X600309.SH,X600027.SH,X600489.SH,X600547.SH,X600660.SH
634,2017-05-18,0.00531324020159414,0.00617655644930317,0.00596879419058873,0.0114554803227309,0.0117187470438842,0.00977688419098186,0.00981078546278663,0.0181606695533708,0.0112800402851276,0.0114988799807447,0.0128548583596234,0.00900047547722787,0.0172818461587554,0.00990187653722896,0.00551146444446307,0.0128284507440922,0.00997087345942063,0.0139289730921171,0.0154286036920165,0.0109503385401026
635,2017-05-19,0.00536182871074785,0.00592757133978354,0.00594871457206579,0.0114520960088494,0.0115127742719452,0.0101322192927924,0.00972446693195052,0.0180557180594003,0.0115195428860984,0.0113860800560152,0.0128226046260822,0.009017846597385,0.0167657549448561,0.00996786834789273,0.00533829383589373,0.0128142382488628,0.00997851723814162,0.0137834042709137,0.0172262302485196,0.0107197182099755
636,2017-05-22,0.00525870102312243,0.00585311786424286,0.00582954110488978,0.0114482618444052,0.0115412413169333,0.0103817202408978,0.00959790769908759,0.0180697650451803,0.0116143401420167,0.0113297829279094,0.0129324424263598,0.00881657341353615,0.0171023659223912,0.00999830525188555,0.00543643217568464,0.0130503475158984,0.0102254692589532,0.0138091134685764,0.0172282164043961,0.0106828547022963
637,2017-05-23,0.00527082423072261,0.00600463735260533,0.00556816920223523,0.011217528523641,0.0115929868132605,0.0102379290464559,0.00963416937282879,0.0181441533476777,0.0117008036436311,0.0111061096643975,0.0127156787676783,0.00891600328430829,0.0168873019444684,0.00987233852285679,0.00535792220189474,0.0133467664706366,0.0109322239051363,0.0140757807333721,0.0178281862165833,0.0109290069989034
638,2017-05-24,0.00524577657682914,0.00600666459813348,0.00551609854171078,0.0111029649564367,0.0115267595460903,0.0100898067616508,0.00964686332492218,0.0181491375301296,0.0116839912542237,0.0111089014966081,0.0127227318329794,0.00894061262160861,0.0168125579700918,0.0098957050510175,0.00532306533216209,0.0133523731685018,0.0109285015485552,0.0140304549467872,0.0195857619023866,0.0109249220634601
639,2017-05-25,0.00549454182585664,0.00597412664234371,0.00554029100327065,0.011110205194869,0.0115396750871615,0.0104228935194095,0.00973762807202154,0.0182163519518928,0.0116791341642663,0.0116338183563432,0.0128688601980609,0.00888921434508197,0.0167655433011213,0.00984363954126373,0.00533509548893814,0.013233348075574,0.0109202161127566,0.0140362131072529,0.0198055711294822,0.0108782419715787
640,2017-05-26,0.00507104746499351,0.00589474967636929,0.00553888126711922,0.0111484140424802,0.0115984093523359,0.0105643223771948,0.00968962066509234,0.0182975860289672,0.0116316920271621,0.0116315046620164,0.0128870344918592,0.00890375089915732,0.0167874582468783,0.00986140880228562,0.00547161181883888,0.013400266979958,0.0109984702625981,0.0140030151805403,0.020100841989966,0.0108515065818415
641,2017-05-31,0.00506032434526312,0.00592032482606174,0.00553707148918951,0.0107875255054138,0.0115417041885519,0.0105808560996662,0.00958252498160279,0.0182984642541364,0.0116719901544857,0.0115704262849191,0.0125316998981146,0.00893986094923196,0.016785461715303,0.00984058017927403,0.0054462592692278,0.013282449979224,0.0111698494529853,0.0139354797964474,0.0199947532231632,0.0110382717484916
642,2017-06-01,0.0051005515233447,0.00599672725160639,0.00553224281857608,0.010646140550288,0.0116332385729352,0.0105662192625533,0.00962419531484422,0.0186642317921387,0.0121774646695983,0.0119397619050897,0.0125863410200061,0.00907138890948105,0.0167906764647339,0.00987595255382315,0.00545529649078355,0.0128495797331463,0.0111804723143085,0.0141514328958279,0.0201404342447177,0.0110148485398047
643,2017-06-02,0.00511223626390874,0.0058998657553266,0.00545397346384183,0.0105960958413154,0.0114848653245384,0.0105276343187931,0.00975730745981366,0.0186481875407516,0.0121457249513757,0.0120212593697421,0.0126221195745819,0.00907117523899687,0.0167704624124041,0.00987425742513839,0.00537875022187392,0.0129699372034108,0.0111540069647957,0.0141478280704354,0.0202734739677098,0.0109797536502498
644,2017-06-05,0.00513281450975999,0.00620992556557274,0.0054448363340939,0.0105968053625349,0.0115291829512236,0.0105291269168109,0.00973281507163462,0.0186329554157642,0.0122206493362753,0.0120110637524508,0.012569666338847,0.00905079152965994,0.0166427471384193,0.00991470661283721,0.00545304326063487,0.0129739745398816,0.0111624146795502,0.0141217772597644,0.0202984060978734,0.0110179048866444
645,2017-06-06,0.00512997982586919,0.00623458928260599,0.00551418155334742,0.0106307210800116,0.0116401533613382,0.0105663351162084,0.00973282806565789,0.0186750338875318,0.0122330252303437,0.011990955422983,0.0126094581733717,0.00904975175651701,0.0166367964458776,0.0101257807629786,0.00546979466922684,0.0129874299598933,0.0111590556969035,0.0141487356102467,0.0203377636343124,0.0109915226520695
646,2017-06-07,0.00498310219295549,0.00606734916722704,0.00551073943494117,0.0106172368152158,0.0115528545633849,0.0106404438104267,0.0100240782049618,0.0186191419342746,0.0123531563834262,0.0120714246517716,0.0126314311704868,0.00912107896248224,0.0166387512441028,0.0101284084958589,0.00549182375343209,0.0130526880438866,0.0111672983289029,0.0141726538838214,0.0202908874268443,0.0110636365001418
647,2017-06-08,0.00499168242926715,0.00606989324773628,0.00547288097386759,0.010600457037795,0.012073523884931,0.0106215515739797,0.00994771255762008,0.0188217126842555,0.0122560212705021,0.0120728353374424,0.0126612245176252,0.00913389162364675,0.0164859955754629,0.0101591873463959,0.00547660072258827,0.0130260857748175,0.0112042148993814,0.0141066640345736,0.0203464363172039,0.0112037747805063
648,2017-06-09,0.00498440893195188,0.00607139143668653,0.00543993760190751,0.010679145018117,0.0122549552922085,0.0103556038257804,0.00994176016818347,0.0189441211911254,0.0122592075576117,0.0120702152502727,0.0126490532990218,0.00910089184800498,0.0166313945416769,0.0101655526727698,0.00549793558156024,0.0130270023485035,0.0113038219016503,0.0140368457015402,0.020345241819434,0.0112487583687128
649,2017-06-12,0.00497552413977038,0.00606755540695653,0.00547073626574143,0.0106868394459289,0.0123939989847547,0.010304345852927,0.00996056564800222,0.0188624544938352,0.0123560315714046,0.0121422925253058,0.0126593077786753,0.00910248210535119,0.0166394223771765,0.0101759912864826,0.00550394686304043,0.0134585597015294,0.011263632337606,0.0141412147018287,0.0203427425483168,0.0114008811042346
650,2017-06-13,0.00482285574128857,0.0058717540929443,0.00546507167198458,0.010695632871876,0.0125113517161407,0.0104335054736662,0.00986190715481335,0.0188542152340575,0.0125326811076902,0.012142403085794,0.0128869846662643,0.00923049854482805,0.0169795561192469,0.0101607441107821,0.00550315888967209,0.0137183949018294,0.0112849625654421,0.0145157344550521,0.0206475745079276,0.0114556542408104
651,2017-06-14,0.00471379780452402,0.00601307534834757,0.00547658399469013,0.0112534828983325,0.0128238353061214,0.0103266949057973,0.00988491671968174,0.018811878689051,0.0124775173173395,0.0120854077511485,0.0128482543271048,0.00923281455859063,0.01708801684907,0.010233053957844,0.0054944039109266,0.0137027832073917,0.0112987644555145,0.0145003293943199,0.0207762606533218,0.0118789115484127
652,2017-06-15,0.00472816653994898,0.00601031077191627,0.00539838762666613,0.0116680569741483,0.0127833090203187,0.0103673701143326,0.00980570111485225,0.0187736233578275,0.0123252964417851,0.0120536133066834,0.0124080562398097,0.00931341234307245,0.0171153252706402,0.0101553661080248,0.00536228141358931,0.0137190360154622,0.0112698039961948,0.0140975223354665,0.0205152283358433,0.0118361937755414
653,2017-06-16,0.00472770221714188,0.00599733631507256,0.00539423369195291,0.0119929965728852,0.0127660608627469,0.0103985244362164,0.00981118856308864,0.0188291519576953,0.012307498453558,0.0120951741381916,0.0124059772727777,0.00938695959427093,0.0172262131131649,0.0100987719470592,0.00536051957769554,0.0137263782285205,0.0112576077349033,0.0140913249948541,0.02046974475415,0.0118234956418364
654,2017-06-19,0.00474337400856722,0.00600518116213546,0.00543868000616155,0.0123511975948959,0.0127554237869079,0.0106625391072685,0.00982057338704221,0.0190959598428976,0.0122689271474407,0.0123331859251165,0.0123734500641087,0.00947181532481303,0.0173328729795597,0.0100690338067937,0.00541303174206036,0.0138396461890466,0.0112561164790283,0.0139562928049005,0.0203615513921895,0.0115867562603148
655,2017-06-20,0.00494077962000495,0.0060210124366602,0.00544222771249553,0.0123040327992258,0.0127445747765681,0.0106720665337299,0.00982095955141333,0.0191413340184304,0.0122549654913243,0.0123387011587814,0.0123296806393435,0.00957045450234546,0.0174148754839609,0.0100434025413848,0.00545532280721091,0.0138113473166256,0.0112230820482865,0.0139781005061255,0.0202780278535359,0.0114346527026003
656,2017-06-21,0.00496647481330295,0.00602096424183317,0.00530740848676321,0.0123979481259911,0.0127511039230743,0.0106462951263362,0.0097578559429665,0.0191421254737246,0.0122261818906244,0.0124846588373777,0.0121347291632883,0.00951562811892604,0.0174589244467897,0.0101587727244876,0.00552719524172463,0.0139818554693062,0.0112667927720881,0.0139743830379134,0.0203528338797201,0.0111486203152883
657,2017-06-22,0.00498415913850795,0.00611828843913681,0.00532030294696802,0.0122836610292333,0.0127495097913855,0.0106593423532116,0.00976588778839092,0.0193237806196604,0.0121475721355557,0.0124852395046708,0.0121997326865236,0.00952088112583002,0.0172207554904259,0.00863787340498652,0.00559322496622346,0.0139722753554421,0.0112545172778398,0.0139213452389361,0.0202689882165232,0.0112368134219936
658,2017-06-23,0.00499879136964067,0.00609492069854535,0.00535477864729207,0.0123671780321856,0.0125347826115899,0.0104407270431201,0.00976120605558034,0.0197554429590154,0.0121454847240352,0.0126004651210895,0.0122413999030244,0.0095589607466002,0.0172688992351764,0.00859375827399685,0.00560279572348473,0.0142437274928808,0.0111384474449021,0.0139317201241635,0.0202815036413204,0.0108543151320178
659,2017-06-26,0.00503398967480893,0.00610376865452963,0.00509790470486928,0.0125956647263703,0.0125020448102206,0.0104456512045711,0.00975068843497551,0.0199843477085545,0.0125324996303671,0.0127455270929094,0.0123012124047481,0.00954951377787127,0.0173277754782038,0.00859860217902769,0.00561535474794002,0.014404171255032,0.0111450073898318,0.013848359041206,0.0200360485404996,0.0108093123367561
660,2017-06-27,0.00503988960361136,0.00609637945957311,0.00510952553507157,0.01241778542881,0.012389028165118,0.0104380766847197,0.00975663875862786,0.020028579197557,0.0125364306652197,0.0127620098744611,0.0123020394954274,0.00955898116219459,0.0173301777919343,0.00849095876868873,0.00563625203686293,0.0144102569585653,0.0111661738690812,0.0136001871380306,0.0200745996831011,0.0107875354054772
661,2017-06-28,0.0050157305577714,0.00605821244786712,0.00510404383865504,0.012618382851803,0.0123886695228892,0.0103379907817963,0.00975329219649708,0.0200755044579627,0.0125337101497224,0.0127712761907012,0.0122976420582372,0.00953310058630089,0.0173360636053643,0.00844455167142623,0.00568173888202391,0.0143272517576215,0.0111272716489356,0.0136084497708744,0.0201196330499215,0.0108575173410671
662,2017-06-29,0.00498348363063171,0.00600830423887913,0.00501257050147507,0.0126118713123787,0.0121006282156766,0.00991799323301328,0.00983743589101765,0.0199664387861436,0.0125743923480901,0.012890290415201,0.0123526440701084,0.00951659734867322,0.0173532262945394,0.00833446083251122,0.00565758280908724,0.0143305699167465,0.0111286823262453,0.0131091287528572,0.0198141636789304,0.0108831384095336
663,2017-06-30,0.00498430270408816,0.00602487884821667,0.00500325270962754,0.0126369326684838,0.011954617671502,0.00969237997594266,0.00980702975299029,0.0190430329446945,0.0125619526058607,0.012889479651349,0.0123103710477105,0.00948305360935013,0.0174273110801078,0.00827498787681862,0.00563584167062964,0.0143503926425513,0.0112079591959667,0.0130980531629317,0.0198322568012189,0.0108692946217074
664,2017-07-03,0.0049906618626123,0.00601726159374492,0.00488591082143785,0.0125259817652882,0.0118106349038939,0.0103918514048056,0.00983204950061219,0.0186970401813019,0.0126874607203315,0.0131856750890316,0.0122683792682629,0.0096866440006004,0.0173299279708444,0.00824976230708497,0.00563971364294308,0.0143219771206401,0.0111905545945745,0.0131989325266792,0.019833189064327,0.0108945845453261
665,2017-07-04,0.00503206564233578,0.00599274888572625,0.00487567019668799,0.0125164867877097,0.0117650713999786,0.01022736760889,0.0100111705929459,0.0182293259198065,0.0126302002510437,0.0131443608457006,0.0118359750398903,0.00957077288966681,0.0173345126099488,0.00819563050551942,0.00563973605595599,0.0145053660479263,0.0111942265868449,0.0131819420771853,0.0200105254968226,0.0109412495759467
666,2017-07-05,0.00504527448340556,0.00599100214530667,0.00481332900204476,0.0125846470042552,0.0117013826232391,0.0102502592702089,0.00980379313597786,0.0181197672753445,0.0127583245717306,0.0131457950901409,0.0119409432735295,0.00952214396602348,0.0170262987662445,0.00819685244265858,0.00564219721520425,0.0145189244557144,0.0111097484509838,0.013149220015942,0.0199692372977145,0.0108621090750423
667,2017-07-06,0.00492402412288202,0.00594568453656052,0.0047904601386495,0.0115240999906709,0.0116726292707413,0.0104672653038224,0.00953953809857441,0.0180528835738867,0.0126551900435109,0.0128281437011042,0.0110118410954211,0.00930149911385132,0.0168246154275726,0.00817558779543216,0.00554077955802242,0.0144589540849581,0.010799438518004,0.0129234206175559,0.0200219000310805,0.0107295093601991
668,2017-07-07,0.00493105522778829,0.00575318871796112,0.00478392214191534,0.0112750014675017,0.0116732791063929,0.0104594043020535,0.00952868065847218,0.018012449026689,0.0130536640190238,0.0127773071866548,0.0110711531228243,0.00955550578458739,0.0168183423638262,0.00808237761620153,0.00554232217538372,0.0141836280002279,0.0106141003263266,0.013210051710848,0.0200638206131847,0.0107145574727884
669,2017-07-10,0.00474395997714156,0.00535905131744803,0.00476265646248195,0.0112788716875306,0.0112682287345043,0.0107075413829453,0.00971217578062471,0.018117954308309,0.0130643581779254,0.0128850184419289,0.0110532859994697,0.0096258651773327,0.0167872984126509,0.00749814912710525,0.0055022469823321,0.0137404963067668,0.0105136665957084,0.0131568579660636,0.0199261311296808,0.0107261961869319
670,2017-07-11,0.00472964099727808,0.00534793735336194,0.00475768603111972,0.0113794158727825,0.010967075441562,0.0108530335928692,0.0100540226718881,0.0181661265442755,0.0133016189350735,0.0128993740285217,0.0112750552255168,0.00962008921610697,0.0170792287805195,0.00760135254622505,0.0054990802735169,0.0135442304855036,0.0103324518009347,0.0133598413131652,0.0198488118064793,0.0106712193937341
671,2017-07-12,0.00470841328420625,0.00529040518853554,0.00472908459676922,0.0113472879986236,0.0105452982243778,0.0108614123765332,0.0100609281971864,0.0181036133368021,0.0137363548891083,0.0128938057404358,0.0112600081085089,0.00951022788450722,0.0171220469255022,0.00760945856815456,0.00554519343535778,0.0135299163657356,0.0102316252516059,0.0134180224379342,0.0197065010276219,0.0106613395492131
672,2017-07-13,0.00469798710603151,0.00531536145495538,0.00470704325971707,0.011359120277682,0.0105371498881328,0.0107602818824109,0.0100579380918251,0.0181461182260232,0.0137559226240784,0.0130509831078707,0.0112602470644695,0.0097729742468082,0.0171352805522316,0.0077154986538939,0.00560715553786467,0.013511349550219,0.0103252530880511,0.0136705873563722,0.0197616968661135,0.0106694036457366
673,2017-07-14,0.00469150560309382,0.00562615771207371,0.00470348785477331,0.0114718685046606,0.0102915213748707,0.0107794995262943,0.0100280059811772,0.0179787114954709,0.0138202169837981,0.0131182284967906,0.0112567132707103,0.00977158708589159,0.0171195410410657,0.00781345686886921,0.00557717747437224,0.0133192234109909,0.0102251903645254,0.0136511276370275,0.0197963832815028,0.0101242054202894
674,2017-07-17,0.00473127781886492,0.00560386929736004,0.00468596772335793,0.0114712100262107,0.0103229233604183,0.0111208850132639,0.0102032564384763,0.0175286440009498,0.0139067279942808,0.0131024345006503,0.0111395818359476,0.00985018630528621,0.017112288493339,0.00777400289627126,0.00556989632885418,0.0133219768878423,0.0102997547903293,0.0135382076038309,0.0196558907207642,0.0101144366797764
675,2017-07-18,0.00472206549864323,0.00562029781086794,0.00449397913957246,0.0115020907666876,0.0103450248962209,0.0118065643430155,0.0108450554482859,0.0178684399629536,0.014286537145449,0.0138804419423556,0.0112810447306103,0.0101030817312849,0.0183356575819388,0.00735292191535395,0.00530615383587339,0.0128090099456601,0.0102596700132533,0.013748511511743,0.0199716270101785,0.00998755837906943
676,2017-07-19,0.00479417629239692,0.00543047791177079,0.00453928379671251,0.0124160283855574,0.0112505567931395,0.0122316869850925,0.0125087576128036,0.0178141619989126,0.0150356588441486,0.0148025663749463,0.0114821728350441,0.0105073314980266,0.0205938723321619,0.0074566992174939,0.00534853657361176,0.0135244452105796,0.0106629735219233,0.0139060384889707,0.020113049092358,0.00993542842674846
677,2017-07-20,0.004570698511693,0.00543847738068056,0.00416960021069775,0.0124802904180591,0.0112871819153575,0.0120790301412023,0.0124252902305485,0.0167065318228646,0.0149362455531764,0.0142137006771848,0.0109977851132319,0.0100696820730716,0.0205534042352839,0.00759107837764068,0.00531425991569973,0.0136574205724687,0.0107704303751498,0.0138740616196892,0.020112179014167,0.0100897291505922
678,2017-07-21,0.00455046460640588,0.0054407415691544,0.00418680615436081,0.0124710605352773,0.0112803849809292,0.0120191916003984,0.012335466967787,0.0160035825369157,0.0149476977438766,0.0140602750546674,0.0107700672406751,0.0100764361803045,0.020514908691812,0.00748365408817917,0.00524650042808875,0.0138090707198169,0.0110783698928519,0.0138034327420913,0.0201275962388412,0.010092826629278
679,2017-07-24,0.00452018000232913,0.00559657993453553,0.00411259492596701,0.0125592872317087,0.0114214157959476,0.0122118530691492,0.0123712574461646,0.0152874616451513,0.0149627231837739,0.0137885039684205,0.0109649051123055,0.0100694556298245,0.020665733194381,0.00709173183567198,0.00521874908859079,0.0137700411534847,0.0110631588042063,0.0138101836935749,0.0200321651552055,0.01006036106969
680,2017-07-25,0.00451977939515304,0.0055334303245992,0.00386833070277236,0.0124619525984412,0.0114262342085632,0.0118230314110661,0.0120105206212916,0.0148133066384854,0.0138141960384762,0.0135318771268452,0.0105662213299043,0.00993424346978411,0.0207794689439954,0.00704862064240752,0.00507261462927782,0.0137708935252536,0.0110638605946135,0.0123416953228637,0.020051321280816,0.0100585991720845
681,2017-07-26,0.0045623753416185,0.0055376800040209,0.00387173387279803,0.0124618435891135,0.0114071448937378,0.0118355560636755,0.011995896901827,0.0147694299144881,0.0138681543261801,0.0134588075135633,0.0105202481739294,0.00988383361504288,0.0207784948206992,0.00702589068955437,0.00499221579176228,0.0139867076972164,0.0108124118118457,0.0123847242036763,0.0200248925182927,0.0101310778691906
682,2017-07-27,0.00455984751785328,0.00555073436435351,0.00385444614583494,0.0129102488243094,0.0116601043925192,0.0125816748844949,0.012287702129222,0.0145866539197656,0.0137658693425356,0.0139636954281354,0.010769576618547,0.00987368586035742,0.0211964901640328,0.00700439063984406,0.00496845424387472,0.0140698863425862,0.010790529557206,0.0124367027862512,0.0199782776036038,0.0100548141586494
683,2017-07-28,0.00455868432564155,0.00555074451102986,0.00381883464261675,0.0129969393104621,0.01187759021073,0.0125852040290022,0.0122427770373296,0.0145990070783191,0.014238077738701,0.0140643730870704,0.0108228240034724,0.0101801447977635,0.0215223216785557,0.00701050109541443,0.00491422419401918,0.0140227683343129,0.0106470674441494,0.0124250088716806,0.0199562144423722,0.0100445047082522
684,2017-07-31,0.00455581361918142,0.00558365883298162,0.00382178181643486,0.0135284787240017,0.0119866125542564,0.0126897935592364,0.0129519471427279,0.0147629077958003,0.0158151459657207,0.0153793598177222,0.0116096559994692,0.0110780333716093,0.0231922298125125,0.00704081993760338,0.00495515489395049,0.0141550154276782,0.0105923691781125,0.0124340394940165,0.0198494319467537,0.00999773950874347
685,2017-08-01,0.0044082043806692,0.00567699388712636,0.00380588063354927,0.0137048726205058,0.0121380860985449,0.0127931408749369,0.0129382596013541,0.0147476148345328,0.0158945158791086,0.0153690472112546,0.0122195081877394,0.0110886837724976,0.0232867579810456,0.00706066011130498,0.00494143338383113,0.0141002213977454,0.0107414437343262,0.012438383647789,0.0199190400789205,0.00998467096508973
686,2017-08-02,0.00414049811731611,0.00567319388624853,0.00373908511595447,0.0136115868500347,0.0119922852019358,0.0128337383921153,0.0128035756663453,0.0146816183552752,0.015883988340016,0.0151781933982309,0.012104844159592,0.0109448568605487,0.0232866283671263,0.00677423684276268,0.00469189134603198,0.0140962342457084,0.0100011443130988,0.0123020458817883,0.0198561092059669,0.0093749502161368
687,2017-08-03,0.00414039767959703,0.00565155221698796,0.00361379713907917,0.0136142117796988,0.0120519562869711,0.0133742854117696,0.0129613105305059,0.014741660895677,0.0154727900860876,0.0152320709795538,0.011885158006468,0.0111544371380343,0.0232881315377866,0.00668376717914898,0.00469785859148848,0.0140995549859687,0.00997872699346656,0.0121091534978803,0.019724165751079,0.00937647606586411
688,2017-08-04,0.00415123528003779,0.00560789069778834,0.00336759860700176,0.0133899360311229,0.0121050727944924,0.0133143213772929,0.0125013444510979,0.0146671106254899,0.0163096530319637,0.0149822721078982,0.0115871323358968,0.011061710503914,0.0231163572432741,0.00654943901108782,0.00467549560420126,0.0136790575623716,0.00984309947227997,0.0118885683419708,0.0195720292425903,0.00921254065825103
689,2017-08-07,0.00410119177001757,0.00560239100732678,0.00315567655150141,0.0133799086815905,0.0121056857392132,0.0139912268227864,0.0134916573150411,0.0147725531063898,0.0162935697996535,0.0152611873732677,0.0117590252576363,0.0114422656986492,0.0214554703853882,0.00655764903504842,0.00457800027435919,0.0134669733206215,0.00987959613792175,0.0117778205417327,0.0195153597498588,0.00918857582558412
690,2017-08-08,0.00413758005409503,0.00561927717038079,0.00315747862774876,0.0133753584559017,0.0121101695250838,0.0142367412925259,0.0134953033057195,0.0147133851356346,0.0165787866028005,0.0152608565766019,0.0119098022010227,0.0117924315978844,0.0215626283744526,0.00656754959424069,0.00451878948119073,0.0136413222123246,0.00987997424500313,0.0118318149518702,0.0195184132368826,0.00915751233627016
691,2017-08-09,0.00405458251244569,0.00566057585183684,0.00314245445626959,0.0131997612415761,0.0120597549183739,0.0142876014374217,0.0134670128529593,0.0145055600198335,0.0160462913514043,0.0150150667486857,0.0126680913205416,0.0114530908214581,0.0220468701131934,0.00642792899903148,0.00432557769935759,0.0134856817260562,0.00972667987570815,0.0110168946861562,0.0193451044768747,0.00921459126970877
692,2017-08-10,0.00405637106406963,0.00583287540015143,0.00270559322609093,0.0133105984607188,0.01182098752142,0.0152560313200888,0.0142746926088915,0.0142569709304115,0.0163638351757461,0.0155302797187577,0.0131432140830807,0.011670199291873,0.0221442510661595,0.00658897968091685,0.00434643535072875,0.0134823227111336,0.0096177685835051,0.01092758505373,0.0193470780354947,0.00914849235682961
693,2017-08-11,0.00419268712751218,0.0058226050356281,0.00274335871551401,0.0136358767297501,0.0117560314724641,0.0181032365293526,0.0170048994766496,0.0143938492334664,0.0189193045417389,0.0191906094529493,0.0167729929024849,0.0143247121971788,0.0239072099053459,0.00654971559968553,0.00436254360870344,0.0147478480785947,0.00968319164496808,0.0110132861564173,0.0192252368766456,0.00934913220336333
694,2017-08-14,0.00426495284914471,0.00582131021212282,0.00276262786091443,0.013697812952924,0.0119417433258731,0.0180893304138179,0.0170271948287527,0.0142209940726821,0.0192718148389398,0.0192016975568175,0.0167747500497303,0.0143479189550258,0.0240048452168899,0.0065463695933345,0.00440670697924444,0.0148027464857973,0.00938439188016855,0.010996297758647,0.0191268623397072,0.00927625887170523
695,2017-08-15,0.00439904067120695,0.00584366575452334,0.00275120174747319,0.0135447533417024,0.0118961618559181,0.0179997048403575,0.0169665210875155,0.0139771761048632,0.0191395306334806,0.0192921108212814,0.0168719775558516,0.0143149383678259,0.0240159537930596,0.00664833675295146,0.00440519758808462,0.0148421463365676,0.00937304029552121,0.0108668673041093,0.0189764088961655,0.00964519707966515
696,2017-08-16,0.00434700208334977,0.00579913931922919,0.00271303499635538,0.0136030704574727,0.0118464101874465,0.0179977242767761,0.0169731520244521,0.0139958559521958,0.0207023669045496,0.0193353293813608,0.017411976409865,0.014515333106372,0.023596345406422,0.00665369349042441,0.00439569332407109,0.0147707078475774,0.00938421994073334,0.0110062242138003,0.0187753522726502,0.00968948818177629
697,2017-08-17,0.00433546114785582,0.0058432701980373,0.00264226071230433,0.0134796694387201,0.0118263613854625,0.0182023317913136,0.0169793010433479,0.0140125110294419,0.0210626317343429,0.0192846168803323,0.0174065485016677,0.0145075793246755,0.0231934418518352,0.00657578554077295,0.0039086069760977,0.014713665540249,0.00937171786080708,0.0110081831041029,0.0155565422426503,0.00952536006504025
698,2017-08-18,0.00429490901468756,0.00564171743323947,0.00266818823458862,0.0134877436047838,0.0117838070305887,0.0181815456056926,0.0173427995382039,0.0139651425392961,0.0216278174519831,0.019646093882441,0.0176041623114293,0.0146168307306088,0.0233206753689863,0.00647490369544871,0.0039461610194723,0.0146845095906214,0.00920563238853318,0.0109976983021545,0.0141629616092037,0.00948882168257509
699,2017-08-21,0.00430969936776952,0.00564830173603359,0.00269907511163905,0.0134840827711305,0.0117668098993689,0.0184109445466646,0.0174635115526229,0.01385052222027,0.0216100736324734,0.0196117729332996,0.0175417920611417,0.0146285342504623,0.0231379690655144,0.0063694957410608,0.00369107244443489,0.014325725655712,0.00910182487165995,0.0109985191209111,0.0143305409589141,0.00961914139109591
700,2017-08-22,0.00427598165736858,0.00544738194209305,0.00258365704785125,0.0134629939547183,0.0117602070955994,0.0184048486876157,0.0173790008264885,0.0135787950044985,0.0216593250312662,0.0195020482471221,0.0178742475870131,0.0145184267603095,0.0231508025795725,0.00634280827073818,0.00369249397886065,0.0139397526344802,0.00827255696250565,0.0106068223715835,0.0138830038998465,0.00923149266654827
701,2017-08-23,0.00432432753089657,0.00544737700466259,0.00247346264479517,0.0134959177925583,0.0117488956021383,0.0188833164803479,0.0179243737128798,0.0135511922942031,0.0223325396565646,0.020467910591048,0.0186390721196858,0.0148970543206763,0.0234782788636842,0.00631244443212401,0.00369436805213821,0.0140143352975829,0.00826876700477852,0.0107302181573847,0.0117176580118706,0.009234245589587
702,2017-08-24,0.00405809050772262,0.00545572168643303,0.00249825262620332,0.0134811174081168,0.0116660416626311,0.0188325559476469,0.0179309766876448,0.0135429737002315,0.0225290876602988,0.020582120386309,0.0185796302685778,0.0150676799077311,0.023489950905499,0.00629988996831716,0.00364569656105093,0.0140073295023719,0.00827041197207951,0.0107423969750034,0.0114859984730848,0.00923368619194113
703,2017-08-25,0.00406214349048962,0.00545768760012922,0.00250608667986656,0.0134491331649433,0.0116508846247472,0.0188649742049032,0.018067515436499,0.013596139662623,0.0225879044758208,0.0206693889343791,0.0187775856563597,0.0151165423900273,0.0238661856966207,0.00623608290482926,0.00323348480824023,0.0137404812598925,0.00832577179743965,0.0107600876195141,0.0111604481802582,0.00930237554368562
704,2017-08-28,0.00396799046286203,0.00540806740995331,0.00248867278862608,0.0134397246977517,0.0116472500969451,0.0187979617175033,0.0181124041896694,0.0135381409343575,0.0225881680263809,0.0206637668190501,0.0188088843094618,0.0150775378270548,0.02392090097212,0.00620875172161073,0.00323015481106256,0.0137382439962449,0.00816880474839552,0.0107823082785231,0.011394312511235,0.0091293044384528
705,2017-08-29,0.00392438500985583,0.00513762433553759,0.00248586758306894,0.0134431384961522,0.0115272300487376,0.0187833309608178,0.0180822875941056,0.012637064299799,0.0226571858562856,0.0203576726692152,0.0187863590214045,0.0149084644605482,0.0239216775674398,0.00611736631600047,0.00313797818354257,0.0137400636663388,0.00823075079048156,0.0104260252420407,0.0111979011107312,0.00916726864879953
706,2017-08-30,0.00390720178222537,0.00519882157099919,0.00243516391338127,0.0134836185131398,0.0115255661221809,0.0189755333050473,0.0181999446878151,0.0126674600145885,0.022679603928425,0.0208710105598667,0.0189265410013013,0.015128570255088,0.0241249584045868,0.00610278680506033,0.00316199676318734,0.0138053082306431,0.00825178902701962,0.0104558576676328,0.0110070767626646,0.00916794984086902
