Company,Risk
X000157.SZ,0.014108
X000800.SZ,0.013867
X000651.SZ,0.01362
X600460.SH,0.011211
X600703.SH,0.010254
X600584.SH,0.01025
X000625.SZ,0.010243
X002179.SZ,0.009503
X002415.SZ,0.009183
X000725.SZ,0.008807
